"gene","module","kME"
"SPP1",1,NA
"LILRB4",1,NA
"FABP4",1,NA
"IGSF6",1,NA
"CLEC7A",1,NA
"MMP12",1,NA
"CLEC12A",1,NA
"FCNB",1,NA
"CARD9",1,NA
"CD8A",1,NA
"GPNMB",1,NA
"CD68",1,NA
"LGALS3",1,NA
"PIRA2",1,NA
"FAM111A",1,NA
"KNG1",1,NA
"IFITM1",1,NA
"LSP1",1,NA
"CCL6",1,NA
"RGD1561778",1,NA
"RGD1305807",1,NA
"TYROBP",1,NA
"PLAU",1,NA
"S100A11",1,NA
"CCL2",1,NA
"KLRA17",1,NA
"PRCP",1,NA
"APOBEC1",1,NA
"COL3A1",1,NA
"ITGAX",1,NA
"KLRA5",1,NA
"LUM",1,NA
"DNAJC22",1,NA
"CYBB",1,NA
"CELA1",1,NA
"TREM2",1,NA
"CYP2D1",1,NA
"TLR8",1,NA
"BUB1B",1,NA
"BATF",1,NA
"FCGR2B",1,NA
"LYL1",1,NA
"KCNN4",1,NA
"LOC100911492",0,NA
"CTHRC1",1,NA
"PLBD1",1,NA
"TIMP1",1,NA
"FBN2",1,NA
"CXCL1",1,NA
"FAM46C",1,NA
"CKAP2",1,NA
"TTR",0,NA
"TGFB1",1,NA
"A2M",1,NA
"PARVG",1,NA
"ARL11",1,NA
"PCOLCE",1,NA
"RASAL3",1,NA
"DENND2D",1,NA
"BCL2A1",1,NA
"CAPN3",1,NA
"EVI2B",1,NA
"MYO1F",1,NA
"HTR2B",1,NA
"LOC102553715",1,NA
"CNR2",1,NA
"TAS2R105",0,NA
"MGC105649",1,NA
"IGF1",1,NA
"EPSTI1",1,NA
"CAPG",1,NA
"CENPE",1,NA
"RGD1563222",1,NA
"CDK1",1,NA
"TNFRSF1B",1,NA
"CD86",1,NA
"RT1-A2",1,NA
"WDFY4",1,NA
"COL1A2",1,NA
"CLEC4A3",1,NA
"CD8B",1,NA
"CD180",1,NA
"HLX",1,NA
"CTSZ",1,NA
"PYCARD",1,NA
"RAC2",1,NA
"RGD1561795",0,NA
"TSPY1",2,NA
"TINAG",3,NA
"SULT1C3",0,NA
"DPEP2",1,NA
"TNNT2",6,NA
"MNDA",1,NA
"LOC686151",1,NA
"LOC100363368",0,NA
"MKI67",1,NA
"LOC100910669",1,NA
"IL1R2",1,NA
"SKA1",1,NA
"FCGR3A",1,NA
"ITIH2",1,NA
"SCGB1C1",0,NA
"FOLR2",1,NA
"ITGAM",1,NA
"LOC100912573",1,NA
"C1QC",1,NA
"LOC102546557",1,NA
"TTK",1,NA
"OLR1",1,NA
"PTPN6",1,NA
"CTSC",1,NA
"PTPRC",1,NA
"CP",1,NA
"NCF1",1,NA
"COL6A3",1,NA
"IL4R",1,NA
"HCST",1,NA
"KIF18B",1,NA
"DDX60",1,NA
"BLNK",1,NA
"CD53",1,NA
"UGT2B17",0,NA
"CD40",1,NA
"ASPG",1,NA
"GLIPR1",1,NA
"FIBCD1",5,NA
"COL8A1",1,NA
"CCL7",1,NA
"PLD4",1,NA
"ITGAL",1,NA
"GNGT2",1,NA
"ALOX12",1,NA
"FCGR2A",1,NA
"GATA5",0,NA
"SULT2A1",0,NA
"LOC100361584",0,NA
"C1QB",1,NA
"FCRL2",1,NA
"VNN1",1,NA
"LOC100361444",1,NA
"UNC13D",1,NA
"MMP19",1,NA
"CYP1B1",1,NA
"SCARA5",1,NA
"TSPO",1,NA
"CD37",1,NA
"LOC102549355",1,NA
"FRRS1",1,NA
"FERMT3",1,NA
"BUB1",1,NA
"DEPDC1",1,NA
"AIF1",1,NA
"SLAMF9",1,NA
"CYTIP",1,NA
"LOC500183",1,NA
"TFEC",1,NA
"COL1A1",1,NA
"CD14",1,NA
"ERCC6L",1,NA
"ANXA1",1,NA
"KNSTRN",1,NA
"DGKK",0,NA
"FCER1G",1,NA
"FAM64A",1,NA
