"dataset_a","dataset_b","species_a","species_b","cross_type","n_genes_a","n_genes_b","n_overlap","jaccard","pvalue","common_genes"
"GSE16561","GSE37587","Human","Human","Same",302,152,5,0.0111,"2.53e-02","MAP3K7CL|CTSB|ARHGAP21|IFRD1|ACSL4"
"GSE16561","GSE97537","Human","Rat","Cross",302,4781,83,0.0166,"4.76e-06","TMEM176A|CHPT1|LY6E|CAMK1G|NELL2|IL7R|PIK3IP1|LIMS1|TYW1|PARP12|YPEL3|GIMAP5|FAU|SNRPF|SHFM1|TRIB2|VAMP5|APRT|YBX1|RPS5"
"GSE37587","GSE97537","Human","Rat","Cross",152,4781,58,0.0119,"5.68e-10","GCA|LY96|CTSB|LAMP2|SDPR|NPTN|LAMTOR4|GNG10|PTGS2|CHSY1|DYNLT1|BAZ2B|PPM1B|AZIN1|ACSL4|LYRM1|LMBRD1|COQ10B|CHMP1B|BNIP2"
