"gene","module","kME"
"RPS4Y1",2,-0.049337659657318
"HLA-DRB5",0,0.00452264302889429
"H3F3AP4",2,0.0969282502535231
"HLA-DRB1",0,0.0437440321029722
"RAP1GAP",1,0.115915064744298
"PTMA",2,-0.0657865454202726
"FCGR3A",2,0.155190515750436
"RPS4Y2",2,0.00569615529926839
"RPL23AP64",2,-0.194530724297337
"DEFA1B",0,0.181909980725255
"FTH1P3",2,0.223171909345855
"DEFA4",0,0.247564546339579
"EVI2B",2,0.133968413969585
"DEFA3",0,0.17862460334832
"RPL23AP32",2,-0.115706267385564
"APOBEC3A",2,0.27125956079269
"GIMAP7",2,-0.123992637377005
"FCGR3B",2,0.268982133866395
"PTGR2",2,0.0362256675111245
"TMSB4X",2,0.0106315844375966
"KRT1",1,0.146398781772919
"HACD4",2,0.0487200504182059
"SLC4A1",1,0.13773468880736
"MYOM2",0,-0.0970953421585904
"TDP2",2,0.155768461027271
"CA1",1,0.245415567959506
"GABARAPL2",2,0.134414385165783
"PPIB",2,-0.00583819450611869
"PCDHB9",2,0.0741591354389524
"DEFA1",0,0.136459839840042
"HLA-DRB4",0,-0.116418987934233
"RAP1B",2,0.0232087465673927
"ANXA2P1",2,0.0447035214324884
"SERPINA13P",4,0.153252867185263
"RPL23",2,-0.0999276652819127
"ORM1",0,0.724963137447584
"DTWD2",2,0.0838692981985771
"IFI27",1,0.255479621813418
"CD164",2,0.0314700597631109
"ARG1",3,0.858538930635954
"OLFM4",0,0.304186269438788
"HLA-G",2,0.0658491802113048
"AMY1A",2,0.042358531401423
"FAM46C",1,0.262001879031861
"IFI44L",0,0.125551707144511
"ANP32A",2,0.199832726425171
"ZNF223",2,0.0468307564270716
"CAT",2,0.0837073568962226
"FAM49B",2,0.186603515587949
"IFIT1",0,0.282353488754565
"CCZ1B",1,-0.0915718961672139
"SRSF11",2,-0.0459524019763726
"TMEM158",1,0.298534200236937
"ELANE",1,0.280221586212804
"SPRYD3",4,0.0889838689624615
"S100A12",2,0.531035656627426
"HBZ",1,0.198747706927097
"MMP9",3,0.850143754303771
"TLR1",2,0.294082372971352
"SELENBP1",1,0.079896615315871
"STRIP2",2,0.0300659018952782
"C6ORF62",2,0.0301516420159576
"PABPC1",2,-0.015659961224619
"SEPT7",2,0.00290479532546474
"S100P",0,0.472765711303086
"USP49",2,0.0836504594387259
"LEP",2,0.0589979361518746
"CEACAM8",0,0.394251209723122
"BNIP3L",2,0.194106077898675
"HMGB2",2,0.363128078839348
"CAMP",0,0.468241642900979
"RSAD2",0,0.241936268816008
"ARL6IP1",2,-0.0294795130935804
"C18ORF32",2,0.106442692773796
"IFITM3",0,0.408472329169424
"BMP8B",2,-0.00259834578805267
"SNAPC1",2,-0.00415952642642116
"RPL14",1,-0.220924565180734
"BCL2A1",2,0.26478014875714
"LY96",0,0.575740656961481
"HNRNPH1",2,-0.0412401334941323
"GYPB",1,0.191124158869196
"AHSP",1,0.167308890037875
"TRIM58",1,0.194558854335333
"IFIT1B",1,0.255517719369278
"BLVRB",2,0.0707583174134737
"RAD21",2,0.186247761537066
"EPB42",1,0.0852919562907416
"YY1",2,0.15575477183017
"RPL7",2,-0.132634899811774
"RPS26",4,-0.260675217275853
"ZFP36L1",2,0.274711671255127
"RPS28",2,-0.219866468290436
"FOLR3",3,0.558415816713881
"GP9",1,0.188836315683619
"ITM2A",2,-0.158491220577611
"DPYSL5",4,0.164653673207295
"SSTR2",2,0.12582128938248
"RAB33B",2,0.272626292334676
"PPBP",4,0.23737624393475
"AGTPBP1",2,0.219538847533526
"ITM2B",2,0.0891500692222342
"SNCA",1,0.140489105470476
"SLC5A8",2,0.0221869502196469
"HAUS2",2,0.0995400146534937
"PIK3AP1",2,0.20099054467189
"GIMAP2",1,-0.13195921761461
"NACAP1",2,-0.147868236780512
"ACTR3",2,0.165976932186148
"RNASE3",0,0.248310046201616
"SLC35E1",2,0.127330892980568
"GMPR",1,0.133363778950291
"KCTD12",2,0.194906919045613
"LCN2",1,0.432427085894225
"OSBP2",1,0.117291986939801
"ZNF669",2,0.0569258841244989
"NLRP8",2,0.0677682696668938
"ACSL1",2,0.580621918048002
"TNS1",1,0.194107071444832
"TBC1D32",2,0.03433156358945
"RSRP1",2,0.147010793754605
"DENR",2,0.0619286227470297
"MRPL57",2,-0.0640855350360476
"C11ORF63",2,-0.0191731633317139
"PLA2G2D",2,0.0104601346501065
"EIF3M",2,-0.0971533055735895
"CCBE1",2,0.224473814088765
"FAM210B",1,0.185049712121494
"BCL2L1",1,0.15210943787626
"GNA13",2,0.191884392183672
"HBD",1,0.145792524921212
"DMTN",1,0.117745666217308
"MX1",0,0.276507019667934
"CA4",1,0.799937722069506
"MFSD14A",2,0.02889544053668
"SAMSN1",2,0.165352139136311
"ZNF557",2,-0.00434131519696619
"TMOD1",1,0.222485264976887
"JCHAIN",1,-0.119550270487996
"HERC5",0,0.309604148536851
"RPL13P5",1,-0.322012979918381
"CPPED1",2,0.338425074655079
"RBM38",1,0.0760700616380246
"PPP1R15B",2,0.102213600571782
"ALAS2",1,0.159504378470781
"BLOC1S6",2,0.0753798580122994
"KDM5D",2,-0.152391064608616
"NUBPL",2,0.136699687821772
"METTL7A",2,0.0908837215344676
"HBM",1,0.264939700490286
"TANK",2,0.119169701780815
"CLC",3,-0.323475474318225
"HSPE1",1,-0.345807073620726
"RNASEH2B",2,-0.14378744798608
"IGBP1P1",2,-0.0711445848457732
"GPR1",2,0.0560464241206321
"IGF2BP2",1,0.308647873569188
"XRN2",2,0.178436461680102
"SDPR",0,0.356455508796088
"DOPEY2",2,0.120966934641863
"EIF1AY",4,0.0739247226136053
"HBG1",1,0.0920677707119092
"HERPUD2",2,0.0824142508958606
"EPSTI1",0,0.200814394474663
"IFI44",1,0.0890290983740055
"STRADB",1,0.168251901885539
"PSMC6",2,0.0092534686606712
"KIAA1033",2,0.149299647660896
"FECH",1,0.236767110899378
"CLEC12A",0,0.0996313399679592
"DDX3Y",2,0.0291776732662036
"AOC4P",2,0.076083462505477
"PIP4K2A",1,0.234422880971978
"DDX17",0,0.0470456530731318
"CXCL8",0,0.167063643726119
"GZMH",1,-0.151909944586708
"CHURC1",1,0.00933960706682702
"HBE1",4,0.144151507026326
"XK",1,0.323565441786161
"LSM5",2,-0.131809974822267
"RPL21",1,0.012219810360804
"MS4A3",4,0.26886009085108
"ALPL",1,0.662377070322871
"HLA-DQB1",3,-0.334064393650905
"FBXO38",2,0.169933435551175
"MCEMP1",3,0.749545999948284
"DMC1",2,0.106734963659312
"CCR7",3,-0.595735456736927
"HBG2",1,0.110306309434001
"SLBP",2,0.0163449929843959
"EXO5",2,0.122083685170688
"IFIT3",0,0.350364393848688
"PAPSS1",2,0.128302341242699
"VCAN",2,0.335400096152924
"SPOPL",2,0.164843350275416
"NRGN",1,0.206971492135567
"E2F2",1,0.175263645326558
"PDZK1IP1",1,0.0693125885984191
"HECA",2,0.148072299946303
"CEACAM6",1,0.410659483068915
"PLEK2",1,0.225715156599026
"MCTS1",2,-0.0196407842706842
"PGAM4",2,0.0687566348200228
"C4BPA",0,0.290196767925391
"FAM26F",2,0.022567457804671
"TSNAX",2,0.0763229927669588
"OSTC",2,-0.0785680551828104
"IL10",2,0.0543414303940845
"MCMDC2",2,0.0738884178970965
"RAX2",2,0.140690995774513
"IL18RAP",0,0.729144461127257
"IFI6",0,0.193715708259213
"ATP11B",2,0.247426585367306
"KLRF1",1,-0.142273341887097
"PITHD1",1,0.057949915796639
"MBD4",2,0.12219893958886
"HDC",1,0.0788093416999596
"CTSG",1,0.263255519363045
"GZMK",1,-0.572378994631741
"USP8",2,0.168329457012102
"FKBP5",3,0.739994053196668
"ETS1",1,-0.298435791978275
"RPS23",3,-0.382732007084269
"GSTM2",0,-0.133326408741537
"GYPE",1,0.222458574901965
"PGLYRP1",1,0.714587367678587
"PTGES3",2,-0.111728193207245
"GPBP1L1",2,0.0947890742546182
"LYZ",2,-0.0794528276427975
"GIMAP1",2,-0.164045109269263
"SESN3",1,0.365948064181379
"SLC6A8",1,0.236384695885736
"OR2W3",1,0.127379470426713
"VPREB3",4,-0.562463616702189
"TXNL1",2,0.000543756394488315
"PVALB",1,0.0665170303482889
"LSM6",2,-0.00729555183009182
"ATMIN",2,-0.0507658189944685
"HK2",2,0.471479570640502
"VWCE",1,0.118847238416479
"TSPAN5",1,0.2525632360716
"RPL9",1,-0.0371022253461567
"MPP1",1,0.355311130380104
"AMY2B",2,-0.0303521750294805
"HSPA1A",2,0.53401540062467
"ANKRD9",1,0.159273664392317
"COMMD8",2,0.0182903742604212
"TMEM176A",4,-0.0476940908548835
"RBM47",2,0.507051532025471
"FLI1",2,0.136816254285925
"SYAP1",2,0.100163087165658
"MAP3K7CL",4,0.280211531869736
"CD302",2,0.141583429210494
"MFSD11",2,0.024299905345337
"GLRX5",1,0.209724328961311
"SNX10",2,0.388254121772625
"RAB3IL1",1,0.115793545222081
"WSB2",2,0.0456565504867431
"CRISPLD2",1,0.857656799648813
"TPST1",0,0.811223363719512
"EIF2AK4",2,0.0893696658014059
"OLR1",1,0.350164168387026
"SKAP2",2,0.535626239874197
"BSG",1,0.15151736983855
"RUNDC3A",1,0.107306402332333
"KIAA1324",1,0.563127742649059
"HBQ1",1,0.267614673967391
"KPNA2",2,0.0688497890902179
"SUMO1",2,0.0311087228901093
"MPLKIP",2,-0.00509999949089925
"ECHDC3",1,0.758826884391008
"FKBP14",2,0.201641288101507
"LY75",2,0.0589800295816368
"WDR11",2,0.0893501436627461
"CARD16",2,0.233616908744232
"SNHG5",0,-0.0341887423389696
"IKZF1",0,0.124959905303521
"HYKK",2,0.195439521273189
"EID2B",2,0.177720362814873
"ALPP",2,0.125276956975898
"ANXA3",2,0.567992051123599
"IKBKB",2,-0.0650977242000647
"AZU1",1,0.252257531742164
"RPL31",1,0.0247027003927234
"RPL23AP7",2,-0.165144699315084
"PADI4",3,0.857465035595165
"PPP3CA",2,0.230578324872183
"C1D",2,0.0737631587636567
"GNG11",1,0.149486053107171
"CHPT1",4,0.163215160511253
"FAM213A",2,0.137401865185705
"XRCC2",2,0.222541541743397
"MAGT1",2,0.244362660282207
"RNASE2",0,0.22913919405819
"DCAF12",1,0.198265513703639
"TCN1",0,0.575290000457142
"HSD17B11",2,0.272650625698115
"ZNF683",1,-0.1592919902891
"EAPP",2,0.015837834057797
"BPI",1,0.426338896477836
"MEGF9",2,0.474773330426196
"SMOX",1,0.160159462118942
"DPM2",1,0.0286825494577008
"CMPK1",1,-0.157082408782616
"DYSF",3,0.842101976966591
"TMEM267",2,0.122139127202074
"ISG15",2,0.0842351566353298
"GATSL3",1,0.073274684804321
"TOPORS",2,0.125015188808834
"H3F3C",2,0.145907560261257
"ECHDC1",2,0.0416874793444958
"HIF1A",2,0.339938530718886
"UFM1",2,-0.121986746472834
"NME2",2,-0.0801981274218854
"HNRNPH3",2,0.088670315754714
"ASCC2",1,0.150729148981399
"SH3BGRL2",1,0.296045381495897
"CDKN1B",2,0.120678390751241
"CD24",0,0.0459711900494551
"N4BP2",2,0.154609761429795
"BPGM",1,0.185583918218852
"FCRLA",1,-0.48369219559128
"KIR2DL1",2,-0.126583273027943
"PF4V1",1,0.175000505752042
"ERGIC2",2,0.240168143261248
"LY6E",4,-0.173030336764111
"LTF",1,0.32611916933071
"RNF10",1,0.367492434683634
"MARCH8",1,0.125922063525664
"RPS3A",1,0.00842552333469221
"IQGAP1",2,0.627954635817504
"SMIM14",2,0.0926595726008417
"GSTTP2",2,-0.0356256629114351
"CXORF21",2,0.0971791948252615
"FAM174A",2,0.120643945963095
