"gene","module","kME"
"WDR95",2,NA
"NLRC5",2,NA
"RGS16",4,NA
"SLC11A1",2,NA
"NFKB2",2,NA
"FCGR1",2,NA
"GM22519",5,NA
"SNORA31",5,NA
"GM25291",5,NA
"DUOX1",4,NA
"FZD5",4,NA
"ARC",1,NA
"SELPLG",3,NA
"KLF10",4,NA
"ADCY4",2,NA
"CDK6",2,NA
"2410131K14RIK",1,NA
"NAIP2",2,NA
"CD244",2,NA
"CD180",2,NA
"MTHFD2",1,NA
"GM23971",5,NA
"GPR156",1,NA
"GM26035",5,NA
"BTC",2,NA
"G530011O06RIK",2,NA
"ALDH1A2",2,NA
"DIO2",7,NA
"CD68",2,NA
"MS4A6C",2,NA
"GM24146",5,NA
"CSRNP1",4,NA
"CH25H",2,NA
"DNAJA1",1,NA
"IL4RA",2,NA
"ECSCR",2,NA
"TTN",4,NA
"SLC7A11",2,NA
"OMP",13,NA
"TUBB6",2,NA
"GM23639",5,NA
"SGMS2",9,NA
"PTPN6",2,NA
"ARID5A",4,NA
"VWF",2,NA
"CLCF1",2,NA
"CCR1",2,NA
"HBEGF",2,NA
"GM25492",5,NA
"PROS1",2,NA
"MT-ATP6",3,NA
"CLDN2",9,NA
"B3GNT3",1,NA
"NGFR",2,NA
"IL1B",2,NA
"RDH10",2,NA
"COL4A1",2,NA
"GM10382",4,NA
"IFI30",2,NA
"GABRQ",8,NA
"ITM2A",1,NA
"INSM2",1,NA
"LCP1",2,NA
"NDST4",8,NA
"GM23442",5,NA
"CDKN1A",1,NA
"GM25822",5,NA
"CD53",2,NA
"5430435G22RIK",2,NA
"CHAT",11,NA
"FCGR4",2,NA
"CLIC1",2,NA
"GPR6",11,NA
"MAGEL2",4,NA
"CYYR1",2,NA
"CLEC5A",2,NA
"CSF1",2,NA
"USP36",1,NA
"TLR13",2,NA
"ENTPD8",1,NA
"RNF213",2,NA
"RFPL4",1,NA
"RCE1",1,NA
"EGR4",3,NA
"ICOSL",1,NA
"GM22786",5,NA
"MUC2",2,NA
"LYZ2",2,NA
"TNF",1,NA
"PARP14",2,NA
"TH",13,NA
"TGM2",2,NA
"AMOTL2",4,NA
"CECR2",4,NA
"1110002E22RIK",4,NA
"NFKBIZ",4,NA
"GM23973",5,NA
"XLR3B",4,NA
"NOS3",2,NA
"SLFN2",2,NA
"NR4A2",2,NA
"PTGS2",1,NA
"UBC",1,NA
"SNORA7A",5,NA
"PLTP",1,NA
"SNORA78",5,NA
"PPP1R3G",1,NA
"HK3",2,NA
"FCGR2B",2,NA
"AGT",8,NA
"APOD",2,NA
"GM12141",1,NA
"ARHGAP36",8,NA
"S100A8",2,NA
"GM10855",6,NA
"RHCG",4,NA
"IGHM",3,NA
"REST",1,NA
"GUCY2C",1,NA
"GM14443",1,NA
"1700011H14RIK",1,NA
"GPR149",11,NA
"NFKBID",4,NA
"LPAR2",4,NA
"MYOC",3,NA
"CD4",11,NA
"TMEM119",2,NA
"FOXO6",4,NA
"GM25848",5,NA
"ARRDC4",4,NA
"1700016P03RIK",4,NA
"MIR1949",5,NA
"APOBEC1",2,NA
"IGFBP7",2,NA
"SAPCD2",1,NA
"ASPG",2,NA
"GM15425",1,NA
"GM23346",5,NA
"TEKT4",8,NA
