names,scores,logfoldchanges,pvals,pvals_adj,cell_type
HNRNPA3,31.077654,1.4648784,4.828148891278733e-212,8.131510589969866e-210,Endothelial
NEK7,31.012287,1.9226424,3.681207010326376e-211,6.095645725922793e-209,Endothelial
ACTB,30.942886,7.1637783,3.1669786979606394e-210,5.200442936942867e-208,Endothelial
PFN1,30.900433,2.0352452,1.178580213619654e-209,1.9193324883781227e-207,Endothelial
RPLP0,30.894575,2.6524394,1.4126597396406036e-209,2.2816770630834504e-207,Endothelial
PRDX1,30.87508,1.8853486,2.58109002597072e-209,4.1016434646575034e-207,Endothelial
RPS6,30.805904,2.7164667,2.184271599000378e-208,3.415958083992258e-206,Endothelial
MANF,30.359024,1.5979075,1.9099225420820918e-202,2.94023622591622e-200,Endothelial
SGK1,29.812954,1.3495189,2.6541495092135424e-195,4.0230781599271424e-193,Endothelial
MAT2A,29.754248,1.2710642,1.528071505048683e-194,2.2985228249606333e-192,Endothelial
COL4A2,29.389421,1.6254935,7.497092563123762e-190,1.0942978441211388e-187,Endothelial
ACTG1,29.254686,3.07911,3.914349442770753e-188,5.630091662029029e-186,Endothelial
EIF5A,29.223196,1.4804214,9.840497225528131e-188,1.4051231726741435e-185,Endothelial
PTGDS,29.187943,1.003574,2.7584677461327074e-187,3.9104753192478416e-185,Endothelial
HSPA1A,29.18502,4.0148273,3.0044015851813675e-187,4.228695231142775e-185,Endothelial
SDCBP,28.94011,1.146097,3.737742909116355e-184,5.150505176513131e-182,Endothelial
FCER1G,28.911407,1.3338542,8.582025642804884e-184,1.1743667728574321e-181,Endothelial
CTSL,28.71379,1.583402,2.5666964348420354e-181,3.464161181408377e-179,Endothelial
DNAJA1,28.670801,1.1510099,8.825330462971952e-181,1.1830145358698118e-178,Endothelial
TGM2,28.634298,1.3542297,2.514821683447375e-180,3.3482811670493596e-178,Endothelial
RASIP1,28.33773,1.1225655,1.18559837895445e-176,1.5679339635770093e-174,Endothelial
PRKCDBP,28.164127,1.5600882,1.6090561518240734e-174,2.1137634314462242e-172,Endothelial
PLIN2,28.152718,1.6207902,2.219651271490647e-174,2.896571410908821e-172,Endothelial
PDIA3,28.094332,1.3326715,1.1489944394620675e-173,1.4895352256315815e-171,Endothelial
ARPC2,27.963448,1.1750176,4.5244364628174554e-172,5.827060163386795e-170,Endothelial
CYBA,27.909372,1.2770499,2.053322419753244e-171,2.6273193689115377e-169,Endothelial
ATP5B,27.902273,1.2692908,2.5038709493070315e-171,3.1831469068448424e-169,Endothelial
PARVB,27.835846,1.2369462,1.598271052800025e-170,2.0188417368861852e-168,Endothelial
TNFRSF12A,27.589432,2.0434983,1.4900410006340129e-167,1.8701438164008422e-165,Endothelial
NEAT1,27.446865,1.358661,7.572895615327518e-166,9.444551145571439e-164,Endothelial
FAS,27.412859,1.0424635,1.9270219501957753e-165,2.3881740584030032e-163,Endothelial
NME1,27.396297,1.72081,3.035686756440119e-165,3.7386379709782835e-163,Endothelial
CFL1,27.30807,1.5824554,3.401801417627824e-164,4.1378084527380413e-162,Endothelial
ACER2,27.08317,1.295253,1.5543637942761343e-161,1.8676060101348308e-159,Endothelial
ALDOA,27.060062,1.2415711,2.9081698129431487e-161,3.4730597675178634e-159,Endothelial
LGALS3,26.992552,4.170029,1.8075090620743225e-160,2.145600365552682e-158,Endothelial
RAN,26.804262,1.441193,2.8819112577436933e-158,3.380241746061874e-156,Endothelial
LY6A,26.746927,7.272204,1.34072288572669e-157,1.5632511516712678e-155,Endothelial
LCN2,26.64439,4.382881,2.0787409791864905e-156,2.4095053526394e-154,Endothelial
GNGT2,26.643747,1.8283184,2.1146780554336768e-156,2.436826379083076e-154,Endothelial
ECM1,26.187286,1.2502917,3.7093613091969475e-151,4.153009352143514e-149,Endothelial
PTTG1IP,26.160622,0.9359292,7.461662005915453e-151,8.306895470427347e-149,Endothelial
SCGB3A1,26.102625,3.4720948,3.4040951303208275e-150,3.768409805784939e-148,Endothelial
TUBA1A,26.061987,1.4866039,9.839917837447787e-150,1.0832155362397132e-147,Endothelial
CTLA2B,25.845041,1.9874244,2.7663886351705626e-147,3.0116954727091675e-145,Endothelial
CXCL2,25.835503,4.8072157,3.5408182990533876e-147,3.8336167353212636e-145,Endothelial
PPP1R15A,25.674532,1.4248803,2.2506564872189397e-145,2.410281852209196e-143,Endothelial
VAPA,25.523788,0.9259985,1.0734182568199495e-143,1.1250907846083566e-141,Endothelial
CYCS,25.510214,1.191112,1.518543346559277e-143,1.5832220446534682e-141,Endothelial
CD74,25.413757,1.5150847,1.7769745085339904e-142,1.8429096152980148e-140,Endothelial
ATP1A1,25.412416,1.2196299,1.8386805403971226e-142,1.8969214685091782e-140,Endothelial
UBB,25.337694,3.9447544,1.2281389616285246e-141,1.2604415749421914e-139,Endothelial
CD81,25.167326,1.9351329,9.132644844183492e-140,9.324288427701333e-138,Endothelial
PPFIBP1,24.970049,1.2720519,1.2935762744017546e-137,1.3005061473003355e-135,Endothelial
KRTCAP2,24.827778,1.087057,4.494813137849842e-136,4.473247115218744e-134,Endothelial
CANX,24.654005,1.1685206,3.3335767001651464e-134,3.284406443837711e-132,Endothelial
DAD1,24.580128,1.0324306,2.0607668855944188e-133,2.020269227892439e-131,Endothelial
TYROBP,24.432226,1.1295997,7.776052239965008e-132,7.585500464777746e-130,Endothelial
IL4RA,24.337915,2.875436,7.783942625402207e-131,7.555792582933522e-129,Endothelial
EHD4,24.259623,1.471006,5.233805120801769e-130,5.05549656399014e-128,Endothelial
RPSA,24.19741,1.5277029,2.368869574628005e-129,2.277003656977797e-127,Endothelial
LDHA,24.163675,1.2666801,5.3629405660178865e-129,5.129939022008856e-127,Endothelial
EEF1A1,24.151611,1.8345759,7.181178201888338e-129,6.835995964647812e-127,Endothelial
RANBP1,24.053679,1.1740245,7.639709938924494e-128,7.202893987871156e-126,Endothelial
TMED9,24.018303,1.0034548,1.7905978849289679e-127,1.6722147546220526e-125,Endothelial
IER5,24.008755,1.0287313,2.25294426379052e-127,2.0940691848109527e-125,Endothelial
GRRP1,23.858486,1.1948895,8.267637879035142e-126,7.61279459842932e-124,Endothelial
CNN3,23.6371,1.0001365,1.6020905032460785e-123,1.4481281360763293e-121,Endothelial
CPE,23.551012,1.2987604,1.2257420636357007e-122,1.1028880074859125e-120,Endothelial
RPN2,23.484608,1.0586702,5.859404538750505e-122,5.2481621107308505e-120,Endothelial
AKAP12,23.454893,2.3274796,1.1783252264387734e-121,1.0506288953382819e-119,Endothelial
TSPO,23.443453,0.9875164,1.5416293178660781e-121,1.3683696265113094e-119,Endothelial
MAL,23.438353,1.4469954,1.7378300074203364e-121,1.535602703866266e-119,Endothelial
EIF4EBP1,23.42172,1.7523032,2.5677963678573374e-121,2.2588583673495015e-119,Endothelial
PABPC1,23.39049,1.1087519,5.340639534120894e-121,4.677213423104543e-119,Endothelial
RAB5C,23.384237,0.9811113,6.183360098966404e-121,5.391288086289071e-119,Endothelial
C5AR1,23.264416,4.049118,1.0167046057983003e-119,8.825623020817405e-118,Endothelial
CDC42EP3,23.148397,1.2680881,1.5088244536348257e-118,1.3040081517050105e-116,Endothelial
CCL6,23.147781,3.1069825,1.5305229689099063e-118,1.3169849389681092e-116,Endothelial
CCDC141,23.051823,0.936634,1.4102777861276728e-117,1.2082401641585126e-115,Endothelial
NPM1,23.003086,1.274355,4.3413480905195105e-117,3.703301477215885e-115,Endothelial
MT-CYTB,22.7417,2.285522,1.733866831746781e-114,1.4663453184364944e-112,Endothelial
MDH2,22.706936,0.9466803,3.8261539489969e-114,3.221981348930936e-112,Endothelial
CCL7,22.659592,3.7797573,1.122175137256798e-113,9.409557906232001e-112,Endothelial
APOLD1,22.600883,1.2268744,4.24787656521077e-113,3.5318315492606844e-111,Endothelial
PECAM1,22.574987,0.92447954,7.633304747953007e-113,6.267261252433917e-111,Endothelial
EIF2S2,22.52933,1.1144975,2.141702710323486e-112,1.75113078451968e-110,Endothelial
POMP,22.516848,0.99053705,2.838595359399802e-112,2.3113438659906237e-110,Endothelial
FOSB,22.399843,1.141961,3.949676914477527e-111,3.202814139908628e-109,Endothelial
TUBB4B,22.386328,1.0418328,5.348900424038947e-111,4.319675526872437e-109,Endothelial
SEC61G,22.303965,1.1264769,3.3817843498850023e-110,2.719920841407509e-108,Endothelial
LRRC8A,22.254375,1.0989873,1.023074079691151e-109,8.16181163575471e-108,Endothelial
ATP5G1,22.048359,1.1161748,9.904976203497266e-108,7.870062745561035e-106,Endothelial
JUND,21.997948,1.1239201,3.013032441827895e-107,2.3844098098883e-105,Endothelial
MAP3K6,21.86541,1.9073014,5.546583848303171e-106,4.3543997900722705e-104,Endothelial
NCL,21.845457,1.2044746,8.586332305235754e-106,6.714034844232958e-104,Endothelial
ARHGDIA,21.748552,0.8432388,7.129480635890677e-105,5.552822764040545e-103,Endothelial
SHISA5,21.726261,0.88395816,1.1586148649627752e-104,8.953139574153524e-103,Endothelial
SPCS2,21.721434,0.90509176,1.2869887720457656e-104,9.906294434828831e-103,Endothelial
C1QC,21.660025,0.8280741,4.8897977142585025e-104,3.749162021769019e-102,Endothelial
SRSF2,21.657074,0.94366294,5.213055892460992e-104,3.981521951974568e-102,Endothelial
EIF5,21.551752,0.90267015,5.098151932640067e-103,3.863810916641251e-101,Endothelial
CLIC4,21.435953,0.9601946,6.175678099899103e-102,4.662518657414246e-100,Endothelial
ANXA7,21.386644,0.9585256,1.7790216122807485e-101,1.3380007965645858e-99,Endothelial
HBB-BS,21.311275,11.082147,8.923276349478869e-101,6.685671500626658e-99,Endothelial
YWHAE,21.161741,0.8866696,2.1513059810012785e-99,1.5936648253996314e-97,Endothelial
CCL9,21.098541,2.7148619,8.202930928692006e-99,6.053885915725692e-97,Endothelial
TUBB2A,21.018358,1.1257731,4.455790540996165e-98,3.276169873519755e-96,Endothelial
PSMA6,20.880058,0.767409,8.129324506291276e-97,5.932901459128504e-95,Endothelial
MAFF,20.866524,1.6348152,1.0790229090186963e-96,7.845810487901627e-95,Endothelial
PIM3,20.731346,1.0123607,1.806621279926342e-95,1.3088041294466386e-93,Endothelial
FBL,20.713526,1.603765,2.6159026841837566e-95,1.8881451425582758e-93,Endothelial
TXN1,20.706873,0.9923155,3.0033197568808316e-95,2.1598691901217806e-93,Endothelial
LILRB4A,20.673203,5.7889743,6.037429227591559e-95,4.326092470170606e-93,Endothelial
RAB11A,20.652472,0.8673675,9.275163160325654e-95,6.6219960171817755e-93,Endothelial
IER2,20.6415,0.932482,1.1639174762611213e-94,8.279781180406279e-93,Endothelial
CAPZB,20.52979,0.7670612,1.166775906443276e-93,8.24061621378665e-92,Endothelial
DBI,20.4103,1.0111326,1.354501724482953e-92,9.498383089301278e-91,Endothelial
VIM,20.387377,1.2408557,2.1644627154258075e-92,1.5124375109030333e-90,Endothelial
DNAJB1,20.298582,1.0596421,1.3234879607557836e-91,9.15064219883955e-90,Endothelial
MRPL52,20.218952,1.0873406,6.66845992910187e-91,4.5784670001028694e-89,Endothelial
CAPNS1,20.210869,0.78467697,7.855210204974456e-91,5.374545732257696e-89,Endothelial
ADAMTS9,20.158316,5.2344275,2.274978874058546e-90,1.5458089211490913e-88,Endothelial
COX5A,20.133652,0.8387677,3.743635024434904e-90,2.534994094724735e-88,Endothelial
RPL4,20.001991,1.3537635,5.291641430607337e-89,3.5709518626752596e-87,Endothelial
FKBP2,19.928057,1.110748,2.3241333918456298e-88,1.5630391974852607e-86,Endothelial
BTG1,19.921188,0.87060755,2.665893072820254e-88,1.78678309523548e-86,Endothelial
CCT5,19.894218,1.0126253,4.566699001909381e-88,3.0504001299194697e-86,Endothelial
H13,19.804161,1.1500498,2.740907254802431e-87,1.8246478870230375e-85,Endothelial
AIG1,19.724384,1.7304382,1.3316757194220633e-86,8.805593976916698e-85,Endothelial
SSR2,19.664513,0.906068,4.34314127384402e-86,2.862260829468108e-84,Endothelial
P4HB,19.657768,1.0861053,4.96082456838e-86,3.2584349373309297e-84,Endothelial
LY6C1,19.65499,5.278228,5.239986031365665e-86,3.4303629484405455e-84,Endothelial
TNFRSF1A,19.652653,1.3583338,5.4868901319118694e-86,3.580104968520642e-84,Endothelial
SEPT7,19.563911,0.74510956,3.140396177516529e-85,2.0355758775645793e-83,Endothelial
ERH,19.536505,0.93647474,5.373787345441924e-85,3.471819004653544e-83,Endothelial
MS4A6D,19.518658,3.2143133,7.621437019844878e-85,4.907856747583115e-83,Endothelial
TMED10,19.311716,0.7775521,4.281084729265022e-83,2.747842820526621e-81,Endothelial
CLIP1,19.273813,1.0022287,8.912272412817724e-83,5.701828827745886e-81,Endothelial
EEF1G,19.264177,1.0978345,1.0735690936069756e-82,6.846174430267137e-81,Endothelial
ITGB1,19.24107,0.9287377,1.6771045019965135e-82,1.0660433616723e-80,Endothelial
RPL3,19.219015,1.5622427,2.5659587677872312e-82,1.6257947755385013e-80,Endothelial
CKB,19.218307,1.1769164,2.6011910554869534e-82,1.642835568858026e-80,Endothelial
EEF2,19.215008,0.8344477,2.771896746185179e-82,1.745055124076005e-80,Endothelial
CCT7,19.187532,0.8809675,4.70450454163489e-82,2.942928952156048e-80,Endothelial
LMNA,19.177292,1.3090354,5.728707795355522e-82,3.5722844021354604e-80,Endothelial
TMED2,19.134388,0.79245895,1.3060584760578257e-81,8.118574848807399e-80,Endothelial
HSD17B12,19.125896,1.3799552,1.5370769600780872e-81,9.524560219603366e-80,Endothelial
HRCT1,19.11174,0.98228526,2.0163503327142368e-81,1.2455229876531047e-79,Endothelial
ACTR3,19.059374,0.95219225,5.492868520657794e-81,3.382405443736307e-79,Endothelial
FCRLS,19.054968,1.4184096,5.975236809020264e-81,3.667976365163374e-79,Endothelial
ARF1,19.04032,0.74885935,7.904507258677861e-81,4.837214768082212e-79,Endothelial
RRBP1,18.94136,0.9675116,5.2035835934220405e-80,3.164710330505596e-78,Endothelial
PON2,18.93992,0.7304485,5.347774216809993e-80,3.2423966443766435e-78,Endothelial
PRMT1,18.922817,1.0861856,7.399224645547421e-80,4.458768245887216e-78,Endothelial
ALDOC,18.897251,1.8775135,1.20150791846264e-79,7.196265511643259e-78,Endothelial
CPNE8,18.856121,1.2050477,2.6172907942371668e-79,1.562839851528587e-77,Endothelial
ATF4,18.848305,1.1227497,3.034077903262708e-79,1.806238824283736e-77,Endothelial
HSPE1,18.773766,1.2068639,1.2379217702923712e-78,7.303367809464423e-77,Endothelial
SLC1A1,18.665186,0.83605176,9.504391186902518e-78,5.573929414818872e-76,Endothelial
RPL7A,18.570639,1.2159783,5.553810836551442e-77,3.228254942013161e-75,Endothelial
IGFBP3,18.514868,2.0026224,1.5668187029766615e-76,9.0275329070629e-75,Endothelial
KLF6,18.439001,0.8575838,6.390993472606635e-76,3.660887394700981e-74,Endothelial
