source,target,ligand_complex,receptor_complex,lr_means_mcao,cellphone_pvals_mcao,expr_prod_mcao,scaled_weight_mcao,lr_logfc_mcao,spec_weight_mcao,lrscore_mcao,specificity_rank_mcao,magnitude_rank_mcao,lr_means_sham,cellphone_pvals_sham,expr_prod_sham,scaled_weight_sham,lr_logfc_sham,spec_weight_sham,lrscore_sham,specificity_rank_sham,magnitude_rank_sham,magnitude_rank_diff,iron_aging_related
Microglia,Endothelial,TNF,FAS,1.2933493,0.0,1.5589476,0.5948801288815578,23.305386411745573,0.4062419,0.67451435,4.252623927120245e-05,0.11338478380265485,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8866152161973452,True
Pericyte,Endothelial,CCL2,ACKR1,1.2896587,1.0,1.6460493,-0.030469459462330914,29.349289657067033,0.06397545,0.68045384,0.04453615865983357,0.1150418472135077,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8849581527864923,True
Microglia,Microglia,CXCL10,SDC4,1.1823738,0.0,1.2992089,0.27957175995440653,4.628856597375872,0.23435566,0.65419877,5.544494382894098e-05,0.13309251889171192,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8669074811082881,True
Pericyte,Microglia,CCL2,CCR5,1.1592852,1.0,1.2756076,0.25754587840347304,-69.86342878345617,0.05361065,0.65212214,0.06148060211774985,0.13666423299571223,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8633357670042878,True
Pericyte,Astrocyte,CCL2,CCR2,1.1291882,1.0,1.1900904,0.2088797270171282,-64.85453610644834,0.07222017,0.64421,0.05582459867415149,0.14210089645778679,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8578991035422132,True
Pericyte,Astrocyte,CCL2,CCR1,1.1167982,1.0,1.1548856,0.15253533669381397,-77.25033826196743,0.049746316,0.6407613,0.06904177774022699,0.14393410145247804,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.856065898547522,True
Microglia,Astrocyte,TNF,VSIR,1.0515662,0.0,0.7703969,0.29270953010823764,20.89440081966926,0.122902766,0.59296703,4.252623927120245e-05,0.15515206102871998,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.84484793897128,True
Pericyte,Endothelial,TIMP1,CD63,1.0328964,1.0,1.0056107,-0.14560773544037742,-19.193943230890547,0.018900389,0.6246815,0.09071339887272793,0.15705791901588304,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8429420809841169,True
Microglia,Endothelial,CXCL10,ACKR1,1.0133373,0.0,1.0057443,0.1601938355775464,117.91243766827995,0.47929987,0.624697,0.0002256671604938272,0.1618675065803075,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8381324934196925,True
Microglia,Astrocyte,CXCL10,SDC4,1.0118842,0.0,1.0032218,0.19508330134586216,29.045657765257662,0.18096451,0.6244026,0.00014638012498094803,0.16283709128181656,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8371629087181834,True
Oligodendrocyte,Endothelial,CCL2,ACKR1,0.988533,1.0,0.94826686,-0.05526842699232616,-42.816651881881086,0.0368554,0.6177738,0.052763935674703256,0.16772324192102755,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8322767580789725,True
Pericyte,Microglia,CCL2,CCR1,0.9268127,1.0,0.61506325,-0.02860818382080793,-66.1170204647573,0.026493648,0.56553435,0.05720634413602152,0.18276032197159217,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8172396780284078,True
