source,target,ligand_complex,receptor_complex,magnitude_rank_mcao,magnitude_rank_sham,magnitude_rank_diff
Oligodendrocyte,Oligodendrocyte,TNF,VSIR,0.5184207931354232,1.0,-0.4815792068645768
Oligodendrocyte,Pericyte,TNF,VSIR,0.5246585605212339,1.0,-0.47534143947876606
Microglia,Microglia,CCL2,CCR1,0.019708486906232107,0.09167558563118715,-0.07196709872495505
Microglia,Microglia,CCL2,CCR5,0.006080260960049394,0.07428689687360644,-0.06820663591355705
Oligodendrocyte,Microglia,CCL2,CCR3,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CXCL1,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CCL8,CCR1,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CCL8,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CCL2,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Microglia,CCL2,CCR2,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CXCL1,CXCR1,1.0,1.0,0.0
Microglia,Pericyte,B2M,KLRD1,1.0,1.0,0.0
Microglia,Pericyte,B2M,KLRC2,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CCL8,CCR3,1.0,1.0,0.0
Oligodendrocyte,Microglia,IL6,MUSK,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CCL8,CCR2,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CCL2,CCR1,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CCL8,CCR5,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,B2M,KLRC1,1.0,1.0,0.0
Microglia,Oligodendrocyte,IL6,MUSK,1.0,1.0,0.0
Microglia,Oligodendrocyte,IL6,F3,1.0,1.0,0.0
Oligodendrocyte,Microglia,TNF,FAS,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CCL8,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CCL8,CCR2,1.0,1.0,0.0
Pericyte,Microglia,CXCL2,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,B2M,KLRC2,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,B2M,KLRD1,1.0,1.0,0.0
Pericyte,Microglia,IL6,MUSK,1.0,1.0,0.0
Pericyte,Microglia,IL6,F3,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CCL8,ACKR1,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CCL2,CCR2,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CCL2,CCR1,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CCL2,CCR5,1.0,1.0,0.0
Pericyte,Microglia,TNF,FAS,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CCL2,CCR3,1.0,1.0,0.0
Oligodendrocyte,Microglia,CCL8,CCR2,1.0,1.0,0.0
Oligodendrocyte,Microglia,CCL8,CCR1,1.0,1.0,0.0
Oligodendrocyte,Microglia,CCL8,CCR3,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CCL2,CCR1,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CCL2,CCR2,1.0,1.0,0.0
Oligodendrocyte,Microglia,CSF2,CSF1R,1.0,1.0,0.0
Oligodendrocyte,Microglia,CCL8,CCR5,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CCL8,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Microglia,CCL8,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Microglia,CXCL10,ACKR1,1.0,1.0,0.0
Microglia,Pericyte,CCL2,CCR1,1.0,1.0,0.0
Oligodendrocyte,Microglia,CXCL1,CXCR2,1.0,1.0,0.0
Oligodendrocyte,Microglia,CXCL1,CXCR1,1.0,1.0,0.0
Microglia,Pericyte,B2M,KLRC1,1.0,1.0,0.0
Oligodendrocyte,Microglia,CXCL1,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Microglia,B2M,KLRD1,1.0,1.0,0.0
Microglia,Pericyte,CCL2,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CXCL10,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CXCL1,CXCR2,1.0,1.0,0.0
Oligodendrocyte,Microglia,B2M,KLRC2,1.0,1.0,0.0
Oligodendrocyte,Microglia,B2M,KLRC1,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CCL2,CCR5,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CCL2,CCR3,1.0,1.0,0.0
Microglia,Pericyte,CCL2,CCR5,1.0,1.0,0.0
Microglia,Pericyte,CCL2,CCR3,1.0,1.0,0.0
Microglia,Pericyte,CCL2,CCR2,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CXCL10,CCR3,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CCL2,CCR3,1.0,1.0,0.0
Microglia,Oligodendrocyte,TIMP1,CD63,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CSF2,CSF1R,1.0,1.0,0.0
Oligodendrocyte,Microglia,CXCL2,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,TIMP1,CD63,1.0,1.0,0.0
Oligodendrocyte,Microglia,CCL2,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CCL8,CCR5,1.0,1.0,0.0
Oligodendrocyte,Microglia,CXCL2,XCR1,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CCL8,CCR3,1.0,1.0,0.0
Oligodendrocyte,Microglia,CXCL2,CXCR1,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CCL2,CCR5,1.0,1.0,0.0
Oligodendrocyte,Endothelial,B2M,KLRD1,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CCL2,CCR2,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CXCL10,SDC4,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CCL8,CCR2,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CCL8,CCR1,1.0,1.0,0.0
Oligodendrocyte,Endothelial,B2M,KLRC1,1.0,1.0,0.0
Oligodendrocyte,Endothelial,B2M,KLRC2,1.0,1.0,0.0
Oligodendrocyte,Microglia,CXCL2,CXCR2,1.0,1.0,0.0
Oligodendrocyte,Microglia,CXCL10,SDC4,1.0,1.0,0.0
Oligodendrocyte,Microglia,CXCL10,CCR3,1.0,1.0,0.0
