,Endothelial_Sham,Endothelial_MCAO,Astrocyte_Sham,Astrocyte_MCAO,Microglia_Sham,Microglia_MCAO,Oligodendrocyte_Sham,Oligodendrocyte_MCAO,Pericyte_Sham,Pericyte_MCAO
PTPN18,0.13190186,0.11796091,0.28535613,0.3022275,1.118365,0.6382703,0.101459816,0.079308406,0.09048168,0.059351724
4930568A12RIK,0.0,0.00043376733,0.0014146488,0.0017059761,0.0059568686,0.0030361218,0.0,0.0,0.0,0.000536068
ARHGEF4,0.011079632,0.012937224,0.07452728,0.06081977,0.024863271,0.014325918,0.022713602,0.01012842,0.0142167965,0.009396752
GM38336,0.0007869821,0.0013099284,0.0012470804,0.0016355291,0.0006617608,0.0008350615,0.0018218441,0.0,0.0021773737,0.0015930664
FAM168B,0.092697546,0.09026043,0.115617834,0.10883121,0.11973614,0.08636883,0.09116021,0.06388112,0.1995165,0.15911849
PLEKHB2,0.06348381,0.08352813,0.19349249,0.18729709,0.12098314,0.15597972,0.11733859,0.11904956,0.13583292,0.11279533
1110002O04RIK,0.0,0.0,0.0,0.00017928205,0.0,0.0,0.007589767,0.0,0.0,0.0
HS6ST1,0.013481895,0.015084902,0.029122608,0.027436683,0.07360019,0.04030823,0.044685297,0.028351136,0.008351874,0.013182014
GM37335,7.4970296e-05,7.3479845e-05,0.00048218874,0.0,0.0,0.0,0.0,0.0012061743,0.0,0.0
GM33280,0.0007155186,0.00024992944,0.0,0.0006250458,0.00025640213,0.001145635,0.0,0.0,0.0,0.0
UGGT1,0.05724378,0.065201364,0.06352306,0.06899314,0.08244742,0.0811742,0.047585055,0.049352594,0.0626052,0.057346415
NEURL3,0.009422188,0.015527633,0.031334557,0.08328807,0.1242425,0.10565845,0.0069830054,0.011505803,0.010912521,0.011897727
ARID5A,0.07252257,0.17816791,0.091754556,0.18832685,0.10382619,0.22589064,0.08917415,0.15462418,0.2231385,0.31629428
4930403P22RIK,0.00414196,0.0060133454,0.0032932193,0.0034701712,0.0030761906,0.0052984986,0.0039250473,0.009102789,0.007990723,0.0059162634
KANSL3,0.18049411,0.18324547,0.13648492,0.1343745,0.12587902,0.11260089,0.12517639,0.118672684,0.21763808,0.18534586
LMAN2L,0.15852875,0.1354276,0.13701305,0.113998905,0.26180315,0.21830507,0.12407056,0.116366796,0.16807713,0.14980046
CNNM4,0.009856215,0.012848315,0.018467242,0.020788264,0.027211685,0.030363578,0.018625416,0.016376365,0.040112726,0.030302094
