cell_type,gene,mean_expr,pct_expr
Endothelial,ACSL4,0.033320795744657516,2.3334389188047724
Endothelial,GPX4,1.681550145149231,78.81955442931053
Endothelial,PTGS2,0.04430171102285385,2.9000809488614365
Endothelial,HMOX1,0.15572841465473175,9.917995283848942
Endothelial,TFRC,0.5112372636795044,28.374335691408863
Endothelial,CDKN1A,1.4231436252593994,62.77056277056276
Endothelial,IL6,0.0049970089457929134,0.36954915003695493
Endothelial,CDKN2A,0.0024162938352674246,0.15837820715869497
Astrocyte,ACSL4,0.05146489664912224,4.716003316749585
Astrocyte,GPX4,1.9851839542388916,84.95024875621891
Astrocyte,PTGS2,0.07319805026054382,5.05804311774461
Astrocyte,HMOX1,0.3439161777496338,22.958126036484245
Astrocyte,TFRC,0.13470907509326935,11.287313432835822
Astrocyte,CDKN1A,0.9008163809776306,47.22222222222222
Astrocyte,IL6,0.017204968258738518,1.4303482587064678
Astrocyte,CDKN2A,0.000962780206464231,0.08291873963515754
Microglia,ACSL4,0.08590883016586304,6.187140181729902
Microglia,GPX4,1.103435754776001,62.25983214260942
Microglia,PTGS2,0.03268994763493538,2.4138170215717554
Microglia,HMOX1,0.6208943128585815,34.44544634806132
Microglia,TFRC,0.10425960272550583,7.6923076923076925
Microglia,CDKN1A,0.7595522403717041,37.698550322535894
Microglia,IL6,0.044980525970458984,2.9756537421100093
Microglia,CDKN2A,0.0061308760195970535,0.48553790663799684
Oligodendrocyte,ACSL4,0.03494515269994736,3.474415666456096
Oligodendrocyte,GPX4,2.3295040130615234,94.94630448515477
Oligodendrocyte,PTGS2,0.014302892610430717,1.3897662665824384
Oligodendrocyte,HMOX1,0.1610562652349472,13.455464308275427
Oligodendrocyte,TFRC,0.14990419149398804,14.150347441566646
Oligodendrocyte,CDKN1A,1.4258043766021729,63.80290587492104
Oligodendrocyte,IL6,0.005162037909030914,0.505369551484523
Oligodendrocyte,CDKN2A,0.0004870259144809097,0.06317119393556538
Pericyte,ACSL4,0.05257420614361763,4.079718640093787
Pericyte,GPX4,1.671743392944336,82.32121922626025
Pericyte,PTGS2,0.01689743623137474,1.2661195779601406
Pericyte,HMOX1,0.13220423460006714,9.566236811254395
Pericyte,TFRC,0.118502676486969,8.604923798358733
Pericyte,CDKN1A,0.8970267176628113,46.00234466588511
Pericyte,IL6,0.0800904929637909,3.985932004689332
Pericyte,CDKN2A,0.0007116109482012689,0.07033997655334115
