source,target,ligand,receptor,weight
Astrocyte,GABAergic,PSAP,GPR37L1,0.874910233230477
GABAergic,Microglia,TNF,VSIR,0.8743090891131595
Pericyte,GABAergic,CCL2,CCR1,0.8712838912335729
Astrocyte,Astrocyte,PTN,PTPRB,0.869453281180042
Pericyte,Microglia,CCL2,CCR5,0.8688404964298855
Pericyte,Endothelial,LGALS3,ENG,0.8682264548241011
Astrocyte,Endothelial,CCL2,ACKR1,0.8669944572868079
Oligodendrocyte,Endothelial,LGALS3,ENG,0.8651368389529747
Pericyte,GABAergic,CCL2,CCR2,0.8645151012215299
Endothelial,Astrocyte,FN1,C5AR1,0.8607577030547846
Astrocyte,GABAergic,CCL3,CCR1,0.860127004535779
Astrocyte,Microglia,PSAP,GPR37L1,0.860127004535779
Pericyte,Microglia,APOE,LSR,0.8594950344276433
Astrocyte,Microglia,CCL3,CCR5,0.8588617937942549
Endothelial,Microglia,APOE,LSR,0.857591505207229
GABAergic,Microglia,THBS1,SDC4,0.857591505207229
Pericyte,GABAergic,CCL4,CCR5,0.8556766008406729
Endothelial,Oligodendrocyte,FN1,C5AR1,0.8550357594580946
Astrocyte,GABAergic,CCL2,CCR1,0.8537502885223275
GABAergic,Oligodendrocyte,CCL5,SDC4,0.8531056921966386
Astrocyte,Microglia,CCL2,CCR5,0.8511642550386002
Endothelial,Endothelial,LGALS3,ENG,0.850514594510851
Pericyte,Microglia,CCL4,CCR1,0.8498636783520293
Pericyte,Microglia,ANGPTL4,SDC4,0.8498636783520293
Astrocyte,Microglia,LGALS3,LAG3,0.8492115390891712
Astrocyte,Pericyte,PSAP,GPR37L1,0.8479034383117894
Pericyte,Endothelial,ADM,RAMP2,0.8465903320319492
Pericyte,Endothelial,TIMP1,CD63,0.8459319044883008
GABAergic,GABAergic,THBS1,SDC4,0.8452722605853966
Pericyte,Astrocyte,THBS1,SDC4,0.8452722605853966
Astrocyte,GABAergic,CCL2,CCR2,0.8439491689538097
Oligodendrocyte,Endothelial,CCL2,ACKR1,0.8412880864772816
Endothelial,Endothelial,FN1,C5AR1,0.8399500805894269
