isp_index,cell_type,condition,glutathione_metabolism,fatty_acid_elongation,iron_metabolism
-0.7547708852453562,Endothelial,Sham,0.3052208835341365,0.10618279569892472,0.18
-0.5985425931044225,GABAergic,Sham,-0.5341365461847389,-0.10887096774193548,2.38
-1.0185157403061669,Astrocyte,Sham,-0.09839357429718879,-0.056451612903225805,0.556
-0.6706698921000793,Endothelial,Sham,0.12449799196787148,-0.03225806451612903,4.548
-0.8577229175074905,Microglia,Sham,0.07028112449799195,-0.04435483870967742,0.332
-1.0880088721321781,Oligodendrocyte,Sham,-0.8493975903614459,0.07392473118279569,24.736
-0.507539089890447,Microglia,Sham,0.06827309236947787,-0.06451612903225806,1.1840000000000002
-1.2603431490246624,Microglia,Sham,-0.14658634538152612,-0.05241935483870968,0.396
-0.5190969438377211,Endothelial,Sham,-0.12851405622489964,-0.056451612903225805,1.576
-0.515350604972053,Endothelial,Sham,0.1506024096385542,-0.03225806451612903,1.7800000000000002
-0.6708900923452543,Endothelial,Sham,1.0120481927710843,-0.04435483870967742,-0.20400000000000001
-0.6640616590936465,Microglia,Sham,-0.2630522088353414,-0.036290322580645164,2.516
-0.6541511314560987,Endothelial,Sham,-0.2208835341365462,-0.07258064516129033,1.58
-0.43784655907734366,Microglia,Sham,0.2771084337349397,-0.056451612903225805,1.444
-0.9482785870798326,Microglia,Sham,-0.23493975903614459,-0.04838709677419355,1.588
-0.9032162415750582,Endothelial,Sham,0.032128514056224855,-0.028225806451612902,0.772
-0.8240648693706225,Endothelial,Sham,0.06827309236947787,-0.04838709677419355,1.1079999999999999
-0.9660803391365537,Microglia,Sham,0.004016064257028107,-0.05241935483870968,0.04800000000000004
-0.4507860415424529,Endothelial,Sham,-0.29919678714859443,-0.06451612903225806,2.924
-0.3309829071786393,Endothelial,Sham,-0.17469879518072284,-0.06048387096774194,2.888
-0.6967690572754727,Endothelial,Sham,-0.08634538152610441,-0.04838709677419355,1.6400000000000001
-0.6827136440844198,Endothelial,Sham,0.008032128514056214,-0.03225806451612903,0.836
-0.8167168100212551,Microglia,Sham,-0.28714859437751006,-0.036290322580645164,3.2319999999999998
-0.4967877025408961,Microglia,Sham,-0.19477911646586346,-0.04435483870967742,2.524
-0.5784804003254398,Endothelial,Sham,-0.08232931726907633,-0.0967741935483871,1.7320000000000002
-0.7347372717367477,Endothelial,Sham,-0.024096385542168697,-0.05241935483870968,2.144
-0.43619923276761735,Endothelial,Sham,0.0,-0.04435483870967742,3.7
-1.159565887513788,Astrocyte,Sham,0.24698795180722893,0.24462365591397847,2.004
