source,target,ligand_complex,receptor_complex,magnitude_rank_mcao,magnitude_rank_sham,magnitude_rank_diff
GABAergic,GABAergic,CCL7,CCR5,0.09143252268502251,1.0,-0.9085674773149774
GABAergic,Astrocyte,THBS1,SDC4,0.09247676775096347,1.0,-0.9075232322490365
GABAergic,Microglia,CCL5,CCR5,0.09300093533032827,1.0,-0.9069990646696717
Astrocyte,Endothelial,PTN,SDC4,0.09458156764160056,1.0,-0.9054184323583995
GABAergic,Pericyte,CCL5,SDC4,0.09564209276393892,1.0,-0.904357907236061
GABAergic,Microglia,CCL7,CCR1,0.09617439089484353,1.0,-0.9038256091051564
Pericyte,Astrocyte,ANGPTL4,SDC4,0.09724302732150016,1.0,-0.9027569726784999
Microglia,Endothelial,LGALS3,ENG,0.09777937636606138,1.0,-0.9022206236339386
Endothelial,GABAergic,CCL4,CCR1,0.09831706062423526,1.0,-0.9016829393757647
Endothelial,Microglia,CCL4,CCR5,0.0993964953312582,1.0,-0.9006035046687418
Microglia,Astrocyte,CXCL10,SDC4,0.09993821763946446,1.0,-0.9000617823605356
Microglia,GABAergic,PSAP,GPR37L1,0.09993821763946446,1.0,-0.9000617823605356
Microglia,Endothelial,CXCL2,ACKR1,0.10102571906643823,1.0,-0.8989742809335618
GABAergic,GABAergic,CCL5,CCR5,0.1015714698501654,1.0,-0.8984285301498346
Astrocyte,Endothelial,PSAP,GPR37L1,0.10487414496199908,1.0,-0.8951258550380009
Oligodendrocyte,GABAergic,CCL4,CCR5,0.10487414496199908,1.0,-0.8951258550380009
Microglia,Endothelial,TNF,FAS,0.10710263377015854,1.0,-0.8928973662298415
Astrocyte,Endothelial,LGALS3,ENG,0.10766308722707335,1.0,-0.8923369127729266
GABAergic,Microglia,CCL5,CCR1,0.10822485616776961,1.0,-0.8917751438322303
Endothelial,GABAergic,CCL4,CCR5,0.10991815349589161,1.0,-0.8900818465041084
Microglia,Microglia,PSAP,GPR37L1,0.11048524144030303,1.0,-0.889514758559697
Pericyte,GABAergic,CCL4,CCR1,0.11162337367551031,1.0,-0.8883766263244897
Pericyte,Microglia,CCL4,CCR5,0.112766805956577,1.0,-0.887233194043423
Pericyte,Endothelial,CCL2,ACKR1,0.11449183378777225,1.0,-0.8855081662122277
Oligodendrocyte,Oligodendrocyte,PTN,SDC4,0.115648430711189,1.0,-0.884351569288811
