,ferroptosis_score,senescence_score,mg_activation,consensus_senescence,isp_index,condition
GSM5319987_sham1_1-4-0,0.28989654413383226,0.8461538461538461,5.762222222222222,-0.1361031518624642,-1.0230581153632545,Sham
GSM5319987_sham1_1-6-0,0.6267334360554699,1.5419851116625312,2.1222222222222222,1.0130522088353413,-0.6622887619272626,Sham
GSM5319987_sham1_1-7-0,0.22000880475456747,0.6157320099255583,3.982222222222222,0.05150052782385764,-1.097911420193137,Sham
GSM5319987_sham1_1-11-0,0.648580233325996,0.6525558312655088,2.9644444444444447,0.01033026692806513,-0.6388897367166616,Sham
GSM5319987_sham1_1-13-0,0.722375082544574,0.3484367245657568,2.891111111111111,0.3484367245657568,-1.0181222216761479,Sham
GSM5319987_sham1_1-14-0,0.35516178736517723,0.25627791563275437,3.3888888888888893,-0.15329512893982808,-1.2347529229565175,Sham
GSM5319987_sham1_1-17-0,0.14731454985692277,0.6617866004962779,3.728888888888889,-0.12349397590361445,-1.1757706451382348,Sham
GSM5319987_sham1_1-22-0,0.7898965441338324,0.7139454094292803,6.2555555555555555,-0.030839993967727353,-0.4875328179740332,Sham
GSM5319987_sham1_1-23-0,0.8289676425269645,1.0442183622828785,5.66,-0.11144578313253013,-0.44568569480142195,Sham
GSM5319987_sham1_1-29-0,0.22617213295179397,0.7109181141439206,3.8311111111111105,0.004599607902277175,-1.0913101838616825,Sham
GSM5319987_sham1_1-31-0,0.8973145498569227,0.8675434243176178,4.42,-0.07955059568692505,-0.3724826990544031,Sham
GSM5319987_sham1_1-37-0,0.4204270305965221,1.024317617866005,3.5111111111111106,-0.0920675614537777,-0.8832533602006711,Sham
GSM5319987_sham1_1-42-0,1.3179066696015846,0.059602977667493784,21.702222222222222,-0.08490423767154276,-1.697061737805255,Sham
GSM5319987_sham1_1-46-0,0.4758969843715606,0.210272952853598,10.224444444444444,-0.01221535213391646,-1.342893289185329,Sham
GSM5319987_sham1_1-49-0,2.2982610609729255,0.28799007444168734,5.935555555555555,-0.3943598250640929,-1.1602095637114145,Sham
GSM5319987_sham1_1-57-0,0.7058661677305744,0.7294292803970224,2.2,-0.0619816015683909,-0.577533602600199,Sham
GSM5319987_sham1_1-63-0,0.4820603125687871,0.47751861042183624,3.4155555555555557,0.027899261046599302,-0.8172409968861293,Sham
GSM5319987_sham1_1-67-0,0.7151111600264142,0.40987593052109184,4.406666666666667,-0.15616045845272206,-0.8737017541559011,Sham
