,ferroptosis_score,ferroptosis_score,senescence_score,senescence_score,shared_score,shared_score,consensus_senescence,consensus_senescence,isp_index,isp_index,sene_pure,sene_pure,ferr_pure,ferr_pure,sene_shared,sene_shared,glutathione_metabolism,glutathione_metabolism,fatty_acid_elongation,fatty_acid_elongation,iron_metabolism,iron_metabolism
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
cell_type,,,,,,,,,,,,,,,,,,,,,,
Astrocyte,0.4455,0.4458,-0.0349,0.1686,-0.3057,0.3959,-0.0153,0.2409,-0.9195,0.4625,-0.0339,0.1766,0.5193,0.4997,-0.3057,0.3959,0.3575,0.6368,0.108,0.2161,3.2134,4.4723
Endothelial,0.326,0.286,0.2365,0.1828,-0.1123,0.258,0.2245,0.1704,-0.499,0.3808,0.254,0.1975,0.3674,0.3268,-0.1123,0.258,0.0011,0.3831,-0.0147,0.0873,2.7749,4.0236
GABAergic,1.3243,2.1398,0.5087,1.5446,3.5044,13.0151,0.2879,0.5712,0.4735,3.9411,0.1097,0.2715,0.9315,1.288,3.5044,13.0151,0.6897,1.4053,-0.0257,0.1034,10.5115,17.6052
Microglia,0.3928,0.5596,0.1767,0.3219,0.1444,1.8258,0.1823,0.2986,-0.5204,0.8073,0.1638,0.2395,0.4154,0.5229,0.1444,1.8258,-0.1848,0.3334,-0.019,0.0851,3.9832,6.3882
Oligodendrocyte,2.0786,1.2633,0.0024,0.1881,-0.3642,0.9705,0.0618,0.3476,-0.7767,0.5714,0.0023,0.1694,2.4003,1.4532,-0.3642,0.9705,0.0915,0.6903,0.041,0.1759,25.5236,18.5428
Pericyte,0.4237,0.3231,0.3179,0.2311,-0.1284,0.2977,0.3117,0.2172,-0.3081,0.4679,0.3465,0.2507,0.4965,0.3683,-0.1284,0.2977,0.0333,0.5328,-0.0279,0.1037,3.6807,4.3914
