protein_A,protein_B,score
RAD51,XRCC1,0
RAD51,LIG3,0
LIG3,RAD51,0
SIRT1,RAD51,0
RAD51,SIRT1,0
SQSTM1,RAD51,0
RAD51,SQSTM1,0
TLR4,RGS4,0
VCAM1,SELE,0
LIG4,RAD51,0
SELE,VCAM1,0
SELE,IL1B,0
IL1B,SELE,0
TLR4,SELE,0
SELE,TLR4,0
SELE,IL1A,0
IL1A,SELE,0
SERPINE1,SELE,0
XRCC1,RAD51,0
RAD51,LIG4,0
IL1B,SLC7A11,0
NBN,PCNA,0
PCNA,WRN,0
PCNA,LIG3,0
LIG3,PCNA,0
PCNA,LIG4,0
LIG4,PCNA,0
XRCC1,PCNA,0
PCNA,XRCC1,0
PCNA,NBN,0
TERF1,PCNA,0
NBN,RAD51,0
PCNA,TERF1,0
TERF2,PCNA,0
PCNA,TERF2,0
WRN,RAD51,0
RAD51,WRN,0
RAD51,PCNA,0
PCNA,RAD51,0
RAD51,NBN,0
SELE,SERPINE1,0
TNFRSF1A,SELE,0
SELE,TNFRSF1A,0
PARP1,JUN,0
SELE,NFE2L2,0
NFE2L2,SELE,0
XRCC1,PARP1,0
PARP1,XRCC1,0
PARP1,LIG3,0
LIG3,PARP1,0
SIRT1,PARP1,0
PARP1,SIRT1,0
JUN,PARP1,0
SELE,PTGS2,0
WRN,PARP1,0
PARP1,WRN,0
PARP1,NBN,0
NBN,PARP1,0
PARP1,MAPK3,0
MAPK3,PARP1,0
PARP1,MTOR,0
MTOR,PARP1,0
MIF,SELE,0
SELE,MIF,0
NOX4,SELE,0
SELE,NOX4,0
PTGS2,SELE,0
SELE,IL18,0
IL18,SELE,0
VEGFA,SELE,0
SELE,VEGFA,0
SELE,JUN,0
JUN,SELE,0
STAT3,SELE,0
SELE,STAT3,0
SELE,MMP3,0
MMP3,SELE,0
SELE,MAPK3,0
MAPK3,SELE,0
TIMP1,SELE,0
SELE,TIMP1,0
SELE,NFKB1,0
NFKB1,SELE,0
WRN,PCNA,0
SLC7A11,IL1B,0
MAP1LC3B,PARP1,0
VCAM1,IL1B,0
TLR4,IL1B,0
IL1B,TLR4,0
IL1B,IL18,0
IL18,IL1B,0
PTGS2,IL1B,0
IL1B,PTGS2,0
STAT3,IL1B,0
IL1B,STAT3,0
IL1B,VCAM1,0
JUN,IL1B,0
MMP3,IL1B,0
IL1B,MMP3,0
STAT1,IL1B,0
IL1B,STAT1,0
TIMP1,IL1B,0
IL1B,TIMP1,0
VEGFA,IL1B,0
IL1B,VEGFA,0
IL1B,JUN,0
IL1B,NFKB1,0
IL1B,MAPK1,0
JAK2,IL1A,0
SERPINE1,IL1A,0
IL1A,SERPINE1,0
IRF1,IL1A,0
IL1A,IRF1,0
MAPK3,IL1A,0
IL1A,MAPK3,0
MIF,IL1A,0
IL1A,MIF,0
IL1A,JAK2,0
NFKB1,IL1B,0
NFE2L2,IL1A,0
IL1A,NFE2L2,0
IL1B,IL1A,0
IL1A,IL1B,0
NLRP3,IL1B,0
IL1B,NLRP3,0
TNFRSF1A,IL1B,0
IL1B,TNFRSF1A,0
NFE2L2,IL1B,0
IL1B,NFE2L2,0
MAPK3,IL1B,0
IL1B,PRNP,0
IL1B,NOX4,0
MAP1LC3A,IL1B,0
IL1B,MAP1LC3A,0
S100A8,IL1B,0
IL1B,S100A8,0
MAP1LC3B,IL1B,0
IL1B,MAP1LC3B,0
PRNP,IL1B,0
MMP10,IL1B,0
IL1B,MAPK3,0
IL1B,MMP10,0
RPS6KB1,IL1B,0
IL1B,RPS6KB1,0
SNAI1,IL1B,0
IL1B,SNAI1,0
TFAM,IL1B,0
IL1B,TFAM,0
MAPK1,IL1B,0
NOX4,IL1B,0
IL1B,PPARGC1A,0
PPARGC1A,IL1B,0
IL1B,KEAP1,0
JAK2,IL1B,0
IL1B,JAK2,0
SERPINE1,IL1B,0
IL1B,SERPINE1,0
IRF1,IL1B,0
IL1B,IRF1,0
SIRT1,IL1B,0
IL1B,SIRT1,0
MMP2,IL1B,0
IL1B,MMP2,0
SQSTM1,IL1B,0
IL1B,SQSTM1,0
MTOR,IL1B,0
IL1B,MTOR,0
MIF,IL1B,0
IL1B,MIF,0
KEAP1,IL1B,0
PARP1,MAP1LC3B,0
STAT3,PARP1,0
RELA,JUN,0
IL6,NOX4,0
IL6,MIF,0
IRF1,IL6,0
IL6,IRF1,0
PPARGC1A,IL6,0
IL6,PPARGC1A,0
MMP2,IL6,0
IL6,MMP2,0
NOX4,IL6,0
KEAP1,IL6,0
IL6,SIRT1,0
IL6,KEAP1,0
S100A8,IL6,0
IL6,S100A8,0
RPS6KB1,IL6,0
IL6,RPS6KB1,0
PARP1,IL6,0
IL6,PARP1,0
MAP1LC3A,IL6,0
MIF,IL6,0
SIRT1,IL6,0
IL6,TIMP1,0
IL6,NFE2L2,0
IL6,MMP3,0
VCAM1,IL6,0
IL6,VCAM1,0
MAPK3,IL6,0
IL6,MAPK3,0
SERPINE1,IL6,0
IL6,SERPINE1,0
NFE2L2,IL6,0
SELE,IL6,0
IL6,SNAI1,0
IL6,SELE,0
MTOR,IL6,0
IL6,MTOR,0
MAPK1,IL6,0
IL6,MAPK1,0
NLRP3,IL6,0
IL6,NLRP3,0
SNAI1,IL6,0
IL6,MAP1LC3A,0
PRNP,IL6,0
IL6,PRNP,0
STAT3,RELA,0
SAT1,NCOA4,0
NCOA4,SAT1,0
SLC3A2,SAT1,0
SAT1,SLC3A2,0
RELA,NFKB1,0
NFKB1,RELA,0
SIRT1,RELA,0
RELA,SIRT1,0
RELA,STAT3,0
MMP10,IL6,0
RELA,IL1B,0
IL1B,RELA,0
RELA,IL6,0
IL6,RELA,0
TLR4,RELA,0
RELA,TLR4,0
RELA,KEAP1,0
KEAP1,RELA,0
SAT1,SLC7A11,0
SLC7A11,SAT1,0
NFE2L2,SAT1,0
SAT1,NFE2L2,0
IL6,MMP10,0
MAP1LC3B,IL6,0
IL6,MAP1LC3B,0
SQSTM1,IL6,0
IL6,SQSTM1,0
PNPLA2,IL6,0
IL6,PNPLA2,0
SLC39A14,IL6,0
IL6,SLC39A14,0
TFAM,IL6,0
IL6,TFAM,0
SLC40A1,IL6,0
IL6,SLC40A1,0
SIRT6,IL6,0
IL6,SIRT6,0
PRKAA1,IL6,0
IL6,PRKAA1,0
MMP3,IL6,0
TIMP1,IL6,0
PARP1,STAT3,0
PARP1,JAK2,0
PARP1,MAP1LC3A,0
MAP1LC3A,PARP1,0
TFAM,PARP1,0
PARP1,TFAM,0
TERF1,PARP1,0
PARP1,TERF1,0
PTGS2,PARP1,0
PARP1,PTGS2,0
JAK2,PARP1,0
PARP1,IL1B,0
PARP1,NFE2L2,0
NFE2L2,PARP1,0
PPARGC1A,PARP1,0
PARP1,PPARGC1A,0
PARP1,MAPK1,0
MAPK1,PARP1,0
STAT1,PARP1,0
PARP1,STAT1,0
IL1B,PARP1,0
NFKB1,PARP1,0
IL18,IL6,0
SIRT6,PARP1,0
RPS6KB1,PARP1,0
PARP1,RPS6KB1,0
RAD51,PARP1,0
PARP1,RAD51,0
PARP1,LIG4,0
LIG4,PARP1,0
PCNA,PARP1,0
PARP1,PCNA,0
PARP1,SIRT6,0
PARP1,NFKB1,0
PRKAA1,PARP1,0
PARP1,PRKAA1,0
SNAI1,PARP1,0
PARP1,SNAI1,0
VEGFA,PARP1,0
PARP1,VEGFA,0
SQSTM1,PARP1,0
PARP1,SQSTM1,0
PARP1,MDM4,0
MDM4,PARP1,0
PARP1,KEAP1,0
IL6,STAT1,0
IL6,JUN,0
NFKB1,IL6,0
IL6,NFKB1,0
IL6,IL1B,0
IL1B,IL6,0
STAT3,IL6,0
IL6,STAT3,0
STAT1,IL6,0
TLR4,IL6,0
KEAP1,PARP1,0
IL6,TLR4,0
IL6,IL1A,0
IL1A,IL6,0
PTGS2,IL6,0
IL6,PTGS2,0
VEGFA,IL6,0
IL6,VEGFA,0
IL6,IL18,0
JUN,IL6,0
IL6,TNFRSF1A,0
TNFRSF1A,IL6,0
IL6,JAK2,0
TSC2,PARP1,0
PARP1,TSC2,0
SLC40A1,SLC39A14,0
SLC39A14,SLC40A1,0
STEAP3,SLC40A1,0
SLC40A1,STEAP3,0
SLC40A1,NCOA4,0
NCOA4,SLC40A1,0
SLC7A11,SLC40A1,0
SLC40A1,SLC7A11,0
SLC40A1,SLC39A8,0
SLC39A8,SLC40A1,0
SLC40A1,JAK2,0
JAK2,SLC40A1,0
SLC40A1,NFE2L2,0
NFE2L2,SLC40A1,0
JAK2,IL6,0
LIG4,XRCC1,0
XRCC1,LIG4,0
KEAP1,TSC2,0
MBP,BDNF,0
MBP,AQP4,0
AQP4,MBP,0
MBP,AIF1,0
AIF1,MBP,0
SOX10,MBP,0
MBP,SOX10,0
MBP,MAP2,0
MAP2,MBP,0
BDNF,MBP,0
MOBP,MBP,0
MYRF,MBP,0
MBP,MYRF,0
S100B,MBP,0
MBP,S100B,0
MBP,CXCR3,0
CXCR3,MBP,0
MBP,ITGAM,0
ITGAM,MBP,0
MBP,MOBP,0
GFAP,MBP,0
S100B,BDNF,0
S100B,ALDH1L1,0
S100B,AQP4,0
AQP4,S100B,0
S100B,AIF1,0
AIF1,S100B,0
SLC1A2,S100B,0
S100B,SLC1A2,0
SOX10,S100B,0
S100B,SOX10,0
ALDH1L1,S100B,0
MBP,GFAP,0
S100B,MAP2,0
MAP2,S100B,0
MBP,MAG,0
MAG,MBP,0
MOG,MBP,0
MBP,MOG,0
MBP,CNP,0
CNP,MBP,0
SYN1,MBP,0
MBP,SYN1,0
MBP,DLG4,0
CLDN11,MBP,0
GRIA1,MAP2,0
ITGB1,GRIA1,0
GRIA1,ITGB1,0
MOBP,CLDN11,0
CLDN11,MOBP,0
CNP,CLDN11,0
CLDN11,CNP,0
MBP,CLDN11,0
ITGB1,CLDN11,0
DLG4,MBP,0
CLDN11,ITGB1,0
MAG,CLDN11,0
CLDN11,MAG,0
MOG,CLDN11,0
CLDN11,MOG,0
CLDN11,ACTA2,0
ACTA2,CLDN11,0
SOX10,CLDN11,0
MAP2,GRIA1,0
GFAP,GRIA1,0
GRIA1,GFAP,0
GRIA1,NTRK2,0
NTRK2,MBP,0
MBP,NTRK2,0
SLC1A2,MBP,0
MBP,SLC1A2,0
SLC17A7,MBP,0
MBP,SLC17A7,0
GRIA1,DLG4,0
DLG4,GRIA1,0
GRIA1,BDNF,0
BDNF,GRIA1,0
SYN1,GRIA1,0
GRIA1,SYN1,0
SLC17A7,GRIA1,0
GRIA1,SLC17A7,0
SLC1A2,GRIA1,0
GRIA1,SLC1A2,0
NTRK2,GRIA1,0
BDNF,S100B,0
GFAP,S100B,0
GJA1,CLDN11,0
BDNF,CXCR4,0
CXCR4,KDR,0
TEK,CXCR4,0
CXCR4,TEK,0
VWF,CXCR4,0
CXCR4,VWF,0
CXCR4,CSF1R,0
CSF1R,CXCR4,0
CXCR4,BDNF,0
GFAP,CXCR4,0
CXCR4,PECAM1,0
CXCR4,GFAP,0
CXCR4,ANPEP,0
ANPEP,CXCR4,0
SOX10,CXCR4,0
CXCR4,SOX10,0
KDR,FPR1,0
FPR1,KDR,0
ITGAM,FPR1,0
KDR,CXCR4,0
PECAM1,CXCR4,0
S100B,GFAP,0
BDNF,ITGB1,0
BDNF,SOX10,0
MOG,BDNF,0
BDNF,MOG,0
CNP,BDNF,0
BDNF,CNP,0
PECAM1,BDNF,0
BDNF,PECAM1,0
ITGB1,BDNF,0
CXCR4,CCR2,0
CXCR4,SPP1,0
CCR2,CXCR4,0
ITGB1,CXCR4,0
CXCR4,ITGB1,0
CXCR4,CX3CR1,0
CX3CR1,CXCR4,0
ITGAM,CXCR4,0
CXCR4,ITGAM,0
SPP1,CXCR4,0
FPR1,ITGAM,0
CXCR3,CCR2,0
CCR2,CXCR3,0
GFAP,ACTA2,0
TEK,ACTA2,0
ACTA2,TEK,0
ITGAM,ACTA2,0
ACTA2,ITGAM,0
CXCR4,ACTA2,0
ACTA2,CXCR4,0
GJA1,ACTA2,0
ACTA2,GJA1,0
ACTA2,GFAP,0
CXCR4,CXCR3,0
CCR2,ACTA2,0
ACTA2,CCR2,0
ANPEP,ACTA2,0
ACTA2,ANPEP,0
AIF1,ACTA2,0
ACTA2,AIF1,0
CSF1R,ACTA2,0
ACTA2,CSF1R,0
ACTA2,SPP1,0
SPP1,ACTA2,0
ACTA2,KDR,0
KDR,ACTA2,0
CXCR3,CXCR4,0
ITGAM,CXCR3,0
CXCR3,ITGAM,0
CXCR3,CX3CR1,0
CX3CR1,CXCR3,0
PECAM1,CXCR3,0
CXCR3,PECAM1,0
MOG,CXCR3,0
CXCR3,MOG,0
CXCR3,CSF1R,0
CSF1R,CXCR3,0
PECAM1,ACTA2,0
ACTA2,PECAM1,0
VWF,ACTA2,0
ACTA2,VWF,0
ITGB1,ACTA2,0
ACTA2,ITGB1,0
CLDN11,SOX10,0
CLDN11,GJA1,0
BDNF,TREM2,0
PLP1,MOG,0
CDH5,ANPEP,0
ANPEP,CDH5,0
CSF1R,CDH5,0
CDH5,CSF1R,0
CSPG4,CDH5,0
CDH5,CSPG4,0
PLP1,MBP,0
MBP,PLP1,0
MOG,PLP1,0
ITGAM,CDH5,0
PLP1,MOBP,0
MOBP,PLP1,0
PLP1,MAG,0
MAG,PLP1,0
PLP1,CNP,0
CNP,PLP1,0
PLP1,MYRF,0
MYRF,PLP1,0
CDH5,ITGAM,0
CDH5,CXCR4,0
SLC1A2,OLIG2,0
TEK,CDH5,0
SYN1,OLIG2,0
OLIG2,SYN1,0
PECAM1,CDH5,0
CDH5,PECAM1,0
KDR,CDH5,0
CDH5,KDR,0
CLDN5,CDH5,0
CDH5,CLDN5,0
CDH5,TEK,0
CXCR4,CDH5,0
VWF,CDH5,0
CDH5,VWF,0
CDH5,ACTA2,0
ACTA2,CDH5,0
GJA1,CDH5,0
CDH5,GJA1,0
ITGB1,CDH5,0
CDH5,ITGB1,0
SOX10,PLP1,0
PLP1,SOX10,0
PLP1,GFAP,0
CXCR4,FLT1,0
FLT1,ITGB1,0
FLT1,CDH5,0
CDH5,FLT1,0
PECAM1,FLT1,0
FLT1,PECAM1,0
FLT1,BDNF,0
BDNF,FLT1,0
FLT1,CXCR4,0
VWF,FLT1,0
GFAP,PLP1,0
FLT1,VWF,0
ITGAM,FLT1,0
FLT1,ITGAM,0
FLT1,CCR2,0
CCR2,FLT1,0
FLT1,CLDN5,0
CLDN5,FLT1,0
FLT1,ACTA2,0
ITGB1,FLT1,0
FLT1,KDR,0
KDR,FLT1,0
PLP1,SLC1A2,0
PLP1,ITGB1,0
ITGB1,PLP1,0
PLP1,OLIG2,0
OLIG2,PLP1,0
PLP1,CLDN11,0
CLDN11,PLP1,0
PLP1,ITGAM,0
ITGAM,PLP1,0
S100B,PLP1,0
PLP1,S100B,0
PLP1,CSPG4,0
CSPG4,PLP1,0
PLP1,AQP4,0
AQP4,PLP1,0
PLP1,AIF1,0
AIF1,PLP1,0
SLC1A2,PLP1,0
OLIG2,SLC1A2,0
OLIG2,SLC17A7,0
GFAP,CLDN11,0
CSPG4,SOX10,0
AIF1,CLDN5,0
CLDN5,ACTA2,0
ACTA2,CLDN5,0
CLDN5,BDNF,0
BDNF,CLDN5,0
S100B,CLDN5,0
CLDN5,S100B,0
SOX10,CSPG4,0
GFAP,CSPG4,0
CLDN5,GFAP,0
CSPG4,GFAP,0
CSPG4,ACTA2,0
ACTA2,CSPG4,0
MBP,CSPG4,0
CSPG4,MBP,0
CSPG4,CNP,0
CNP,CSPG4,0
PECAM1,CSPG4,0
CLDN5,AIF1,0
GFAP,CLDN5,0
SLC17A7,OLIG2,0
CLDN5,VWF,0
CLDN11,GFAP,0
CLDN11,AQP4,0
AQP4,CLDN11,0
MYRF,CLDN11,0
CLDN11,MYRF,0
PECAM1,CLDN5,0
CLDN5,PECAM1,0
VWF,CLDN5,0
CLDN5,AQP4,0
CLDN5,KDR,0
AQP4,CLDN5,0
GJA1,CLDN5,0
CLDN5,GJA1,0
TEK,CLDN5,0
CLDN5,TEK,0
CLDN5,CLDN11,0
CLDN11,CLDN5,0
KDR,CLDN5,0
CSPG4,PECAM1,0
CSPG4,AIF1,0
AIF1,CSPG4,0
OLIG2,BDNF,0
OLIG2,MAG,0
MAG,OLIG2,0
OLIG2,MOG,0
MOG,OLIG2,0
OLIG2,CSPG4,0
CSPG4,OLIG2,0
OLIG2,ALDH1L1,0
ALDH1L1,OLIG2,0
BDNF,OLIG2,0
MYRF,CSPG4,0
OLIG2,MOBP,0
MOBP,OLIG2,0
OLIG2,AQP4,0
AQP4,OLIG2,0
OLIG2,CLDN11,0
CLDN11,OLIG2,0
S100B,OLIG2,0
OLIG2,S100B,0
MYRF,OLIG2,0
OLIG2,MYRF,0
MAP2,OLIG2,0
OLIG2,MAP2,0
CSPG4,MYRF,0
MOG,CSPG4,0
CSPG4,MOG,0
CSPG4,ALDH1L1,0
ALDH1L1,CSPG4,0
MAG,CSPG4,0
CSPG4,MAG,0
SOX10,OLIG2,0
OLIG2,SOX10,0
OLIG2,GFAP,0
GFAP,OLIG2,0
OLIG2,MBP,0
MBP,OLIG2,0
OLIG2,CNP,0
CNP,OLIG2,0
OLIG2,AIF1,0
AIF1,OLIG2,0
SOX10,BDNF,0
TREM2,BDNF,0
TSC2,KEAP1,0
SOX10,CNP,0
MOG,CX3CR1,0
CX3CR1,MOG,0
MAG,CNP,0
CNP,MAG,0
MOG,CNP,0
CNP,MOG,0
CNP,AIF1,0
AIF1,CNP,0
CNP,SOX10,0
MOG,CCR2,0
MYRF,CNP,0
CNP,MYRF,0
MAP2,CNP,0
CNP,MAP2,0
DLG4,CNP,0
CNP,DLG4,0
KDR,ITGB1,0
ITGB1,KDR,0
CCR2,MOG,0
MOG,MYRF,0
PECAM1,CX3CR1,0
TEK,CCR2,0
PECAM1,GJA1,0
GJA1,PECAM1,0
TEK,PECAM1,0
PECAM1,TEK,0
VWF,TEK,0
TEK,VWF,0
TEK,KDR,0
KDR,TEK,0
CCR2,TEK,0
MYRF,MOG,0
TEK,CX3CR1,0
CX3CR1,TEK,0
MOG,MAG,0
MAG,MOG,0
MOG,AIF1,0
AIF1,MOG,0
SOX10,MOG,0
MOG,SOX10,0
VWF,ITGB1,0
ITGB1,VWF,0
PECAM1,ITGB1,0
DLG4,SLC17A7,0
CCR2,SPP1,0
TREM2,SPP1,0
SPP1,TREM2,0
SPP1,CSF1R,0
CSF1R,SPP1,0
SPP1,GJA1,0
GJA1,SPP1,0
SLC17A7,DLG4,0
SLC17A7,MAP2,0
ITGB1,PECAM1,0
MAP2,SLC17A7,0
SLC17A7,AIF1,0
AIF1,SLC17A7,0
SLC17A7,ALDH1L1,0
ALDH1L1,SLC17A7,0
SYN1,DLG4,0
DLG4,SYN1,0
SYN1,SLC17A7,0
SPP1,CCR2,0
PECAM1,SPP1,0
SPP1,PECAM1,0
SPP1,TEK,0
ITGB1,ANPEP,0
ANPEP,ITGB1,0
TEK,ITGB1,0
ITGB1,TEK,0
SOX10,ITGB1,0
ITGB1,SOX10,0
ITGB1,GJA1,0
GJA1,ITGB1,0
ITGB1,CCR2,0
CCR2,ITGB1,0
SPP1,ITGB1,0
ITGB1,SPP1,0
VWF,SPP1,0
SPP1,VWF,0
SPP1,KDR,0
KDR,SPP1,0
TEK,SPP1,0
CX3CR1,PECAM1,0
CCR2,PECAM1,0
SYN1,MAP2,0
AIF1,CSF1R,0
ALDH1L1,SOX10,0
GJA1,ALDH1L1,0
ALDH1L1,GJA1,0
CX3CR1,ALDH1L1,0
ALDH1L1,CX3CR1,0
CX3CR1,CSF1R,0
CSF1R,CX3CR1,0
CSF1R,AIF1,0
P2RY12,CSF1R,0
AIF1,ALDH1L1,0
CSF1R,P2RY12,0
CSF1R,CCR2,0
CCR2,CSF1R,0
MAP2,AIF1,0
AIF1,MAP2,0
MAP2,MAG,0
MAG,MAP2,0
KDR,CCR2,0
SOX10,ALDH1L1,0
ALDH1L1,AIF1,0
PECAM1,CCR2,0
AIF1,CX3CR1,0
CX3CR1,P2RY12,0
SOX10,MYRF,0
MYRF,SOX10,0
SOX10,MAG,0
MAG,SOX10,0
MYRF,MAG,0
MAG,MYRF,0
CX3CR1,AIF1,0
P2RY12,AIF1,0
CCR2,CX3CR1,0
AIF1,P2RY12,0
MAG,AIF1,0
AIF1,MAG,0
SOX10,AIF1,0
AIF1,SOX10,0
CCR2,AIF1,0
AIF1,CCR2,0
CX3CR1,CCR2,0
CCR2,KDR,0
KDR,GJA1,0
GJA1,KDR,0
VWF,PECAM1,0
DLG4,AIF1,0
AIF1,DLG4,0
CSF1R,ANPEP,0
ANPEP,CSF1R,0
KDR,ANPEP,0
ANPEP,KDR,0
PECAM1,KDR,0
KDR,PECAM1,0
PECAM1,VWF,0
TREM2,CSF1R,0
PECAM1,ANPEP,0
ANPEP,PECAM1,0
PECAM1,AIF1,0
AIF1,PECAM1,0
PECAM1,CSF1R,0
CSF1R,PECAM1,0
PECAM1,MAP2,0
MAP2,PECAM1,0
DLG4,MAP2,0
MAP2,DLG4,0
CSF1R,VWF,0
VWF,CSF1R,0
CSF1R,TREM2,0
TREM2,P2RY12,0
P2RY12,TREM2,0
TREM2,CX3CR1,0
CX3CR1,TREM2,0
TREM2,AIF1,0
AIF1,TREM2,0
TREM2,CCR2,0
CCR2,TREM2,0
VWF,KDR,0
KDR,VWF,0
VWF,P2RY12,0
P2RY12,VWF,0
VWF,GJA1,0
GJA1,VWF,0
VWF,AIF1,0
AIF1,VWF,0
SLC17A7,SYN1,0
MAP2,SYN1,0
BDNF,P2RY12,0
GFAP,CX3CR1,0
GFAP,DLG4,0
DLG4,GFAP,0
MOG,GFAP,0
GFAP,MOG,0
PECAM1,GFAP,0
GFAP,PECAM1,0
NTRK2,GFAP,0
GFAP,NTRK2,0
CX3CR1,GFAP,0
SOX10,GFAP,0
MAG,GFAP,0
GFAP,MAG,0
TREM2,GFAP,0
GFAP,TREM2,0
GJA1,GFAP,0
GFAP,GJA1,0
VWF,GFAP,0
GFAP,VWF,0
GFAP,SOX10,0
GFAP,SYN1,0
KDR,ITGAM,0
SLC17A7,GFAP,0
SPP1,ITGAM,0
ITGAM,SPP1,0
GFAP,AIF1,0
AIF1,GFAP,0
GFAP,AQP4,0
AQP4,GFAP,0
GFAP,CNP,0
CNP,GFAP,0
GFAP,SLC17A7,0
SYN1,GFAP,0
MAP2,GFAP,0
GFAP,MAP2,0
SLC1A2,GFAP,0
GFAP,SLC1A2,0
GFAP,ALDH1L1,0
ALDH1L1,GFAP,0
ITGAM,GFAP,0
GFAP,ITGAM,0
P2RY12,GFAP,0
GFAP,P2RY12,0
MOBP,GFAP,0
BDNF,SLC1A2,0
BDNF,MAP2,0
BDNF,AIF1,0
AIF1,BDNF,0
TEK,BDNF,0
BDNF,TEK,0
SLC17A7,BDNF,0
BDNF,SLC17A7,0
SLC1A2,BDNF,0
MAG,BDNF,0
GFAP,MOBP,0
BDNF,MAG,0
BDNF,AQP4,0
AQP4,BDNF,0
CX3CR1,BDNF,0
BDNF,CX3CR1,0
ITGAM,BDNF,0
BDNF,ITGAM,0
P2RY12,BDNF,0
MAP2,BDNF,0
BDNF,SYN1,0
SYN1,BDNF,0
BDNF,CSF1R,0
GFAP,CSF1R,0
CSF1R,GFAP,0
GFAP,CCR2,0
CCR2,GFAP,0
ITGB1,GFAP,0
GFAP,ITGB1,0
KDR,GFAP,0
GFAP,KDR,0
NTRK2,BDNF,0
BDNF,NTRK2,0
KDR,BDNF,0
BDNF,KDR,0
DLG4,BDNF,0
BDNF,DLG4,0
GFAP,BDNF,0
BDNF,GFAP,0
CSF1R,BDNF,0
ITGAM,KDR,0
ITGAM,TEK,0
SYN1,AIF1,0
AQP4,GJA1,0
MAP2,NTRK2,0
SLC1A2,NTRK2,0
NTRK2,SLC1A2,0
NTRK2,AIF1,0
AIF1,NTRK2,0
SLC1A2,AQP4,0
AQP4,SLC1A2,0
GJA1,AQP4,0
MOG,AQP4,0
NTRK2,SLC17A7,0
AQP4,MOG,0
AQP4,ALDH1L1,0
ALDH1L1,AQP4,0
AQP4,AIF1,0
AIF1,AQP4,0
PECAM1,AQP4,0
AQP4,PECAM1,0
MAG,AQP4,0
NTRK2,MAP2,0
SLC17A7,NTRK2,0
TEK,ITGAM,0
AIF1,SLC1A2,0
AIF1,SYN1,0
SLC1A2,ALDH1L1,0
ALDH1L1,SLC1A2,0
SLC1A2,DLG4,0
DLG4,SLC1A2,0
SLC1A2,SLC17A7,0
SLC17A7,SLC1A2,0
SLC1A2,AIF1,0
SLC1A2,GJA1,0
NTRK2,SYN1,0
GJA1,SLC1A2,0
SYN1,SLC1A2,0
SLC1A2,SYN1,0
SLC1A2,MAP2,0
MAP2,SLC1A2,0
NTRK2,DLG4,0
DLG4,NTRK2,0
SYN1,NTRK2,0
AQP4,MAG,0
SLC17A7,AQP4,0
AQP4,SLC17A7,0
P2RY12,ITGAM,0
ITGAM,AIF1,0
AIF1,ITGAM,0
ITGAM,CX3CR1,0
CX3CR1,ITGAM,0
ITGAM,CCR2,0
CCR2,ITGAM,0
PECAM1,ITGAM,0
ITGAM,PECAM1,0
ITGAM,P2RY12,0
SOX10,AQP4,0
TREM2,ITGAM,0
ITGAM,TREM2,0
MOG,ITGAM,0
ITGAM,MOG,0
ITGAM,ANPEP,0
ANPEP,ITGAM,0
VWF,ITGAM,0
ITGAM,VWF,0
CSF1R,ITGAM,0
ITGAM,CSF1R,0
ITGAM,ITGB1,0
ITGB1,ITGAM,0
AQP4,SOX10,0
MOG,MOBP,0
MOBP,MOG,0
MOBP,MAG,0
MAG,MOBP,0
MOBP,CNP,0
CNP,MOBP,0
MYRF,MOBP,0
MOBP,MYRF,0
SOX10,MOBP,0
MOBP,SOX10,0
SLC1A2,MOBP,0
MOBP,SLC1A2,0
MOBP,AQP4,0
AQP4,MOBP,0
MOBP,ALDH1L1,0
ALDH1L1,MOBP,0
ACTA2,FLT1,0
FLT1,CSF1R,0
CSF1R,FLT1,0
CD44,CX3CR1,0
CD44,CSF1R,0
VWF,CD44,0
CD44,VWF,0
OLIG2,CD44,0
CD44,OLIG2,0
MOG,CD44,0
CD44,MOG,0
CX3CR1,CD44,0
TEK,CD44,0
CD44,GFAP,0
CD44,TEK,0
IFNGR1,CD44,0
CD44,IFNGR1,0
CSPG4,CD44,0
CD44,CSPG4,0
CD44,BDNF,0
BDNF,CD44,0
GJA1,CD44,0
CSF1R,CD44,0
GFAP,CD44,0
CD44,CXCR3,0
CD44,FLT1,0
CD44,PDGFRB,0
CD44,ANPEP,0
ANPEP,CD44,0
TGFBR1,CD44,0
CD44,TGFBR1,0
CD44,CCR2,0
CCR2,CD44,0
FLT1,CD44,0
CD44,ACTA2,0
CASP1,CD44,0
ACTA2,CD44,0
KDR,CD44,0
CD44,KDR,0
CDH5,CD44,0
CD44,CDH5,0
CD68,CD44,0
CD44,CD68,0
CD44,CASP1,0
CD44,GJA1,0
STAT1,IL18,0
IL18,STAT1,0
PPARGC1A,LPIN2,0
PPARGC1A,PNPLA2,0
PNPLA2,PPARGC1A,0
RPS6KB1,PPARGC1A,0
PPARGC1A,RPS6KB1,0
STAT3,PPARGC1A,0
PPARGC1A,STAT3,0
PPARGC1A,KEAP1,0
KEAP1,PPARGC1A,0
LPIN2,PPARGC1A,0
XRCC1,LIG3,0
VEGFA,STAT3,0
STAT3,VEGFA,0
VEGFA,IL18,0
IL18,VEGFA,0
VEGFA,STAT1,0
STAT1,VEGFA,0
VEGFA,RPS6KB1,0
RPS6KB1,VEGFA,0
LPIN2,PNPLA2,0
PNPLA2,LPIN2,0
TERF1,TERF2,0
TERF2,TERF1,0
LIG3,XRCC1,0
KEAP1,IL18,0
