protein_A,protein_B,score
IL1A,NLRP3,0
NFKB1,IL1A,0
IL1A,NFKB1,0
TNFRSF1A,IL1A,0
IL1A,TNFRSF1A,0
IL1A,STAT3,0
RPS6KB1,MAP1LC3A,0
VEGFA,IL1A,0
IL1A,VEGFA,0
VCAM1,IL1A,0
IL1A,VCAM1,0
TIMP1,IL1A,0
IL1A,TIMP1,0
JUN,IL1A,0
IL1A,JUN,0
IL1A,TLR4,0
TLR4,IL1A,0
IL18,IL1A,0
IL1A,IL18,0
MAP1LC3A,RPS6KB1,0
SIRT1,MAP1LC3A,0
MAP1LC3A,SIRT1,0
MAP1LC3A,KEAP1,0
KEAP1,MAP1LC3A,0
PPARGC1A,MAP1LC3A,0
MAP1LC3A,PPARGC1A,0
MAPK3,MAP1LC3A,0
MAP1LC3A,MAPK3,0
TSC2,MAP1LC3A,0
MAP1LC3A,TSC2,0
NFE2L2,MAP1LC3A,0
MAP1LC3A,NFE2L2,0
STAT3,MAP1LC3A,0
MAP1LC3A,STAT3,0
TFAM,MAP1LC3A,0
MAP1LC3A,TFAM,0
VCAM1,JUN,0
VCAM1,TIMP1,0
NFE2L2,SESN2,0
NBN,LIG3,0
TFAM,PRKAA2,0
PRKAA2,TFAM,0
TERF2,NBN,0
NBN,TERF2,0
WRN,NBN,0
NBN,WRN,0
NBN,LIG4,0
LIG4,NBN,0
LIG3,NBN,0
PRKAA2,MAP1LC3B,0
XRCC1,NBN,0
NBN,XRCC1,0
TLR4,NFKB1,0
NFKB1,TLR4,0
SIRT1,NFKB1,0
NFKB1,SIRT1,0
NFKB1,IL18,0
IL18,NFKB1,0
MAP1LC3B,PRKAA2,0
PRKAA2,SIRT1,0
VCAM1,VEGFA,0
PRKAA2,PPARGC1A,0
SLC7A5,SESN2,0
SESN2,SLC7A5,0
SLC3A2,SESN2,0
SESN2,SLC3A2,0
SESN2,PPARGC1A,0
PPARGC1A,SESN2,0
PRKAA2,PRKAA1,0
PRKAA1,PRKAA2,0
PPARGC1A,PRKAA2,0
SIRT1,PRKAA2,0
PRKAA2,MTOR,0
MTOR,PRKAA2,0
TSC2,PRKAA2,0
PRKAA2,TSC2,0
TSC1,PRKAA2,0
PRKAA2,TSC1,0
SESN2,PRKAA2,0
PRKAA2,SESN2,0
NLRP3,NFKB1,0
NFKB1,NLRP3,0
NFKB1,JUN,0
MAPK3,VCAM1,0
KEAP1,NFKB1,0
NFKB1,LIG3,0
LIG3,NFKB1,0
VCAM1,TNFRSF1A,0
TNFRSF1A,VCAM1,0
VCAM1,SERPINE1,0
SERPINE1,VCAM1,0
VCAM1,MAPK3,0
VCAM1,TLR4,0
JUN,NFKB1,0
TLR4,VCAM1,0
VCAM1,PTGS2,0
PTGS2,VCAM1,0
VCAM1,STAT3,0
STAT3,VCAM1,0
VCAM1,IL18,0
IL18,VCAM1,0
VEGFA,VCAM1,0
NFKB1,KEAP1,0
NFE2L2,NFKB1,0
NFKB1,NFE2L2,0
MTOR,NFKB1,0
STAT3,NFKB1,0
NFKB1,STAT3,0
STAT1,NFKB1,0
NFKB1,STAT1,0
NFKB1,IRF1,0
IRF1,NFKB1,0
TNFRSF1A,NFKB1,0
NFKB1,TNFRSF1A,0
PTGS2,NFKB1,0
NFKB1,PTGS2,0
SQSTM1,NFKB1,0
NFKB1,SQSTM1,0
NFKB1,MAPK3,0
MAPK3,NFKB1,0
NFKB1,JAK2,0
JAK2,NFKB1,0
NFKB1,MTOR,0
JAK2,MMP3,0
MMP3,SIRT1,0
IL1A,MMP3,0
MAPK3,TSC2,0
JUN,PRKAA1,0
MAPK3,JUN,0
JUN,MAPK3,0
STAT1,MAPK3,0
MAPK3,STAT1,0
MAPK3,MAPK1,0
MAPK1,MAPK3,0
TSC2,MAPK3,0
TSC1,MAPK3,0
PRKAA1,TFAM,0
MAPK3,TSC1,0
