celltype,gene
Astrocyte,LCN2
Astrocyte,S100A8
Endothelial,DPP4
Endothelial,IGFBP7
Endothelial,LIFR
Endothelial,LOX
Endothelial,NR1D1
Microglia,EGR1
Microglia,S100A8
Oligodendrocyte,CDO1
