,GSM2571735,GSM2571736,GSM2571737,GSM2571738,GSM2571739,GSM2571740,GSM2571741,GSM2571742,GSM2571743,GSM2571744,GSM2571745,GSM2571746
CARS,8.84916015,8.91077816,8.646909435,8.358287256,8.907646511,8.769594141,8.41733141,8.489814742,8.630290427,8.680597904,8.457393798,8.511696335
CARS2,7.349773418,7.349992871,7.350015076,7.350805511,7.350011892,7.350220755,7.350233746,7.350341154,7.350283127,7.350613296,7.350710806,7.350836669
CARTPT,8.637625443,8.633728219,8.638621374,8.642960271,8.648621935,8.640862687,8.648068789,8.644749837,8.638767763,8.639317308,8.639027166,8.642154762
CASC1,7.381453498,7.381634652,7.381682993,7.381972363,7.381659621,7.381391858,7.381758618,7.381748831,7.382095266,7.382005544,7.38195572,7.381856912
CASC3,6.381706196,6.381292484,6.380838183,6.381387391,6.381262803,6.381458728,6.381588191,6.381579749,6.381208027,6.381647949,6.380925302,6.381448998
CASC4,10.67023738,10.57115218,10.74953828,10.43501814,10.77021061,10.75099483,10.58572658,10.43758747,10.40617804,10.47368001,10.40545662,10.43046056
CASC5,5.962596077,5.961239378,5.963044687,5.962421093,5.962417438,5.96283203,5.962050196,5.962091652,5.96188116,5.961723029,5.961825626,5.962350799
CASK,8.706511171,8.448960765,8.703157039,8.731877341,8.764467307,8.637635184,8.659390535,8.604195361,8.560689138,8.63337993,8.479132205,8.558023211
CASKIN1,7.318884915,7.594369387,7.391094891,7.58815897,7.267897735,7.371049659,7.656579674,7.654182735,7.868551293,7.835856669,7.865903975,7.764727141
CASKIN2,7.948246445,7.94883292,7.949158712,7.94917331,7.948713704,7.948871263,7.948523437,7.949246057,7.94948531,7.949288956,7.949210958,7.949242612
CASP1,7.182339386,6.821049276,7.216135548,7.148819525,7.348533124,7.262522466,7.007015659,6.586109919,6.5030491,6.428500498,6.414781633,6.695888736
CASP12,6.771096953,6.771213804,6.771477015,6.770905417,6.771499347,6.771567761,6.771022132,6.770850575,6.77081567,6.770918223,6.770831845,6.770918864
CASP2,7.945328111,7.945818123,7.945778366,7.945549362,7.945666305,7.945723853,7.945383082,7.945476956,7.946053794,7.946186976,7.946065981,7.945569033
CASP3,9.62909765,8.887039689,9.280177721,8.286411252,9.373017337,9.359605058,8.651574118,8.047830651,8.07379018,8.088133974,8.104922051,8.120700779
CASP4,7.755994827,7.518630674,7.975998415,7.599947187,7.90556136,8.006955268,7.851192207,6.965330583,6.902186301,6.872505165,6.881248444,7.009877441
CASP6,6.887363301,6.887551448,6.887551498,6.887345798,6.88747388,6.887602598,6.887373448,6.887769636,6.887416043,6.887536795,6.887292164,6.887273026
CASP7,8.086693949,7.73782744,7.98998163,7.665588001,8.131412607,8.197028451,7.79158882,7.284885761,7.267805504,7.361329528,7.311278409,7.518980629
