,GSM1509427,GSM1509428,GSM1509429,GSM1509430,GSM1509431,GSM1509422,GSM1509423,GSM1509424,GSM1509425,GSM1509426
4930542C12RIK,3.9292,5.8646,6.2698,5.411,6.0181,6.1768,6.5707,5.7784,4.7306,5.9401
A1BG,5.4887,5.6413,3.0998,6.113,3.7621,4.7367,3.5075,5.3128,6.4105,6.1106
A1CF,6.9797,7.2811,7.2567,7.7796,7.0545,7.2723,6.4229,7.5102,7.2608,7.072
A1I3,3.7279,3.4635,4.9296,2.2922,2.5119,1.9828,3.3042,3.0942,3.5998,4.0023
A2M,14.3266,14.0085,13.8862,13.2438,13.7945,9.3357,8.4381,9.3702,9.1956,9.7423
A3GALT2,8.7706,8.2475,7.742,7.8583,7.8819,6.8486,6.5118,7.213,7.2747,6.9298
A4GALT,6.6879,5.6865,3.8902,3.6313,4.4201,6.8049,6.5753,5.7899,4.6089,7.0963
AAAS,7.6012,7.6994,6.9453,7.7892,7.7325,8.0332,7.0319,8.2109,7.568,8.2812
AACS,9.1731,9.7494,9.6589,9.4352,9.572,10.2169,10.3379,10.5089,10.374,10.3699
AADAC,0.9635,5.4842,6.1068,0.5952,2.8318,5.6721,2.543,4.0042,3.7601,4.6339
AADAT,9.3129,9.2633,9.4289,9.8158,9.3647,9.0217,8.8628,8.8584,9.0707,8.6998
AAED1,11.4678,10.6231,10.9098,10.7255,10.5871,10.524,10.4941,10.4186,10.3576,10.7234
AAGAB,11.0842,11.3359,11.6132,11.5633,11.408,11.7439,11.8053,11.7372,11.8062,11.7894
AAK1,12.657,13.2514,13.3385,13.4942,13.175,14.092,14.0345,13.9136,14.0536,13.9703
AAMDC,10.7487,10.529,10.6866,10.7425,10.3934,10.2389,10.086,10.3067,10.5587,10.6769
AAMP,12.0177,11.8535,11.8085,11.9139,11.9739,11.9301,11.8508,11.7834,11.9677,12.1449
AANAT,5.5786,4.5573,5.8615,5.2536,2.5381,5.2138,6.3148,6.0408,5.9254,4.5057
AAR2,10.1899,10.2092,9.9172,10.2771,9.8432,10.2943,9.8925,10.0105,10.2861,10.4532
AARD,10.2976,9.3316,8.9715,9.8171,9.2708,9.5732,8.4125,8.331,7.7225,8.8088
AARS,12.5073,12.5988,12.7401,12.6636,12.8021,12.9788,12.8988,12.757,12.9688,12.9672
AARS2,8.0945,7.3453,7.6627,7.6943,7.738,7.9809,8.4856,8.1751,7.5586,7.9926
AARSD1,11.1092,11.3578,11.58,11.231,11.179,11.8347,11.5545,11.6214,11.509,11.6442
AASDH,9.1775,9.5308,9.4824,9.4124,9.5388,9.6722,9.9977,9.8423,9.9991,9.7389
AASDHPPT,12.3572,12.073,12.285,12.2787,12.2632,12.0611,11.7844,12.1324,11.8972,12.2302
AASS,9.299,9.3895,8.625,10.0878,9.5988,10.1237,9.5336,10.1547,10.2818,9.7331
AATF,9.3285,9.2831,9.5838,9.6529,9.5146,9.373,9.3552,9.3788,9.4265,9.3828
AATK,11.4547,12.0812,11.8954,11.642,11.8601,12.0869,12.2858,12.271,12.1883,12.5224
ABAT,8.3314,8.5812,9.076,9.0859,8.5433,9.4519,9.2703,9.1755,9.1546,9.1748
ABCA1,14.5903,13.9344,13.6473,13.8032,14.0818,10.6367,11.3567,10.3624,11.7454,11.7222
ABCA2,9.8802,9.7975,9.9823,9.5904,9.5365,9.8448,10.0331,10.2376,10.265,10.163
ABCA3,11.3771,10.7812,10.713,10.713,11.0771,11.1571,11.0708,11.1098,11.0985,11.2995
ABCA4,6.3135,6.3418,4.6949,4.0606,6.0988,6.3508,5.9179,6.835,6.7376,7.3737
ABCA5,9.7011,10.4456,10.2899,10.5466,10.1562,11.0587,11.0187,10.847,11.1287,11.1118
ABCA7,10.1428,9.6263,9.6757,9.6029,9.7316,10.3023,10.0571,9.9842,9.9239,9.7692
ABCA8,9.2618,8.8384,9.267,9.317,9.31,9.88,9.5034,9.1999,9.4238,9.67
ABCA8A,12.0467,12.0003,12.1723,11.7143,12.2452,11.5232,11.3602,12.1774,12.1275,11.7986
ABCB10,10.9821,11.0014,11.1383,11.2014,11.1409,11.5302,11.3791,11.3384,11.2557,11.5745
ABCB11,5.4274,1.895,4.9325,5.5754,5.128,5.7024,6.4222,5.1077,4.7405,5.2485
ABCB1A,10.5111,10.2114,10.3602,10.4418,9.9796,9.9581,9.9533,10.1263,10.478,10.2711
ABCB4,10.1919,9.5882,9.665,9.3933,9.5838,8.1114,8.1476,8.4474,8.1156,8.7311
ABCB6,9.3131,9.2775,9.18,9.2585,9.51,10.1262,9.3482,9.6615,9.7483,10.0885
ABCB8,9.3992,9.3506,9.5346,9.4857,9.741,9.7006,9.4937,9.6522,9.8029,10.0116
ABCB9,7.0492,7.8858,7.724,8.073,7.5614,8.578,9.089,8.9275,9.1434,8.6967
ABCC1,10.2061,9.7514,9.7544,9.8646,9.8066,10.0374,9.7428,9.7579,9.7062,9.7292
ABCC10,7.3978,7.359,7.3075,7.6582,7.6471,7.9501,8.0574,8.1284,8.0464,7.953
ABCC2,5.8851,6.9587,7.0883,6.9264,7.4048,7.6646,7.4924,7.531,7.0703,7.467
ABCC3,9.6637,9.3542,8.8775,8.985,9.2144,7.2629,6.0331,6.4105,7.1894,7.1634
ABCC4,9.9887,9.2358,9.2706,9.1349,9.4541,8.7757,8.6552,8.3552,8.3552,8.8047
ABCC5,10.1693,11.0314,10.4283,10.5068,10.5706,11.1372,11.1609,10.9489,10.9878,10.6689
ABCC6,7.3398,6.9878,5.0685,7.3758,6.6853,7.4304,7.3109,6.9947,6.7937,7.5335
ABCC8,7.1678,7.9974,8.0683,8.062,7.785,8.8952,9.0597,9.0783,9.0613,8.6942
ABCC9,8.6121,8.9347,8.8026,8.9391,8.8091,8.7882,9.1343,8.9324,8.981,9.0155
ABCD1,8.8223,8.3473,8.2985,8.3353,8.6601,7.8963,8.0144,8.0824,7.5186,7.3396
ABCD2,9.012,9.3651,9.8515,9.6597,9.6982,10.6779,10.8445,10.889,10.9652,10.4711
ABCD3,12.4932,12.3451,12.4633,12.3845,12.4408,12.7205,12.3908,12.4613,12.5457,12.4749
ABCD4,9.0006,8.9401,8.992,8.827,8.8411,9.1324,8.6057,8.6219,8.4406,9.0284
ABCE1,11.9934,11.6613,11.8641,11.876,11.9589,12.0168,11.926,11.8751,11.9036,12.0866
ABCF1,11.9402,11.8121,11.5431,11.7086,11.909,11.8258,11.8357,11.9456,11.8656,11.818
ABCF2,10.8379,10.9725,10.8181,10.7943,10.9396,10.9795,10.965,10.9287,11.175,11.1599
ABCF3,10.9601,10.6793,10.779,10.591,10.628,10.9811,10.963,10.8777,11.0258,11.0059
ABCG1,13.3851,13.1109,13.0102,12.7431,12.9252,12.2646,11.9002,12.063,12.1992,12.3864
ABCG2,11.5162,10.4259,10.0141,11.321,9.6684,10.3001,10.5308,10.5739,10.1797,10.018
ABCG3L1,10.5032,10.1615,9.9902,10.1601,9.9694,8.4707,8.1341,8.2893,7.9289,8.6139
ABCG3L2,11.5482,11.0113,10.6306,10.7766,11.0345,8.0693,8.6797,8.9907,8.7566,8.7466
ABCG4,9.8031,9.9048,9.5804,9.7353,9.8844,10.19,10.0235,10.0507,10.0634,10.0409
ABCG5,4.7028,6.189,5.9961,5.1642,6.2547,6.1887,5.0992,5.4743,5.8341,5.1855
ABCG8,6.0816,3.8039,6.7271,3.1888,5.6097,4.0652,5.8631,5.4184,6.1126,5.4978
ABHD1,8.7243,8.8104,8.8011,8.9452,9.1206,9.2826,9.7742,9.6189,9.7189,9.4711
ABHD10,9.4132,9.2345,9.4788,9.4052,9.4391,9.7329,9.6084,9.4828,9.9947,9.7731
ABHD11,9.858,9.3542,9.9112,9.8954,9.6939,9.9559,9.5935,10.0636,9.8691,9.8567
ABHD12,11.6731,11.1701,11.3252,11.0492,11.0391,10.6568,10.6724,10.7284,10.592,10.3993
ABHD13,10.8683,10.7769,10.8734,10.7664,10.6944,11.04,10.8659,11.0612,11.0349,11.0742
ABHD14A,8.1902,8.3278,7.4465,8.9335,8.3699,9.074,9.4255,8.6695,9.2118,8.9116
ABHD14B,10.986,10.4517,10.1093,10.7795,10.5311,9.9977,9.8207,9.8467,10.1966,10.229
ABHD15,8.6581,7.513,8.2579,7.4482,7.4559,6.4731,6.5811,6.6463,6.3636,3.3017
ABHD16A,11.2231,11.0291,11.0373,10.9327,10.9637,11.33,11.5121,11.2731,11.5684,11.2099
ABHD17A,12.3588,12.3582,12.3898,12.1616,12.2794,12.4406,12.474,12.6774,12.4821,12.6626
ABHD17B,6.6422,6.4349,6.3627,6.6508,6.9346,5.4855,7.2008,6.7927,6.4089,6.4904
ABHD17C,12.0093,11.786,11.8148,11.6507,11.8668,12.0641,11.7292,12.0753,11.9057,12.1984
ABHD2,8.8892,9.0604,8.7412,8.9661,9.1315,8.6007,8.5019,8.7256,8.7735,8.4163
ABHD3,13.6532,13.8446,13.9488,13.8724,13.7683,14.0291,14.0361,14.06,13.9658,14.1559
ABHD4,11.9428,11.6206,11.5227,11.3437,11.6294,11.0682,10.8349,10.8788,10.9588,10.9684
ABHD5,11.1791,10.3876,10.5007,10.538,10.7013,10.3817,10.1,10.4489,10.3785,10.5246
ABHD6,11.1028,10.8896,11.0149,11.3597,11.4761,11.6493,12.0495,12.0475,11.9146,12.335
ABHD8,10.3179,11.1663,10.9591,11.1983,10.8029,11.7563,11.9006,11.6989,11.696,11.5842
ABI1,13.0992,12.7555,13.014,12.7971,13.0467,13.1101,12.6929,13.1627,12.7121,13.1283
ABI2,13.6515,13.7729,13.9286,13.8295,13.7278,14.4674,14.4094,14.4254,14.3519,14.6041
ABI3,10.9709,10.387,10.5723,10.3131,10.4064,8.0509,8.0589,8.2962,7.0513,7.859
ABI3BP,11.1402,9.7617,8.9167,10.3048,10.1108,8.3925,8.2234,7.429,8.6207,9.1052
ABL1,9.7649,9.6829,9.0206,9.5097,9.6584,9.2123,9.3904,9.1767,9.3662,9.2061
ABL2,10.8638,10.6354,10.8117,10.7925,10.8524,11.3127,11.2591,11.2566,11.1981,11.383
ABLIM1,10.8098,11.2258,11.4111,11.2352,11.3403,11.7589,11.8717,11.83,11.8876,11.9037
ABLIM2,8.786,9.3695,9.1604,9.4637,9.0577,10.173,10.2856,9.9516,10.3635,10.0594
ABLIM3,8.3541,9.1223,8.7288,9.0997,8.8688,9.6791,9.7735,9.7134,9.6847,9.4775
ABO,8.9579,8.2266,8.4629,8.1871,8.429,8.1878,8.2253,8.6131,8.268,8.1469
ABR,11.6518,11.8247,12.2543,11.8965,11.9574,12.5035,12.2343,12.3139,12.516,12.4982
ABRA,6.4772,6.0633,6.1335,7.1333,6.6284,6.228,7.3775,7.0147,7.35,7.286
ABRACL,13.2147,12.2249,12.1302,12.2482,12.1686,11.1245,10.8252,11.2199,10.933,11.0266
ABT1,10.9567,10.6424,10.7999,10.7496,10.9563,11.1119,10.6115,11.0496,10.9473,11.0652
ABTB1,10.09,10.0193,9.8983,10.091,9.9916,9.8775,9.8177,10.1344,10.3909,9.9994
ABTB2,7.7344,8.3032,7.9006,7.8099,8.0138,7.8037,7.5735,7.8703,7.8397,7.7964
ACAA1A,11.1032,10.9395,10.807,10.9481,10.8881,10.7722,10.765,10.5373,10.784,10.8872
ACAA2,11.9979,11.1596,11.0383,11.5046,11.0754,10.2056,10.0316,10.3485,9.8263,10.3689
ACACA,11.6144,11.6602,11.5673,11.2581,11.5877,11.6822,11.749,11.6144,11.7394,11.824
ACACB,4.4874,4.0113,1.1413,5.9213,0.9566,4.8655,3.1438,4.6109,3.8969,3.1271
ACAD10,7.4627,8.2333,8.2066,7.9578,7.5269,8.1774,8.3315,8.3657,7.4468,7.598
ACAD11,9.3366,9.3165,9.3425,9.4049,9.174,9.0877,8.6981,8.6873,8.7433,9.0697
ACAD8,10.1978,10.0435,9.9524,9.9616,10.0176,10.4993,10.3629,10.4815,10.4222,10.4121
ACAD9,10.7005,10.4859,10.7115,10.7555,10.6311,10.7664,10.6936,10.7159,10.8137,10.8468
ACADL,13.0953,12.3822,12.5741,12.6902,12.5891,11.3115,11.1679,11.1462,11.128,11.2354
ACADM,12.0657,11.4179,11.6179,11.3213,11.5934,10.6836,10.795,10.8308,10.721,10.5934
ACADS,9.7129,9.623,9.3967,9.4842,9.8882,9.2971,9.3714,9.5927,9.4127,9.6489
ACADSB,6.3099,5.6543,6.6043,6.3098,6.8559,7.1563,6.8524,6.9767,6.0988,6.6597
ACADVL,11.2257,10.6333,10.6126,10.6531,10.837,10.2206,10.2391,10.3114,10.3748,10.3976
ACAN,5.6895,6.7502,6.6577,4.8145,7.0233,7.1009,7.6976,7.4154,7.1973,6.7736
ACAP1,5.3457,3.5439,5.3222,2.2303,2.9689,1.6532,3.2205,2.6206,2.7372,2.3645
ACAP3,9.7588,10.1437,10.1721,10.232,10.2138,10.8319,10.9827,10.9666,10.9886,10.9269
ACAT1,12.0465,12.1358,12.2001,12.2956,12.2568,12.0365,11.5172,11.9377,11.8929,12.3916
ACAT2,10.3763,10.2099,9.9441,10.0185,10.0492,11.3022,11.1866,11.2815,11.3038,11.3972
ACBD3,11.6566,11.2584,11.2119,11.5033,11.2753,11.2352,11.1502,11.1449,11.2021,11.3203
ACBD4,10.7566,10.781,10.9486,11.1897,10.9816,11.3198,11.3916,11.8107,11.5039,11.439
ACBD5,12.8886,12.8317,13.136,12.9255,12.9233,12.908,12.9981,13.0861,12.9627,12.959
ACBD6,10.9079,10.8661,10.967,11.0017,10.9109,11.2399,11.0485,10.9912,11.0091,11.1588
ACCS,9.3276,9.3537,8.8959,9.2321,9.0742,8.5253,8.3611,8.1657,8.3256,9.0197
ACD,10.5715,10.4728,10.4544,10.5245,10.5333,11.0907,10.9057,10.8593,10.896,10.7428
ACE,9.546,8.0152,8.4012,8.1713,8.4954,8.2185,7.5701,6.9226,7.3096,8.8368
ACER1,5.3354,6.7642,6.4421,5.5929,6.0636,4.6592,6.0933,7.015,5.1684,6.5766
ACER2,10.9437,9.6618,9.8588,9.9092,8.7687,10.2948,9.8859,9.7896,9.3049,9.8289
ACER3,10.3034,10.1108,9.8446,10.1124,10.1611,9.749,9.8277,9.945,9.8595,9.7221
ACIN1,10.7496,10.3065,10.3131,10.3397,10.5582,10.6453,10.5674,10.4629,10.6235,10.6249
ACKR2,6.6992,7.877,7.2981,8.3729,7.7579,8.5238,9.4377,9.1321,8.9843,8.7039
ACKR4,6.5338,6.8141,7.5868,7.2433,6.5765,7.053,6.0559,7.564,6.6371,6.9136
ACLY,13.0495,13.0659,13.0598,12.9069,12.9591,13.3616,13.3191,13.1922,13.4239,13.5411
ACMSD,6.4038,7.0273,4.2928,6.4115,3.1297,6.2407,5.8912,6.9876,6.9636,7.031
ACN9,10.2724,10.3638,10.6341,10.4311,10.5249,11.2467,11.0492,11.2046,11.2471,11.0607
ACO1,11.9263,11.5627,11.3677,11.2315,11.329,10.736,10.3152,10.4743,10.5606,10.7593
ACO2,12.5945,12.7954,12.9367,12.8141,12.8375,13.1896,13.0958,13.1009,13.1283,13.2114
ACOT1,11.2658,11.0031,10.1549,10.8928,10.759,9.0247,7.9693,8.8817,8.917,8.9945
ACOT12,4.2393,6.4739,3.3018,6.9907,4.4528,5.9983,5.6253,3.5257,5.6114,5.7147
ACOT13,10.1732,10.4347,10.5693,10.5062,10.4727,10.9293,10.8367,10.9939,10.9808,10.9574
ACOT2,10.6816,9.908,10.1402,10.0377,9.8981,9.5649,9.2831,9.3123,9.4453,9.7694
ACOT3,8.521,7.663,7.5582,8.3544,7.3577,7.6741,7.8629,6.9587,7.7592,8.2407
ACOT4,7.2588,7.8905,7.4831,8.315,7.5552,8.8444,8.4722,8.371,8.3063,9.1194
ACOT7,12.2484,12.7813,12.781,12.7309,12.7481,13.4381,13.357,13.2409,13.3459,13.3437
ACOT8,9.7042,9.7447,9.7037,10.1177,9.9146,10.463,10.3201,10.392,9.872,10.4591
ACOT9,12.807,12.3817,12.6623,12.6258,12.4672,12.4514,12.7186,12.6022,12.6387,12.599
ACOX1,12.4566,12.2976,12.3352,12.2534,12.5183,12.3743,12.1163,12.1924,12.1858,12.4467
ACOX2,5.9799,6.3851,7.3669,6.6802,6.8188,6.3092,6.9044,6.2489,6.8104,6.601
ACOX3,5.9899,4.4579,3.4205,5.7102,6.9475,6.0891,6.0599,6.0645,6.2715,5.8305
ACP1,12.2989,12.1478,12.3085,12.2624,12.4176,12.5864,12.4303,12.515,12.5241,12.5978
ACP2,10.9032,10.9709,10.9439,10.9916,10.8664,10.5884,10.453,10.5994,10.6686,10.6243
ACP5,11.7789,10.6747,10.1014,11.0105,10.7478,7.534,7.0064,7.5465,7.7999,8.0141
ACP6,10.5242,10.2713,10.5486,10.2044,10.391,9.8771,9.8033,9.9863,9.7781,9.9391
ACPP,7.3711,4.9159,4.7565,3.5996,4.7919,3.7725,1.854,3.5588,2.1592,3.5052
ACR,3.4898,5.1126,2.3378,5.7392,3.3237,3.3588,1.6183,4.5885,3.7922,2.3407
ACRBP,6.9845,7.1592,4.8093,6.4909,6.9639,7.2312,7.7606,7.6864,7.1385,6.9613
ACRV1,5.492,6.3427,4.9661,5.8204,6.4244,5.845,5.9814,5.6735,5.7033,6.3514
ACSBG1,12.5619,11.9898,12.3436,12.3839,12.109,12.4519,12.2368,12.0604,12.4758,12.3733
ACSF2,10.5771,10.6299,10.4322,10.5703,10.69,10.2668,10.1556,10.0805,10.1397,10.1082
ACSF3,10.3232,10.2207,10.0253,10.1696,10.1997,10.2354,10.1997,9.9782,10.1062,10.3912
ACSL1,11.754,11.4592,11.5633,11.5331,11.6609,11.6011,11.5567,11.6267,11.7321,11.6477
ACSL3,12.9469,12.6021,12.7389,12.8816,12.6339,13.2789,13.1149,13.2037,13.1629,13.2841
ACSL4,13.2474,13.1485,13.2047,13.0446,13.1664,13.6816,13.4246,13.647,13.5233,13.8207
ACSL5,12.3621,11.9157,11.9489,11.8706,11.9734,11.7964,11.468,11.7706,11.6396,11.51
ACSL6,11.1695,11.4938,11.7783,11.5729,11.6255,12.2253,12.5523,12.3393,12.4978,12.3916
ACSM1,6.5934,6.2311,6.2478,6.2251,6.4991,6.5496,5.8973,7.1019,4.2186,6.5861
ACSM2A,3.1646,6.4822,3.0419,4.786,6.6522,4.6487,5.4488,6.0568,5.3724,4.2857
ACSM3,6.9406,6.4952,5.4559,6.8527,6.2363,6.2418,4.8338,6.3555,6.3368,6.8954
ACSM5,6.7867,5.9708,5.63,7.078,7.4512,7.2518,6.967,6.7593,6.8564,5.9598
ACSS1,11.3646,11.2411,11.8347,11.7266,11.7148,10.8115,10.8902,10.1055,11.0496,10.924
ACSS2,11.9854,11.6251,11.5963,11.5204,11.8363,12.553,12.4951,12.6293,12.632,12.29
ACSS3,11.5629,9.789,9.5705,10.1596,10.0556,9.4866,8.8291,8.8004,9.3046,9.7812
ACTA1,8.738,9.687,9.9476,9.921,9.6752,10.6565,10.7106,10.5735,10.4555,10.8201
ACTA2,9.5441,9.209,9.0155,9.2811,9.4808,8.4454,8.524,8.1323,8.589,8.6241
ACTB,15.8011,15.4829,15.963,15.412,15.6239,15.0108,14.7527,14.9686,14.9511,14.9702
ACTG1,15.3449,15.3949,15.7707,15.4327,15.5122,15.2848,15.3327,15.2953,15.3655,15.2499
ACTG2,6.7103,6.7562,7.3988,7.7803,8.4103,6.0025,6.3321,5.9275,6.2816,6.2581
ACTL6A,11.1646,10.895,10.9444,10.8525,10.8284,10.1196,10.217,10.152,10.208,10.2834
ACTL6B,6.735,8.8638,8.1057,8.6692,8.2867,9.4553,9.5924,9.833,9.5082,9.7553
ACTL7B,6.637,5.9686,7.1224,6.8761,7.6873,7.0557,6.3953,5.3351,4.803,5.0779
ACTN1,12.1478,11.9431,11.8694,12.0976,11.889,12.3103,12.2538,12.0816,12.4187,12.8679
ACTN2,7.9548,7.6277,7.2647,8.1482,7.9868,9.1985,8.0365,8.7162,7.9619,9.3273
ACTN3,5.8036,4.1644,3.6238,3.4483,5.6571,2.8726,2.1832,3.6185,4.2059,6.294
ACTN4,11.4117,10.8554,10.811,10.5928,10.855,10.8994,11.1011,10.9311,11.0192,10.784
ACTR10,12.6079,12.3868,12.6076,12.6737,12.5715,12.6278,12.6979,12.5698,12.6308,12.7887
ACTR1A,11.9975,11.9,11.801,11.7586,11.9353,12.0768,12.0137,12.0602,12.178,12.2445
ACTR1B,11.3339,11.8065,11.6346,11.4869,11.6849,12.0844,11.9028,11.9128,12.0783,11.8529
ACTR2,14.8085,14.7758,15.1547,14.7837,14.9436,14.6331,14.7327,14.6727,14.7372,14.5344
ACTR3,13.7127,13.1834,13.3986,13.0853,13.3531,12.9609,12.654,13.0743,12.8804,12.9987
ACTR5,8.9216,8.8306,8.854,8.7333,8.6253,8.8406,8.8542,8.9191,9.0836,8.6824
ACTR6,11.4156,11.4213,11.4686,11.561,11.2198,12.0017,11.8053,11.9574,11.5704,11.8944
ACTR8,11.3279,11.5785,11.6546,11.5711,11.4628,11.7882,11.7937,11.692,11.7891,11.8184
ACVR1,11.4742,10.904,11.2119,11.2455,11.0248,11.5508,11.4113,11.6152,11.3305,11.4638
ACVR1C,2.665,4.1899,2.7329,3.1386,4.8434,6.9653,6.4387,6.5838,7.2599,7.6286
ACVR2A,9.1807,9.3699,8.953,8.9423,9.3123,9.9583,9.4114,9.1195,8.7264,10.1431
ACVR2B,8.2539,9.0064,8.6936,9.0036,8.948,9.447,9.8081,9.3885,9.5013,9.9656
ACVRL1,9.9563,9.306,9.2693,8.9579,9.0522,8.0557,7.6742,7.9538,8.361,8.7216
ACY1,11.1271,10.8992,11.085,11.0685,11.19,10.9115,10.9797,10.8978,11.0218,10.7333
ACY3,9.7323,8.8337,9.1067,9.2345,9.1675,8.6348,8.763,8.4208,8.7219,8.5746
ACYP1,11.4016,11.7555,11.738,12.0154,11.648,11.8429,12.0314,12.001,12.0314,11.8269
ACYP2,11.4666,11.3544,11.8683,11.4326,11.6166,12.3487,12.1314,12.3755,11.6057,12.4674
ADA,10.1673,8.8221,8.9188,9.3853,9.3892,7.3156,6.8325,5.2408,7.3023,7.2406
ADAL,5.1714,4.5016,4.0275,5.6149,4.4085,5.2518,3.7423,2.1023,5.6731,5.5361
ADAM10,9.2578,9.4665,9.0624,9.3853,9.5101,8.7104,8.6096,8.8247,8.5422,8.2572
ADAM11,10.3773,10.9451,10.7815,10.9719,10.7699,11.7171,11.8385,11.9186,11.8146,11.6975
ADAM15,12.6723,11.9184,12.1858,11.6127,11.9682,10.7811,10.4211,10.6303,10.3376,10.8297
ADAM17,12.3311,12.0373,12.1894,11.7068,12.3914,10.4175,10.3052,10.3923,10.491,10.4947
ADAM18,6.2281,4.3871,6.3061,6.3062,5.7368,6.7045,4.6322,6.4464,7.0852,6.7041
ADAM19,10.3708,9.4343,9.7814,9.8614,9.5302,9.4989,9.1164,9.436,9.2401,9.4414
ADAM1A,9.9601,9.8914,10.282,9.7772,9.5749,10.0298,10.0789,10.1587,9.9393,9.9273
ADAM2,6.377,6.7767,6.4733,6.1813,7.1985,6.5588,5.8855,6.3332,6.8756,6.0847
ADAM22,11.7187,12.8117,12.8957,12.9242,12.8142,13.511,13.626,13.5051,13.6894,13.4857
ADAM23,6.5724,6.8962,5.8915,7.0356,6.8692,7.2378,6.1475,7.3643,7.6843,7.7324
ADAM32,6.8396,6.3538,5.8858,7.293,6.3651,7.3813,7.5732,6.3473,7.4719,6.5567
ADAM33,9.626,8.4914,8.3246,8.7518,9.1235,8.0323,8.2167,8.3062,8.4632,7.6803
ADAM3A,6.7375,6.2979,5.8567,6.606,6.9358,7.2181,6.1899,4.4785,6.6928,5.4278
ADAM4,8.0083,8.8129,8.6949,8.9627,8.3779,9.2184,9.5182,9.2849,9.194,9.1046
ADAM6,2.9399,4.9104,5.6738,3.9908,4.1107,6.0687,6.1238,5.8034,4.2713,5.4759
ADAM7,6.6422,6.6706,5.6346,5.5979,6.96,5.3135,6.1924,6.4514,6.0509,6.775
ADAM8,11.3144,9.7211,8.6906,9.9856,9.9702,7.7837,7.9484,7.6961,8.0521,8.1176
ADAM9,7.5196,6.1077,6.6131,6.9281,7.3486,7.4199,6.6045,7.1975,7.1274,6.1038
ADAMTS1,10.3701,9.8322,10.4724,9.5299,10.2843,9.4413,9.261,8.8745,9.3757,10.0808
ADAMTS10,9.7645,8.2693,7.7955,8.582,8.7972,7.6807,7.3932,7.7544,7.5637,7.5594
ADAMTS12,11.2922,10.5475,9.859,10.4459,10.4744,7.1341,6.6428,7.3263,6.8531,7.6733
ADAMTS15,10.9243,10.098,9.4926,10.2744,10.4376,8.9395,9.2588,8.7929,9.3641,8.6787
ADAMTS16,6.4919,6.9248,5.4549,4.243,6.8718,5.6464,3.664,5.968,5.4292,6.0981
ADAMTS19,6.6337,7.5955,7.4557,7.8885,7.522,7.2723,7.6828,6.934,7.826,8.0176
ADAMTS4,10.9321,10.952,11.1913,10.6538,11.3804,10.1325,10.358,10.987,11.0321,10.2897
ADAMTS5,8.4848,7.6398,7.4327,7.9676,8.5199,7.1522,7.3248,7.4682,7.4352,7.4675
ADAMTS6,3.5573,7.1262,5.4071,6.2407,6.425,5.8826,5.0174,2.3227,5.7267,5.2699
ADAMTS7,9.9186,9.2121,8.5,9.2049,8.9264,6.9683,7.896,6.6552,7.5218,7.3348
ADAMTS8,9.2788,7.6293,7.8016,7.6983,7.9325,7.2617,7.2016,6.8332,8.0046,6.3503
ADAMTS9,10.4474,8.8461,8.7887,9.1494,9.3909,8.4665,7.6355,8.1954,8.5408,8.6383
ADAMTSL1,8.0142,8.0514,7.9248,8.009,8.3234,9.3082,8.5732,8.2909,8.4085,8.8785
ADAMTSL2,9.1998,7.6411,7.3139,8.6262,8.3959,8.6577,8.8307,8.2799,8.6932,7.948
ADAMTSL4,9.3237,8.4366,8.7538,8.7451,8.5475,8.2508,7.8101,7.8945,8.0125,8.6364
ADAMTSL5,7.3758,7.3453,6.6384,8.1069,7.7494,7.9711,7.4095,7.7076,7.4795,7.6424
ADAP1,9.5119,10.4245,10.2584,10.2754,10.2299,10.7219,10.4474,10.9535,10.8764,10.6833
ADAP2,12.6177,11.6903,11.5651,11.9272,11.6327,9.61,9.5656,9.0936,9.0916,9.5305
ADAR,9.6635,10.3482,9.7258,10.7573,10.2518,10.3451,10.0837,10.686,10.3734,10.7559
ADARB1,12.5736,12.9717,13.0252,13.0998,12.8119,13.5228,13.8719,13.7593,13.6022,13.5387
ADARB2,7.1012,6.1241,4.3345,6.9699,6.7109,3.843,4.7165,5.4927,6.1252,3.9247
ADAT3,6.1465,7.5772,5.3767,5.1746,8.1906,7.7036,8.4054,7.8941,7.0382,6.2601
ADCK1,8.9552,8.3788,7.9991,8.339,8.7749,8.6952,8.8578,9.1962,8.591,8.5194
ADCK2,8.9412,8.757,9.3081,9.5435,9.3683,9.0308,9.2792,8.9892,9.2121,8.8348
ADCK3,9.192,9.7747,9.7059,9.8693,9.7394,10.1222,9.7899,9.941,10.0542,9.9608
ADCK4,9.6493,9.6584,9.5617,9.7079,9.9464,10.1277,9.9159,10.2357,10.1565,10.3172
ADCK5,10.2208,9.9714,10.1411,10.2224,10.0347,10.0509,9.7583,10.0771,9.8993,10.0683
ADCY10,6.9345,5.7502,7.1208,7.5169,6.7128,6.6215,7.821,6.8662,5.713,4.8584
ADCY2,11.0075,12.0716,12.3292,11.9883,12.0048,12.5399,12.6844,12.5657,12.7112,12.4621
ADCY3,10.5983,10.8468,10.7217,10.8926,10.552,11.366,11.3031,11.1294,11.2702,11.3079
ADCY4,9.6615,9.0611,9.185,8.7115,8.812,6.5394,7.3355,6.3046,6.0853,6.4281
ADCY5,8.8139,9.0672,9.1787,8.7337,9.1936,10.0248,9.6226,9.7389,9.7681,10.9258
