,GSM1509427,GSM1509428,GSM1509429,GSM1509430,GSM1509431,GSM1509422,GSM1509423,GSM1509424,GSM1509425,GSM1509426
LOC498675,7.4529,6.6749,7.0003,7.0069,7.195,7.1534,7.1292,7.4072,6.8865,7.0649
LOC498906,9.2892,8.9664,8.9081,8.8167,9.1725,8.1826,8.609,8.4191,7.9235,8.5557
LOC499331,10.7706,11.0704,10.9749,11.223,11.003,11.363,11.4055,11.2844,11.2439,11.3966
LOC499339,10.7721,10.4388,10.5089,10.4917,10.6267,10.5096,10.2514,10.5006,10.3981,10.4137
LOC499602,8.0517,7.3713,7.3055,7.9417,7.9218,7.7249,8.1711,8.1796,7.6768,8.0745
LOC499770,9.3352,9.4056,9.044,9.1086,9.1474,8.9802,8.5088,8.7955,9.3943,9.0249
LOC500007,6.7438,3.0758,6.7468,7.5077,6.6704,7.043,7.6746,7.3175,7.0741,6.4556
LOC500013,10.7518,11.1477,11.1002,10.699,10.8218,10.0808,9.2804,9.7574,9.9117,9.9826
LOC500028,10.8885,10.9986,11.0919,10.9353,11.0583,10.7365,10.7611,10.797,10.7948,10.5705
LOC500034,12.4618,11.8915,12.1172,12.0257,12.1042,12.2484,12.1044,11.9519,12.1757,12.2124
LOC500066,9.0424,8.11,7.2779,8.0855,8.4328,8.7913,8.6905,10.4817,8.8699,10.0862
LOC500077,8.386,8.7069,7.9613,7.7397,7.8372,8.2064,7.7323,8.4648,7.4398,8.0847
LOC500124,6.3398,6.1959,5.0012,5.5636,6.1157,4.6055,6.2465,4.6904,6.0174,4.7822
LOC500183,6.5861,8.1762,6.6496,6.9027,7.4221,4.2156,3.4429,2.1598,3.6849,3.7605
LOC500227,5.9591,8.6056,8.0316,8.4319,7.917,8.6686,8.7929,8.3906,9.2817,9.3167
LOC500300,9.0817,8.2973,9.3943,8.7538,8.2383,9.1965,9.0494,8.4501,8.5152,8.9959
LOC500700,9.9048,9.1658,9.3228,9.3532,9.2539,8.3623,8.1632,8.4495,9.0688,8.8985
LOC500956,11.2176,11.7711,11.7404,11.6117,11.3368,12.1175,12.2134,12.0178,11.9974,11.9288
LOC501038,9.6639,10.4581,10.6721,10.638,10.8266,11.6662,11.6615,11.5535,11.5769,11.5547
LOC501282,11.6032,11.406,11.3013,11.4604,11.5606,11.2131,11.1482,11.3443,11.3226,11.2911
LOC501406,9.5403,9.3541,9.4846,9.4329,9.4499,9.0347,9.1442,9.4323,9.3125,9.2136
LOC502684,3.6713,3.3794,3.5051,4.2725,3.8646,3.0844,3.5082,3.2294,3.5736,3.7421
LOC502894,10.6194,10.5814,10.3277,10.45,10.7408,11.3489,11.3376,11.6571,11.5236,11.2112
LOC56764,8.0504,8.5306,7.8562,8.3401,8.3589,8.0422,8.1717,8.226,8.0171,8.0634
LOC60591,4.1217,4.6291,4.1558,3.8827,5.4553,5.3866,5.9527,3.8762,5.9356,4.8963
LOC606294,12.7932,12.8136,13.022,12.7967,13.0519,13.3475,13.25,13.2557,13.2928,13.3996
LOC619574,12.0377,11.6269,11.8101,11.4293,11.7842,10.5624,10.5479,10.4732,10.5211,10.7047
LOC64038,10.7973,10.3747,10.6196,10.2696,10.394,9.8867,9.6762,9.6835,9.5544,9.8556
LOC652955,13.1827,12.8968,13.1397,12.7437,13.0532,11.5769,11.5394,11.9933,11.8333,11.6754
LOC652956,11.0114,10.5359,10.3404,10.5093,10.5029,10.4495,10.3413,10.5727,10.7033,10.7814
LOC654482,8.7294,8.3286,7.8863,8.3638,8.5024,7.7306,7.5034,7.5088,8.1,8.9365
LOC678772,12.709,12.7614,12.8416,12.807,12.6357,13.0809,13.0502,13.0236,12.7746,13.296
LOC678774,10.0062,9.6414,9.6509,9.5005,9.6479,9.2582,9.4329,9.3886,9.407,9.3009
LOC678813,11.6153,12.0691,12.1975,12.2425,12.0058,12.4443,12.8021,12.5496,12.3913,12.3807
LOC678880,12.5899,12.4978,12.5062,12.8047,12.4847,12.7671,12.9143,12.7688,12.8739,12.8415
LOC678893,12.1945,11.5762,11.7107,11.3595,11.9274,11.4657,11.0787,11.6621,11.4643,11.4972
LOC679158,7.276,7.4922,7.5678,7.7312,7.5744,8.3366,7.9875,8.1372,7.9758,8.0516
LOC679342,9.7955,8.3237,7.9927,9.122,8.734,7.455,7.6852,7.4775,7.5446,7.7897
LOC679346,9.4233,9.2948,9.416,9.4385,9.2554,9.4914,9.7543,9.6434,9.5317,9.3013
LOC679368,6.3274,6.694,3.6775,6.6862,6.6155,6.8215,6.2729,6.7672,5.9296,6.145
LOC679753,12.507,12.1987,12.4697,12.2072,12.0748,11.927,11.5263,11.8209,11.6163,12.0425
LOC679811,8.8399,8.2571,8.1565,8.4401,8.2613,8.0334,7.4697,8.0243,7.4909,8.1295
LOC679818,5.9247,6.9209,4.9965,5.8056,6.156,5.6096,6.362,7.1321,6.5514,5.2338
LOC679824,7.2015,8.2535,7.4712,8.3205,8.2431,8.0262,8.2146,7.9611,8.3707,8.0049
LOC680039,11.7001,11.8568,11.7893,11.6383,11.8062,12.3499,12.1471,12.1843,12.191,12.2339
LOC680045,3.1306,6.6193,3.9241,4.5879,4.407,6.8038,4.3484,6.4857,6.211,5.7042
LOC680097,8.1984,7.8078,8.0336,7.6868,8.1482,5.9113,6.8825,6.9919,6.9765,7.3268
LOC680200,8.6825,7.8985,8.0168,8.0145,8.0439,7.7641,7.3844,8.1595,7.6463,7.8924
LOC680254,11.9069,11.2895,12.0847,11.7202,11.6162,9.308,9.0495,9.2513,9.4547,9.2648
