score,mu_mean,mu_sd,mu_hdi_2.5,mu_hdi_97.5,tau_mean,tau_sd,tau2_mean,tau2_sd,rho_mean,p_mu_gt_0,rhat_max,converged,mu_significant,k
Ferroptosis,2.82,1.7,-0.41,6.3,3.33,1.6,13.702521477687878,19.001144915125938,0.13145217604238726,0.962,1.0,True,False,5
Senescence,2.83,1.85,-0.79,6.8,3.72,1.74,16.850362142745727,20.14589053983482,0.13781849970781923,0.949,1.0,True,False,5
