,Erastin,Fer-1,Quercetin,DFO,Vitamin_C,BCP
Erastin,1.0,0.14285714285714285,0.07692307692307693,0.07291666666666667,0.04938271604938271,0.044444444444444446
Fer-1,0.14285714285714285,1.0,0.08823529411764706,0.14492753623188406,0.05172413793103448,0.1111111111111111
Quercetin,0.07692307692307693,0.08823529411764706,1.0,0.028169014084507043,0.03773584905660377,0.03225806451612903
DFO,0.07291666666666667,0.14492753623188406,0.028169014084507043,1.0,0.034482758620689655,0.014705882352941176
Vitamin_C,0.04938271604938271,0.05172413793103448,0.03773584905660377,0.034482758620689655,1.0,0.04081632653061224
BCP,0.044444444444444446,0.1111111111111111,0.03225806451612903,0.014705882352941176,0.04081632653061224,1.0
