iteration,GSE16561_d_ferr,GSE16561_d_sene,GSE37587_d_ferr,GSE37587_d_sene,GSE61616_d_ferr,GSE61616_d_sene,GSE97537_d_ferr,GSE97537_d_sene
0,0.8286507004830689,1.0821699566613456,-0.2549192804635085,-0.37826896765519014,1.9210811033912125,1.9783428232209472,1.9210511217834045,1.904129478630506
1,0.781063474221271,0.9963471171306004,-0.4704978755996094,-0.6371395049958455,1.912164598972729,1.959655524559082,1.9108421833535862,1.910858890909452
2,0.7263245835832421,1.0233386597950662,-0.22374893246062713,-0.6156246253110886,1.9396366164941259,1.9633657251388512,1.9216679625122342,1.9126408097878211
3,0.5938615570915612,1.0385446341137272,-0.053439861695204136,-0.3475434383865359,1.939037657812325,1.9512113140903238,1.919060175158847,1.8854871910386921
4,0.5613502643853833,1.0332370108538491,-0.2446172080704807,-0.38118502429407086,1.965635869628604,1.9661169392890314,1.9328696024422922,1.9014821547022365
5,0.6814960922311992,0.91501839467263,-0.2796122529458438,-0.523815578894739,1.9514232043356516,1.961244688600236,1.9366822708315086,1.9097437212473922
6,0.8603268188621479,1.0171525286462046,-0.40067322409684336,-0.19495858634562968,1.9435513220844063,1.9586766019265989,1.9115882158241813,1.9016255224703
7,0.6051257748509983,1.2070364371196924,-0.3093506301164972,-0.3940587459820888,1.909587827883187,1.9681881845238756,1.9096637651896637,1.9043748152046753
8,0.7844745279710246,1.034309226037947,-0.30437444424813015,-0.47829536255309985,1.9530794825665843,1.9591147159517792,1.9265146227647336,1.924445632927089
9,0.6876798713889387,1.039409979218915,-0.4515958092896627,-0.1478544757411686,1.9307442885655246,1.9602454676791197,1.9161634392811329,1.9038861772396518
10,0.61247206151115,1.010762276453567,-0.22519812127595415,-0.3299886090887506,1.8845849797448246,1.966789925903649,1.924570433751934,1.8932731707475758
11,0.708875065185483,1.204639104235139,-0.3466473073372675,-0.5133439092139354,1.9074068784099603,1.9658650093248102,1.909658665251371,1.8902927595306225
12,0.7563363513953565,1.1781691301399912,-0.17886767510266932,-0.7445186166121036,1.9609882850693627,1.962984485110248,1.9207114919493604,1.9093353703139906
13,0.6844410110612145,1.2461841332789692,-0.4575416737840884,-0.55407721332099,1.8468970266255735,1.9487705886271678,1.917807349760182,1.896876891027848
14,0.768217433319699,1.2282978979414436,-0.2929711795198908,-0.5417794981636708,1.9012846615322512,1.9693377834545882,1.8950586755571774,1.9324366254547307
15,0.5250485275839736,1.0682620439318211,-0.42129413409148725,-0.23391973865218862,1.9147980669820646,1.9696635618848206,1.9066663853654124,1.9048266359543686
16,0.8389380790027827,1.1594769812439076,-0.40073977027127455,-0.408908651426049,1.9468585969196177,1.9702946819865435,1.8990068233468091,1.9207292275315062
17,0.6961235651924712,0.9099347555769839,-0.4026576193482658,-0.3854311417539156,1.952499862539661,1.9777835077696355,1.916114501082303,1.9008907879360346
18,0.5142299166541876,1.0778835837517626,-0.3381112836845577,-0.6281056851474865,1.9267444030717737,1.9764903009868677,1.9134507896101358,1.9052013376798986
19,0.835711154041616,1.032071441021652,-0.39684348556169813,-0.42682278421543807,1.8892439584395953,1.9680345246677298,1.8763152141832669,1.8998267458175628
20,0.6681465169902514,1.0556286308408152,-0.13413356806551102,-0.510223770377062,1.9297224261788717,1.9654624437585644,1.8775868863373524,1.90383437820479
