dataset,ferroptosis_jsd,ferroptosis_ks_stat,ferroptosis_ks_p,senescence_jsd,senescence_ks_stat,senescence_ks_p,idsp_index_jsd,idsp_index_ks_stat,idsp_index_ks_p
GSE16561,0.6931471805592866,1.0,1.276685186649217e-17,0.6931471805591972,1.0,1.276685186649217e-17,0.6931471805369926,1.0,1.276685186649217e-17
GSE37587,0.11705168148530065,0.2647058823529412,0.1859197921823477,0.18328406315603035,0.11764705882352941,0.9761919111193307,0.1910870485754143,0.17647058823529413,0.6726844299259279
GSE61616,0.693147180559698,1.0,0.007936507936507936,0.693147180559451,1.0,0.007936507936507936,0.6931471805366941,1.0,0.007936507936507936
GSE97537,0.6931471805595125,1.0,0.0025252525252525255,0.6931471805593266,1.0,0.0025252525252525255,0.6931471805451567,1.0,0.0025252525252525255
GSE104036,0.69314718055913,1.0,0.004395604395604396,0.6931471805586829,1.0,0.004395604395604396,0.6931471805155299,1.0,0.004395604395604396
