dataset,timepoint,time_hr,n_samples,ferroptosis_mean,ferroptosis_sem,senescence_mean,senescence_sem,shared_mean,p_ferroptosis,p_senescence,p_ferroptosis_fdr,p_senescence_fdr,ferr_fc_vs_sham,sene_fc_vs_sham,ferr_delta_per_hr,sene_delta_per_hr
GSE104036,Sham,-0.5,3,0.4220239626519104,0.0038571656242556893,0.1607072558884264,0.004385114088775881,-0.04655855334405968,,,,,1.0,1.0,,
GSE104036,3hr,3.0,3,0.4519295404620833,0.004982798715417718,0.19452476724337542,0.007951622644314378,-0.011084658910161665,0.01043812734481207,0.03163694452994502,0.01043812734481207,0.04218259270659336,1.0708622743179144,1.2104292750691192,0.00854445080290654,0.009662146101414002
GSE104036,6hr,6.0,3,0.47432299392951593,0.006463998721764651,0.20912112862422216,0.005995007750262831,0.02663786400965601,0.004626744179597528,0.0038606408350763837,0.006168992239463371,0.015442563340305535,1.1239243168775759,1.3012550520395163,0.007464484489144219,0.004865453793615582
GSE104036,12hr,12.0,3,0.4818277292337392,0.0058520885911815725,0.22176311005608454,0.016203035026680468,0.04897829809371889,0.0019187884698737116,0.055213489903548955,0.003837576939747423,0.055213489903548955,1.141707040060082,1.3799197107195156,0.0012507892173705404,0.002106996905310396
GSE104036,24hr,24.0,3,0.500723056308557,0.001970000117237145,0.26476951079959016,0.020380258559418673,0.13284708752080096,0.000380792156118721,0.031533120588129404,0.001523168624474884,0.04218259270659336,1.1864801542597674,1.6475267985622917,0.0015746105895681484,0.0035838667286254683
