source,target,ligand_complex,receptor_complex,lr_means_mcao,cellphone_pvals_mcao,expr_prod_mcao,scaled_weight_mcao,lr_logfc_mcao,spec_weight_mcao,lrscore_mcao,specificity_rank_mcao,magnitude_rank_mcao,lr_means_sham,cellphone_pvals_sham,expr_prod_sham,scaled_weight_sham,lr_logfc_sham,spec_weight_sham,lrscore_sham,specificity_rank_sham,magnitude_rank_sham,magnitude_rank_diff
Microglia,Astrocyte,CCL4,CCR1,16.188845,0.0,25.659094,0.6124284184933251,inf,0.4523321,0.89370126,4.252623927120245e-05,0.00034699902057358896,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9996530009794264
Pericyte,Microglia,TIMP1,CD63,7.052455,0.0,10.460895,0.4690573172062472,-0.2004991339176314,0.19661187,0.8429696,9.635043207025314e-05,0.0035519998422861116,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9964480001577138
Microglia,Astrocyte,CCL4,CCR5,15.933932,0.0,9.566621,0.3596693631014841,inf,0.16454576,0.8369639,4.252623927120245e-05,0.0035519998422861116,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9964480001577138
Microglia,Astrocyte,CCL3,CCR1,6.649108,0.0,10.149343,0.5927530393620137,339.52772602412307,0.45318744,0.84095806,4.252623927120245e-05,0.004037745691911487,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9959622543080885
Pericyte,Oligodendrocyte,TIMP1,CD63,6.2015357,0.0,9.124305,0.38217059913997886,69.80413745638477,0.17149074,0.8337083,4.252623927120245e-05,0.004554126218260977,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.995445873781739
Microglia,Endothelial,CCL2,ACKR1,5.369822,0.0,11.100795,0.30555598979021237,107.09401932346631,0.4314442,0.84685934,4.252623927120245e-05,0.005482605176105019,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.994517394823895
Microglia,Astrocyte,CCL2,CCR2,5.2093515,0.0,8.025853,0.5449051762696715,12.890193559950951,0.48704574,0.82462513,4.252623927120245e-05,0.00649554914925873,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9935044508507412
Microglia,Astrocyte,CCL2,CCR1,5.1969614,0.0,7.7884355,0.48856078594635727,0.49439140443185003,0.3354843,0.82244325,8.678300076936545e-05,0.00692428842339421,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9930757115766058
Microglia,Oligodendrocyte,FN1,MAG,7.9010806,0.0,5.331528,1.9164016197376077,97.96963322787036,0.08548947,0.793063,4.252623927120245e-05,0.011384063031932852,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9886159369680672
Astrocyte,Endothelial,CXCL2,ACKR1,4.356029,0.0,8.751587,0.304795144969373,146.11101967975623,0.5548312,0.8307971,4.252623927120245e-05,0.01401599938201905,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.985984000617981
Astrocyte,Microglia,APOE,LSR,19.402927,0.0,4.4643054,-0.0005578848680851956,-103.80252474767758,0.024515826,0.7781169,0.0056540031041280355,0.016246362184165492,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9837536378158345
Pericyte,Astrocyte,TIMP1,CD63,3.534236,0.0,4.9346156,0.10979478299763291,17.80108339756042,0.092745796,0.78664285,0.0004444038763456791,0.021560398554700586,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9784396014452994
Microglia,Astrocyte,CCL3,CCR5,6.394196,0.0,3.7840352,0.3399939839701727,342.85843759525744,0.16485691,0.76351804,4.252623927120245e-05,0.021560398554700586,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9784396014452994
Microglia,Microglia,APOE,LSR,14.54527,0.0,3.3433025,-0.11830770498206752,100.99593681780038,0.018359818,0.75215685,0.0040759995859753085,0.025503948558943508,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9744960514410564
Microglia,Astrocyte,CCL2,CCR5,4.9420495,0.0,2.9038053,0.2358017305545163,3.825102975566238,0.122039795,0.7387883,7.287847190123454e-05,0.028887176500453873,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9711128234995461
Pericyte,Pericyte,TIMP1,CD63,3.1084957,0.272,4.2658796,0.06633203583382741,-27.31995646182031,0.08017695,0.7741673,0.0009108125247881897,0.030654366049489568,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9693456339505104
Pericyte,Microglia,PTN,SDC4,3.1074162,0.0,7.061617,0.5254155794970508,-55.70863524627999,0.15068792,0.81517696,0.001862345773917499,0.03110399863851072,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9688960013614892
Microglia,Endothelial,LGALS3,ENG,3.0615857,0.0,7.829837,0.41220915846101003,49.71092019502646,0.22862986,0.82283,4.252623927120245e-05,0.033399046849965086,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9666009531500349
Oligodendrocyte,Oligodendrocyte,PSAP,GPR37L1,4.6104703,0.0,2.2908785,0.2813783548898332,-69.98764484338841,0.02941509,0.71527374,0.0028983669846132333,0.03772598397225411,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9622740160277459
Endothelial,Astrocyte,PGLYRP1,TREM1,5.6166363,0.0,2.1510303,0.5410043104751312,48.04104843199401,0.4963977,0.70881647,4.252623927120245e-05,0.04282663429998427,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9571733657000158
