names,scores,logfoldchanges,pvals,pvals_adj,cell_type
LGI3,0.64288753,0.3661461,0.5202970673470932,1.0,Astrocyte
PEBP1,0.642802,0.065725125,0.5203525882295366,1.0,Astrocyte
DNM2,0.64208335,0.106105015,0.5208190841709655,1.0,Astrocyte
SEL1L3,0.64196354,1.2824577,0.5208968544316068,1.0,Astrocyte
STK11,0.64194643,0.122031756,0.5209079649570421,1.0,Astrocyte
MTO1,0.6417924,0.3164339,0.5210079651777297,1.0,Astrocyte
WAC,0.6416898,0.1497622,0.5210746374828331,1.0,Astrocyte
RFT1,0.6416042,0.39142686,0.5211302010925367,1.0,Astrocyte
PMS2,0.64146733,0.57524264,0.5212191092122842,1.0,Astrocyte
D2WSU81E,0.6414331,0.24275193,0.5212413374621679,1.0,Astrocyte
IL18BP,0.6413475,0.7424263,0.521296910221617,1.0,Astrocyte
CDH19,0.6413304,0.22080562,0.5213080251394469,1.0,Astrocyte
ZFP516,0.6411251,0.56921476,0.5214414136669488,1.0,Astrocyte
RHEB,0.64056045,0.29504368,0.5218083226573738,1.0,Astrocyte
WASL,0.6403551,0.16913189,0.521941777022157,1.0,Astrocyte
DIMT1,0.6396364,0.23758093,0.5224090054733539,1.0,Astrocyte
RFC3,0.6396193,0.4685168,0.5224201325792388,1.0,Astrocyte
NPAS2,0.63941395,1.021734,0.5225536673484211,1.0,Astrocyte
NOS3,0.6391402,0.34516835,0.5227317409810809,1.0,Astrocyte
CEP350,0.63893485,0.7604864,0.522865316656572,1.0,Astrocyte
OGFOD2,0.6386269,0.30294144,0.5230657130294979,1.0,Astrocyte
BMPR1B,0.6376002,0.20016834,0.5237339855876881,1.0,Astrocyte
NSRP1,0.63736063,0.16948211,0.5238899788324762,1.0,Astrocyte
PDZD2,0.6371895,0.70841366,0.5240014171624923,1.0,Astrocyte
TEAD3,0.6370868,0.68796366,0.524068285993067,1.0,Astrocyte
2810004N23RIK,0.6370184,0.19397753,0.5241128676434275,1.0,Astrocyte
C2,0.6370013,1.1879188,0.5241240133597469,1.0,Astrocyte
AHSA2,0.63698417,0.2095184,0.5241351591975543,1.0,Astrocyte
1810032O08RIK,0.63694996,0.681554,0.5241574512376248,1.0,Astrocyte
PPM1D,0.6365222,0.33608797,0.5244361427336787,1.0,Astrocyte
CHST12,0.6364366,0.25720647,0.5244918901413753,1.0,Astrocyte
MRPL39,0.63588905,0.26696536,0.5248487454231845,1.0,Astrocyte
STX6,0.63539284,0.2605165,0.5251722528683951,1.0,Astrocyte
COASY,0.6351875,0.11638527,0.5253061478619245,1.0,Astrocyte
RAB6B,0.635119,0.46792224,0.5253507834076181,1.0,Astrocyte
ABRACL,0.63496506,0.03204793,0.525451220479767,1.0,Astrocyte
DIS3L,0.63428056,0.74298775,0.5258977262786557,1.0,Astrocyte
RPS6KA4,0.6340239,0.40112582,0.5260652159460275,1.0,Astrocyte
IRAK4,0.6333908,0.9051635,0.5264784736571269,1.0,Astrocyte
STMN2,0.63332236,0.6833631,0.5265231600964853,1.0,Astrocyte
GMPPB,0.63327104,0.34787792,0.5265566761972333,1.0,Astrocyte
MFNG,0.63280904,0.41913688,0.5268583701281009,1.0,Astrocyte
RAD17,0.63268924,0.37588498,0.5269366014748853,1.0,Astrocyte
FAH,0.632655,0.2494537,0.526958954377248,1.0,Astrocyte
ING1,0.63258654,0.22410315,0.5270036616338658,1.0,Astrocyte
PARP9,0.63221014,0.54430526,0.5272495861434547,1.0,Astrocyte
GOLGA2,0.632193,0.26013923,0.5272607659212369,1.0,Astrocyte
COG2,0.6314401,0.37550732,0.5277527958456691,1.0,Astrocyte
ORAI2,0.63058454,1.4278941,0.5283122047544647,1.0,Astrocyte
GLYCAM1,0.6303279,3.0490415,0.5284800863059829,1.0,Astrocyte
ACTR6,0.63000274,0.27381977,0.5286927752644207,1.0,Astrocyte
SF3B3,0.629729,0.26522985,0.5288719155486536,1.0,Astrocyte
DDX31,0.62966055,1.3230205,0.5289167054462434,1.0,Astrocyte
CCSER2,0.62964344,0.18704458,0.5289279032222644,1.0,Astrocyte
KPNA3,0.62866807,0.28876877,0.5295663758213387,1.0,Astrocyte
PCBP2,0.62861675,0.06827547,0.5295999904934828,1.0,Astrocyte
FEM1B,0.62815475,0.2795555,0.5299025713496156,1.0,Astrocyte
GCNT1,0.62801784,0.47436816,0.529992241804595,1.0,Astrocyte
MYRF,0.627881,1.791614,0.5300819199688271,1.0,Astrocyte
TBCCD1,0.6273505,0.44532368,0.530429495652696,1.0,Astrocyte
RARS2,0.6272821,0.32811654,0.5304743525558522,1.0,Astrocyte
1810055G02RIK,0.6271965,0.4071052,0.5305304263931417,1.0,Astrocyte
GSK3A,0.6268201,0.44804052,0.5307771870212468,1.0,Astrocyte
SPRY1,0.62654626,1.0583181,0.5309566858740301,1.0,Astrocyte
MEGF9,0.62647784,0.32091972,0.5310015653989772,1.0,Astrocyte
PFKFB4,0.6258618,0.463139,0.5314055677081982,1.0,Astrocyte
TSC22D4,0.6253314,0.18648069,0.5317535834228719,1.0,Astrocyte
UNC45A,0.6251432,0.28687453,0.5318771006263352,1.0,Astrocyte
TRMT10C,0.62507474,0.43526748,0.5319220195768453,1.0,Astrocyte
TRPV4,0.6245785,0.89101434,0.5322477394345303,1.0,Astrocyte
PPP1R37,0.6244245,0.33435312,0.5323488454394185,1.0,Astrocyte
CNTRL,0.6242876,0.43875748,0.5324387256063696,1.0,Astrocyte
BC024978,0.62397957,0.6738341,0.5326409840654982,1.0,Astrocyte
FAM71A,0.62356895,1.758132,0.5329107224816416,1.0,Astrocyte
POR,0.6235347,0.23266117,0.5329332038017376,1.0,Astrocyte
FAM46A,0.62341493,0.59999335,0.5330118921998628,1.0,Astrocyte
GRAMD1A,0.6232609,0.25805816,0.5331130716315304,1.0,Astrocyte
LEPROTL1,0.6230556,0.23558395,0.5332479926476903,1.0,Astrocyte
RREB1,0.6225936,0.40112582,0.533551628043889,1.0,Astrocyte
5730455P16RIK,0.6225765,0.30505884,0.533562875477062,1.0,Astrocyte
HPX,0.62206316,1.5147951,0.5339003541796606,1.0,Astrocyte
GSK3B,0.6217722,0.14792313,0.5340916399586827,1.0,Astrocyte
DHX29,0.6217209,0.6069021,0.5341253998646756,1.0,Astrocyte
TRAF5,0.6216183,0.9582586,0.5341929229090311,1.0,Astrocyte
AU020206,0.6209509,0.50811267,0.5346319277209731,1.0,Astrocyte
CD36,0.62084824,1.2824577,0.5346994830756476,1.0,Astrocyte
PPM1H,0.62036914,0.45290923,0.5350147983277096,1.0,Astrocyte
MPHOSPH8,0.62026644,0.11795898,0.5350823780783045,1.0,Astrocyte
DRG1,0.6196162,0.085199684,0.5355104830888333,1.0,Astrocyte
PRR14,0.6191884,0.27541903,0.5357922252117187,1.0,Astrocyte
CD109,0.6191884,0.91166586,0.5357922252117187,1.0,Astrocyte
DHRS7B,0.6174773,0.118061654,0.5369199397553492,1.0,Astrocyte
MAN1A2,0.6173062,0.18184645,0.5370327768118279,1.0,Astrocyte
CSF2RB2,0.61723775,1.371419,0.5370779149719904,1.0,Astrocyte
ANAPC2,0.61722064,0.21533032,0.5370891998100027,1.0,Astrocyte
MAPK7,0.61675864,0.36432567,0.537393935481435,1.0,Astrocyte
EPHA2,0.61662173,2.348509,0.5374842442121597,1.0,Astrocyte
APOLD1,0.6163993,0.67534244,0.5376310121580465,1.0,Astrocyte
UBR5,0.6160229,0.10777251,0.5378794345277373,1.0,Astrocyte
WDFY1,0.6159031,0.38233426,0.5379584900927303,1.0,Astrocyte
KANSL2,0.615886,0.13850103,0.5379697842209961,1.0,Astrocyte
CDK5R1,0.61573195,0.7569051,0.5380714367312596,1.0,Astrocyte
EIF4B,0.6156464,0.24199593,0.5381279145133907,1.0,Astrocyte
ADCK4,0.61525285,0.14845566,0.5383877506239652,1.0,Astrocyte
ACVR1B,0.6144828,0.78788555,0.5388963075915325,1.0,Astrocyte
CDT1,0.6138497,1.5239971,0.5393146347447264,1.0,Astrocyte
GINS1,0.6134048,1.4616321,0.5396086916528446,1.0,Astrocyte
ZMPSTE24,0.6117964,0.24792916,0.5406724898261854,1.0,Astrocyte
ABT1,0.61172795,0.30389577,0.5407177810779534,1.0,Astrocyte
IL11RA1,0.61159104,0.06788834,0.5408083692704779,1.0,Astrocyte
UBAP2,0.6115226,0.48581523,0.5408536662109693,1.0,Astrocyte
MRPL44,0.6115226,0.23431346,0.5408536662109693,1.0,Astrocyte
2010111I01RIK,0.61148834,0.2517656,0.540876315392214,1.0,Astrocyte
DAZAP2,0.61068416,0.13378024,0.5414087075617945,1.0,Astrocyte
FHOD1,0.6103419,0.8186109,0.5416353367594777,1.0,Astrocyte
GJB1,0.61011946,1.6631548,0.5417826711261657,1.0,Astrocyte
TRIM62,0.6099141,0.7814531,0.5419186898293273,1.0,Astrocyte
DIS3,0.6098457,1.5649121,0.5419640331829199,1.0,Astrocyte
ZFP740,0.6098286,0.2851372,0.5419753693170596,1.0,Astrocyte
F10,0.6092297,3.2267222,0.542372208521349,1.0,Astrocyte
GZMA,0.60916126,3.1386294,0.5424175707960706,1.0,Astrocyte
CCDC126,0.60916126,0.43388978,0.5424175707960706,1.0,Astrocyte
SPPL3,0.60796344,0.26515144,0.5432117166514675,1.0,Astrocyte
