dataset,species,acsl4_high_isp_mean,acsl4_low_isp_mean,acsl4_fold_change,acsl4_isp_pvalue,acsl4_isp_mw_pvalue,n_high_isp,n_low_isp
GSE16561,Human,0.592918215375,0.1367425320625,0.4561756833125,0.0018475940441979022,0.0018750851285173021,16,16
GSE37587,Human,1996.735294117647,1595.6999999999998,401.03529411764725,0.05405431918934823,0.058153503294675106,17,17
GSE61616,Rat,13.15945,13.603900000000001,-0.44445000000000157,0.009423370000517343,0.02857142857142857,4,4
GSE97537,Rat,10.96157559,10.742369283333334,0.21920630666666696,0.05419874428012885,0.1,3,3
GSE104036,Mouse,6.835818136510801,7.00438268494298,-0.1685645484321796,0.1987093650509559,0.31759906759906764,7,7
