epoch,loss
1,304.8876647949219
2,269.4602355957031
3,296.17108154296875
4,258.3222961425781
5,245.88674926757812
6,254.4448699951172
7,244.06927490234375
8,219.50413513183594
9,230.08009338378906
10,232.08651733398438
11,193.65867614746094
12,179.66615295410156
13,193.38287353515625
14,175.10450744628906
15,146.79718017578125
16,157.79266357421875
17,149.53427124023438
18,132.78762817382812
19,142.88438415527344
20,129.4329376220703
21,122.73667907714844
22,121.18418884277344
23,113.45042419433594
24,95.0248794555664
25,94.817626953125
26,95.27578735351562
27,77.93665313720703
28,79.17666625976562
29,84.28036499023438
30,81.85858154296875
31,66.4581298828125
32,60.232322692871094
33,69.21214294433594
34,69.22383117675781
35,57.05303192138672
36,54.07480239868164
37,46.860130310058594
38,45.87669372558594
39,40.79781723022461
40,43.966922760009766
41,44.65027618408203
42,34.257198333740234
43,35.64563751220703
44,29.93735694885254
45,28.026302337646484
46,27.98366928100586
47,24.023569107055664
48,25.18259620666504
49,17.01496124267578
50,17.94931411743164
51,13.623653411865234
52,15.031425476074219
53,19.13113784790039
54,15.315000534057617
55,13.345879554748535
56,16.298017501831055
57,16.71259307861328
58,10.956974029541016
59,10.857121467590332
60,11.681109428405762
61,12.601913452148438
62,11.288034439086914
63,12.81005859375
64,10.339189529418945
65,9.28524112701416
66,8.668699264526367
67,7.948284149169922
68,8.45518970489502
69,9.207706451416016
70,10.078372955322266
71,8.712333679199219
72,8.99197006225586
73,6.510496139526367
74,6.000943183898926
75,9.772575378417969
76,6.9879608154296875
77,6.532978057861328
78,5.53598690032959
79,4.927557945251465
80,5.660611152648926
81,6.619935989379883
82,5.522439479827881
83,3.9898223876953125
84,5.6030988693237305
85,5.351428508758545
86,4.605855464935303
87,5.5737457275390625
88,4.41884183883667
89,5.08512020111084
90,5.798145294189453
91,4.170211315155029
92,4.185069561004639
93,3.9511196613311768
94,4.579741954803467
95,3.6408681869506836
96,3.5960941314697266
97,4.202421188354492
98,3.9027090072631836
99,3.518275737762451
100,3.9332613945007324
101,3.2760539054870605
102,3.617673635482788
103,3.176337718963623
104,3.6068925857543945
105,3.322938919067383
106,3.095726490020752
107,3.370016574859619
108,3.0315511226654053
109,3.49715256690979
110,2.970332145690918
111,3.3718252182006836
112,3.3111801147460938
113,3.185046672821045
114,2.4471435546875
115,3.0436058044433594
116,3.448413610458374
117,3.236391305923462
118,2.5796613693237305
119,2.838168144226074
120,2.601353406906128
121,2.6864285469055176
122,2.804304361343384
123,2.603327989578247
124,2.8193390369415283
125,2.7894039154052734
126,2.5696165561676025
127,2.266378164291382
128,2.664013624191284
129,2.1656501293182373
130,2.344398260116577
131,2.755539894104004
132,2.603118896484375
133,2.5253806114196777
134,2.165313482284546
135,2.1398749351501465
136,2.197439193725586
137,2.1143016815185547
138,2.4605014324188232
139,1.971774697303772
140,1.993851900100708
141,1.8720442056655884
142,2.0475895404815674
143,2.0234625339508057
144,1.8834060430526733
145,1.74502432346344
146,2.2393903732299805
147,2.2070581912994385
148,2.159580707550049
149,1.9383183717727661
150,1.8438127040863037
151,1.6625638008117676
152,1.8260064125061035
153,1.9670199155807495
154,1.540140151977539
155,1.8567947149276733
156,1.7940342426300049
157,1.5293525457382202
158,1.7393192052841187
159,2.0473341941833496
160,1.8615546226501465
161,1.6133869886398315
162,1.8296358585357666
163,1.8068970441818237
164,1.8569300174713135
165,1.5756433010101318
166,1.860109567642212
167,1.8062655925750732
168,1.7657504081726074
169,1.5401850938796997
170,1.7366621494293213
171,1.690751314163208
172,1.6045588254928589
173,1.6644539833068848
174,1.752131700515747
175,1.4685797691345215
176,1.9001970291137695
177,1.6051766872406006
178,1.6684032678604126
179,1.6251088380813599
180,1.4923397302627563
181,1.6660521030426025
182,1.580718994140625
183,1.5847923755645752
184,1.5799579620361328
185,1.5125020742416382
186,1.3994184732437134
187,1.5137900114059448
188,1.363309383392334
189,1.5448625087738037
190,1.2786743640899658
191,1.412063717842102
192,1.5240118503570557
193,1.3819127082824707
194,1.2654047012329102
195,1.4118623733520508
196,1.3624404668807983
197,1.282528281211853
198,1.343101978302002
199,1.3126637935638428
200,1.2772730588912964
