compound,similarity_to_ACSL4
Lip-1,0.16264045101123698
DFO,0.15963680114897605
BCP,0.15244215343855783
ML162,0.15236814989202846
Erastin,0.14023792635422044
RSL3,0.1260929138340901
Fer-1,0.12071225846160553
VC,0.11436408071708054
