,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
ANXA1-FPR1,-0.042457163,-0.022690736,-0.1527115,-0.22579624,-0.19100004,-0.09590423,0.29253837,-0.27867895,-0.03393405,-0.095888,0.045019917,0.2549816,0.13444781,0.1328559,-0.10209897,-0.15907197,-0.14252226,-0.21662802,-0.2560832,-0.26324394,0.06587298,0.039044805,-0.17085312,-0.10113744,0.10860599,-0.096162595,0.24362007,0.20402595,-0.020149034,-0.21825098,-0.2645466,-0.02493776
LGALS3-ITGB1,-0.041770205,-0.022194702,-0.14964683,-0.22487862,-0.19078913,-0.09615199,0.2923247,-0.27719316,-0.03352601,-0.09402391,0.04493987,0.25538695,0.13384402,0.13465762,-0.10083635,-0.15939023,-0.1424997,-0.21656421,-0.25699672,-0.2625177,0.06723158,0.041886985,-0.17093024,-0.10115953,0.1112213,-0.09588575,0.2437186,0.2022596,-0.02105553,-0.21839048,-0.26607037,-0.025294693
HMGB1-AGER,-0.042068396,-0.020368163,-0.14990726,-0.22601527,-0.1877873,-0.093547255,0.30038947,-0.2716308,-0.03702116,-0.09239982,0.0421746,0.2517774,0.1455669,0.14493597,-0.10215333,-0.15588681,-0.13733356,-0.22439378,-0.2578234,-0.262205,0.06726165,0.037581727,-0.17392546,-0.0989636,0.112137586,-0.08823869,0.23660892,0.20352577,-0.024040457,-0.22422975,-0.25943914,-0.026719173
CD74-MIF,-0.037882805,-0.018724475,-0.15145558,-0.22153834,-0.19299781,-0.09637733,0.29701045,-0.2727326,-0.031762183,-0.09033756,0.050185136,0.25198215,0.13688877,0.14098033,-0.09916588,-0.15823114,-0.13841176,-0.22166178,-0.25770405,-0.2582017,0.071167514,0.048322618,-0.16997083,-0.09885408,0.114336304,-0.09560238,0.23785642,0.20090646,-0.021013822,-0.21853904,-0.25843784,-0.024099704
APP-CD74,-0.048486747,-0.031738754,-0.14968237,-0.23463236,-0.17759523,-0.10858245,0.28864378,-0.2791981,-0.045070507,-0.09598473,0.050814755,0.245781,0.13142715,0.11536503,-0.09274569,-0.16503447,-0.14199024,-0.22056778,-0.265441,-0.2725548,0.067349836,0.05019089,-0.17303838,-0.09776637,0.100284606,-0.11350119,0.24842471,0.21286692,-0.030853484,-0.21850906,-0.2603688,-0.029209102
TFRC-HFE,-0.042437114,-0.017740332,-0.14723338,-0.22695044,-0.1884054,-0.09410295,0.29837883,-0.27048367,-0.036391072,-0.093523964,0.042367876,0.2510377,0.14261287,0.14118041,-0.098800056,-0.15571834,-0.13607822,-0.22258936,-0.25836775,-0.26073056,0.0665945,0.04044237,-0.17431866,-0.09915793,0.11326508,-0.09169011,0.23828295,0.20343854,-0.0228731,-0.22297569,-0.25762382,-0.025815172
HMOX1-CO,-0.04011556,-0.019309472,-0.1469414,-0.22547512,-0.18661037,-0.09303829,0.29913104,-0.26917937,-0.038512804,-0.090262204,0.04317475,0.25223315,0.144279,0.14480615,-0.09771783,-0.15692991,-0.1355734,-0.22521573,-0.2593007,-0.2612478,0.06879881,0.044051558,-0.17416063,-0.09891728,0.11687912,-0.090799235,0.23638754,0.20359391,-0.025837254,-0.22547075,-0.25794098,-0.025249064
ACSL4-PUFA,-0.042407114,-0.019838516,-0.1444155,-0.2280126,-0.18282872,-0.091466665,0.29920068,-0.26790765,-0.042829655,-0.090262696,0.038612954,0.2517395,0.14813328,0.14551166,-0.097556375,-0.15653357,-0.1347578,-0.22675142,-0.2603595,-0.26323867,0.06645797,0.04089974,-0.17727144,-0.09884684,0.11679545,-0.08879172,0.23599286,0.20509557,-0.028579306,-0.22915065,-0.25778136,-0.026088225
PTGS2-PTGER2,-0.042778015,-0.017462436,-0.14584966,-0.22637479,-0.18746601,-0.09436634,0.29845798,-0.27013388,-0.037417263,-0.09105014,0.04222863,0.2508092,0.14369375,0.14263654,-0.099563375,-0.156218,-0.13729247,-0.22485298,-0.25905108,-0.26156753,0.06759338,0.043229677,-0.17503172,-0.0994974,0.11427434,-0.09188926,0.23684998,0.2024584,-0.024529364,-0.22527714,-0.25747257,-0.02539797
GPX4-GSH,-0.041244254,-0.015961524,-0.14575204,-0.22464275,-0.19234917,-0.096076965,0.29729772,-0.2715397,-0.03143192,-0.093251854,0.045019902,0.2521342,0.13799232,0.1404989,-0.09835683,-0.15549363,-0.13821876,-0.21960855,-0.25771907,-0.25828165,0.06905043,0.043967128,-0.17221132,-0.10003698,0.11421196,-0.09391066,0.23959388,0.20005983,-0.019943338,-0.21966295,-0.25999248,-0.02500663
HIF1A-VEGFA,-0.041781716,-0.03015149,-0.14821538,-0.22980611,-0.17992835,-0.110910445,0.2993362,-0.27447915,-0.0411326,-0.07917082,0.0588947,0.24382572,0.13600416,0.13283598,-0.096829794,-0.16447428,-0.13823278,-0.22545925,-0.26953244,-0.26662323,0.07412298,0.06666128,-0.17389533,-0.09400877,0.10735196,-0.11659599,0.2388511,0.2122547,-0.038285393,-0.22317961,-0.26132983,-0.024303045
KEAP1-NFE2L2,-0.04963042,-0.026259523,-0.14698511,-0.2322341,-0.17393541,-0.10717006,0.29571307,-0.26945302,-0.046516955,-0.087796345,0.050275303,0.24212053,0.13971865,0.12663297,-0.08965878,-0.16228218,-0.1342132,-0.22750345,-0.269972,-0.2654004,0.066986516,0.05723831,-0.18053259,-0.093622215,0.10933055,-0.10804455,0.24150833,0.2115529,-0.037838127,-0.2214597,-0.2560141,-0.030904232
TP53-CDKN1A,-0.046763316,-0.027981382,-0.148845,-0.2297487,-0.1784215,-0.101821765,0.293534,-0.2729753,-0.045099802,-0.086923964,0.048156522,0.24664989,0.13927948,0.12789837,-0.097244754,-0.16326998,-0.14031544,-0.22855423,-0.2650545,-0.26872197,0.06890701,0.054036543,-0.17815956,-0.09741382,0.107859746,-0.10662805,0.23956971,0.2077654,-0.032855984,-0.22561064,-0.2573229,-0.026873954
CDKN1A-CDK2,-0.04563389,-0.023950417,-0.14842775,-0.22814849,-0.18485747,-0.11304177,0.29599813,-0.27579826,-0.034078315,-0.08733076,0.05884806,0.24355036,0.1299593,0.12585798,-0.09481695,-0.16194987,-0.14016187,-0.22014508,-0.26665205,-0.26248085,0.071697816,0.06221067,-0.17271492,-0.09589392,0.1057806,-0.11483462,0.24334592,0.20715497,-0.030247536,-0.21439885,-0.26096284,-0.02719447
IL1B-NLRP3,-0.04160712,-0.02318361,-0.15002432,-0.22591615,-0.18556188,-0.09959859,0.29925424,-0.27271628,-0.037220158,-0.09026211,0.048896305,0.25059167,0.14070739,0.13866325,-0.09770692,-0.15807231,-0.13842897,-0.22464614,-0.26089472,-0.26293606,0.07066862,0.048081756,-0.17330326,-0.09841499,0.11201544,-0.09808136,0.2376838,0.20527971,-0.027115304,-0.22244932,-0.25961745,-0.026013358
NLRP3-CASP1,-0.044747967,-0.022589244,-0.14869085,-0.2276871,-0.1873005,-0.09665173,0.29280642,-0.27806896,-0.038027763,-0.09382834,0.04200875,0.25187865,0.13965325,0.1355497,-0.10315725,-0.15989703,-0.1430363,-0.22049794,-0.25790274,-0.26608637,0.065985546,0.038192153,-0.1732842,-0.10117991,0.10716754,-0.09568482,0.24229491,0.20412563,-0.023915987,-0.22283952,-0.26244855,-0.025174957
