,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
CIRI,0.013730244,-0.08122739,-0.049531937,-0.075419396,-0.06597799,-0.09274559,-0.025335995,0.024741882,0.06913425,0.14528674,-0.09056322,0.0076861237,-0.029355764,0.14862598,0.03957783,0.009084894
AD,0.030768994,-0.09379506,-0.045251466,-0.06496314,-0.049115118,-0.08117585,-0.007746444,0.022217773,0.074103616,0.1259689,-0.075559795,-0.0059617655,-0.019551449,0.1595264,0.062316153,0.016681597
Aging,0.03734098,-0.09994751,-0.044010088,-0.06251872,-0.066465795,-0.089277625,-0.027893784,0.021426203,0.08479305,0.13106605,-0.086482376,0.023287881,-0.03450098,0.16746649,0.05732686,0.025351193
