,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
BCP,-0.070852116,0.3085165,-0.029725768,-0.2878458,-0.15294059,-0.33443552,0.099436104,-0.06508009,0.17493986,-0.12890975,-0.26349708,0.45202625,0.04198,-0.19694889,-0.29311806,-0.24708143
VC,-0.03424856,0.30468464,-0.0032749772,-0.24682276,-0.1368574,-0.3124313,0.104234904,-0.111399874,0.22975929,-0.17429912,-0.19800013,0.43321276,0.009081505,-0.16656378,-0.22954571,-0.22635335
Fer-1,-0.010436334,0.29302087,-0.009318158,-0.22906825,-0.1531626,-0.3106448,0.08848743,-0.13529383,0.26362422,-0.1840379,-0.15934585,0.4195361,0.028010331,-0.15892693,-0.22785887,-0.2513917
DFO,0.030954689,0.38400802,0.020551391,-0.2841745,-0.13749574,-0.41511118,0.016368426,-0.0694156,0.13975058,-0.053430352,-0.31491584,0.60170674,0.003651172,-0.2693488,-0.34176582,-0.21216598
Lip-1,-0.060329594,0.31512848,0.002489768,-0.27114916,-0.11457372,-0.36281508,0.08768535,-0.04285048,0.18575343,-0.08678464,-0.29156044,0.46804893,0.03203264,-0.27099788,-0.27666476,-0.1800854
Erastin,-0.0732209,0.2913413,-0.01516217,-0.25487393,-0.12781197,-0.32918504,0.108201265,-0.06954141,0.22377247,-0.13446309,-0.23121272,0.4081723,0.033020407,-0.22041619,-0.23727968,-0.20961575
RSL3,-0.032261804,0.34353092,0.0036934838,-0.26517308,-0.1838044,-0.37671497,0.06872748,-0.09247927,0.21891461,-0.15641731,-0.21758962,0.50533885,0.015513219,-0.1991598,-0.3031973,-0.2564599
ML162,-0.0947761,0.3380211,-0.00290367,-0.29386213,-0.12766726,-0.36313933,0.0983564,-0.011689838,0.13982764,-0.088466235,-0.33112958,0.5019806,0.020639502,-0.2496042,-0.31824684,-0.20546788
