,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Neuron,-9.014782,-2.2458057,-7.298426,5.0250716,-0.013359167,1.3350006,-7.33511,0.6855308,5.367085,-2.5346925,2.7081356,0.75323963,-1.4341509,4.9624295,2.3670769,3.707884,-2.9357285,2.8785713,3.072808,-7.336267,1.2196535,-9.649998,1.9314502,0.23223236,7.682862,-5.9989505,3.3052824,3.7532368,-0.930696,4.3891172,-1.745146,5.694603
Microglia,-10.845111,-2.5272877,-8.648333,6.05097,0.12922364,1.6198561,-8.933018,0.8329755,6.413327,-2.8978612,3.294798,0.8863179,-1.6270549,6.0535383,2.6729686,4.4229794,-3.5958972,3.520365,3.7042294,-8.698539,1.2841408,-11.644741,2.2742708,0.14166602,9.298789,-7.1424437,3.9750001,4.506008,-1.1170961,5.180027,-2.0933137,6.8324456
Astrocyte,-10.845111,-2.5272877,-8.648333,6.0509706,0.12922436,1.6198561,-8.933019,0.8329755,6.413327,-2.8978612,3.294798,0.88631755,-1.6270549,6.0535383,2.6729686,4.4229794,-3.5958972,3.5203652,3.7042294,-8.698539,1.2841418,-11.644741,2.2742703,0.14166601,9.29879,-7.1424437,3.9750001,4.506008,-1.1170961,5.180026,-2.0933137,6.8324456
Oligodendrocyte,-10.845111,-2.5272872,-8.648333,6.05097,0.12922412,1.6198561,-8.933019,0.8329755,6.413327,-2.8978612,3.294798,0.88631755,-1.6270549,6.0535383,2.6729686,4.4229794,-3.5958972,3.5203652,3.7042294,-8.698539,1.2841413,-11.64474,2.2742705,0.14166602,9.29879,-7.1424437,3.9750001,4.506008,-1.1170958,5.180026,-2.0933142,6.8324456
Endothelial,-7.8475156,-1.946192,-6.4179235,4.4381347,-0.09098024,1.1086411,-6.3208566,0.5407858,4.7401423,-2.3519685,2.4576206,0.65581644,-1.2282087,4.256832,2.066738,3.2504652,-2.4769428,2.4712243,2.6693099,-6.418567,1.1785414,-8.427647,1.7372532,0.2789896,6.749191,-5.2773705,2.872127,3.249966,-0.837646,3.8614047,-1.5574961,4.9742026
Pericyte,-9.014782,-2.2458057,-7.298426,5.0250716,-0.013359167,1.3350009,-7.335111,0.68553054,5.367085,-2.534693,2.7081356,0.7532399,-1.4341512,4.96243,2.3670774,3.707884,-2.935729,2.8785713,3.072808,-7.3362675,1.2196532,-9.649998,1.9314504,0.23223212,7.682862,-5.9989505,3.3052824,3.7532368,-0.9306958,4.3891177,-1.745146,5.694604
