gene,embedding_norm,degree,bio_prior,hub_score,rank
MCU,0.71973497,2,0.5,0.29813493904194177,260
PTBP1,0.71967083,2,0.5,0.2981298391195232,261
LGMN,0.7195374,2,0.5,0.29811922949275316,262
KLF6,0.719445,2,0.5,0.2981118832202846,263
CAVIN1,0.7194423,2,0.5,0.2981116708787376,264
GMFB,0.71942246,2,0.5,0.29811009135565103,265
LOX,0.7193818,2,0.5,0.29810686152896226,266
LCN2,0.71902627,2,0.5,0.29807859030088724,267
SNCA,0.7188632,2,0.5,0.2980656262906486,268
PDE4B,0.7182575,2,0.5,0.29801746946296037,269
LPCAT3,0.7206745,1,0.5,0.28311030752391647,270
NR1D1,0.7205016,1,0.5,0.28309656492800545,271
KDM6B,0.72005236,1,0.5,0.2830608431193335,272
DPEP1,0.7198461,1,0.5,0.28304444439143966,273
ERN1,0.7198093,1,0.5,0.28304152003855537,274
TNFAIP1,0.71980274,1,0.5,0.2830410022232039,275
DUOX1,0.71974564,1,0.5,0.28303645736903976,276
SMURF2,0.71957564,1,0.5,0.28302294201583694,277
NOX4,0.7194454,1,0.5,0.2830125857088072,278
EPHA2,0.71941924,1,0.5,0.2830105069968207,279
SMARCB1,0.71926796,1,0.5,0.28299847803444694,280
SOCS1,0.71922106,1,0.5,0.2829947527441485,281
HERPUD1,0.71887654,1,0.5,0.2829673606845839,282
H2AX,0.9312488,1,0.3,0.21985219798416922,283
MRE11,0.7209004,2,0.3,0.21822759446224507,284
MMP1,0.7208479,2,0.3,0.2182234221371108,285
