compound,cid,MW,LogP,HBD,HBA,TPSA,RotB,SMILES,IUPACName,MolecularFormula,source,molecular_weight,xlogp,hbd,hba,tpsa,rotbonds
Resveratrol,445154,228.24,3.1,3,3,60.7,2,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol",C14H12O3,Polygonum cuspidatum (Huzhang),228.24,3.1,3,3,60.7,2
Curcumin,969516,368.4,3.2,2,6,93.1,8,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",C21H20O6,Curcuma longa (Jianghuang),368.4,3.2,2,6,93.1,8
Ferulic acid,445858,194.18,1.5,2,4,66.8,3,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid,C10H10O4,Angelica sinensis / Cinnamomum,194.18,1.5,2,4,66.8,3
Pinocembrin,68071,256.25,2.7,2,4,66.8,1,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,"(2S)-5,7-dihydroxy-2-phenyl-2,3-dihydrochromen-4-one",C15H12O4,Pinus / Propolis,256.25,2.7,2,4,66.8,1
Chrysin,5281607,254.24,2.1,2,4,66.8,1,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,"5,7-dihydroxy-2-phenylchromen-4-one",C15H10O4,Passiflora / Oroxylum,254.24,2.1,2,4,66.8,1
Apigenin,5280443,270.24,1.7,3,5,87.0,1,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,"5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",C15H10O5,Apium / Artemisia,270.24,1.7,3,5,87.0,1
Genistein,5280961,270.24,2.7,3,5,87.0,1,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,"5,7-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one",C15H10O5,Glycine max / Pueraria,270.24,2.7,3,5,87.0,1
Daidzein,5281708,254.24,2.5,2,4,66.8,1,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one,C15H10O4,Glycine max / Pueraria,254.24,2.5,2,4,66.8,1
Formononetin,5280378,268.26,2.8,1,4,55.8,2,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,7-hydroxy-3-(4-methoxyphenyl)chromen-4-one,C16H12O4,Astragalus / Trifolium,268.26,2.8,1,4,55.8,2
Oroxylin A,5320315,284.26,2.1,2,5,76.0,2,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O,"5,7-dihydroxy-6-methoxy-2-phenylchromen-4-one",C16H12O5,Scutellaria baicalensis,284.26,2.1,2,5,76.0,2
Scutellarein,5281697,286.24,1.4,4,6,107.0,1,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,"5,6,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",C15H10O6,Scutellaria baicalensis,286.24,1.4,4,6,107.0,1
Tangeretin,68077,372.4,3.0,0,7,72.5,6,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,"5,6,7,8-tetramethoxy-2-(4-methoxyphenyl)chromen-4-one",C20H20O7,Citrus reticulata (Chenpi),372.4,3.0,0,7,72.5,6
Nobiletin,72344,402.4,3.0,0,8,81.7,7,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,"2-(3,4-dimethoxyphenyl)-5,6,7,8-tetramethoxychromen-4-one",C21H22O8,Citrus reticulata (Chenpi),402.4,3.0,0,8,81.7,7
Fisetin,5281614,286.24,2.0,4,6,107.0,1,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,"2-(3,4-dihydroxyphenyl)-3,7-dihydroxychromen-4-one",C15H10O6,Rhus / Cotinus,286.24,2.0,4,6,107.0,1
Galangin,5281616,270.24,2.3,3,5,87.0,1,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,"3,5,7-trihydroxy-2-phenylchromen-4-one",C15H10O5,Alpinia officinarum (Gaoliangjiang),270.24,2.3,3,5,87.0,1
Phloretin,4788,274.27,2.6,4,5,98.0,4,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",C15H14O5,Malus pumila (Pingguo),274.27,2.6,4,5,98.0,4
Catechin,9064,290.27,0.4,5,6,110.0,1,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C15H14O6,Camellia sinensis (Cha),290.27,0.4,5,6,110.0,1
