compound,gene,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,source,confidence,confidence_level
Quercetin,LACTB,CHEMBL2026,CHEMBL50,IC50,4000.0,nM,5.4,ChEMBL,0.6,low
Quercetin,MPO,CHEMBL2439,CHEMBL50,IC50,1270.0,nM,5.9,ChEMBL,0.6,low
Quercetin,NOX4,CHEMBL1250375,CHEMBL50,IC50,680.0,nM,6.17,ChEMBL,0.8,medium
Quercetin,NUAK2,CHEMBL5784,CHEMBL50,IC50,5090.0,nM,5.29,ChEMBL,0.6,low
Resveratrol,DPP4,CHEMBL284,CHEMBL165,IC50,0.6,nM,9.22,ChEMBL,0.95,high
Resveratrol,HIF1A,CHEMBL4261,CHEMBL165,Potency,10000.0,nM,5.0,ChEMBL,0.6,low
Resveratrol,PTGS2,CHEMBL230,CHEMBL165,IC50,996.0,nM,6.0,ChEMBL,0.8,medium
Scutellarein,SETD7,CHEMBL5523,CHEMBL55415,IC50,1960.0,nM,5.71,ChEMBL,0.6,low
Sulforaphane,KEAP1,CHEMBL3038498,CHEMBL48802,EC50,870.0,nM,6.06,ChEMBL,0.8,medium
Sulforaphane,PTGS2,CHEMBL230,CHEMBL48802,IC50,6354.0,nM,5.2,ChEMBL,0.6,low
Tanshinone IIA,HIF1A,CHEMBL2221345,CHEMBL187266,IC50,7530.0,nM,5.12,ChEMBL,0.6,low
Tanshinone IIA,MAPK1,CHEMBL4040,CHEMBL187266,Potency,10000.0,nM,5.0,ChEMBL,0.6,low
Tanshinone IIA,NLRP3,CHEMBL3779755,CHEMBL187266,IC50,5150.0,nM,5.29,ChEMBL,0.6,low
Wogonin,PTGS2,CHEMBL4321,CHEMBL16171,IC50,1070.0,nM,5.97,ChEMBL,0.6,low
