ligand,receptor,pathway,source
HBEGF,ERBB2_ERBB4,EGF,CellChatDB
EREG,EGFR,EGF,CellChatDB
EREG,EGFR_ERBB2,EGF,CellChatDB
EREG,ERBB4,EGF,CellChatDB
EREG,ERBB2_ERBB4,EGF,CellChatDB
NRG1,ERBB3,NRG,CellChatDB
NRG1,ERBB2_ERBB3,NRG,CellChatDB
NRG1,ERBB4,NRG,CellChatDB
NRG1,ERBB2_ERBB4,NRG,CellChatDB
NRG2,ERBB3,NRG,CellChatDB
NRG2,ERBB2_ERBB3,NRG,CellChatDB
NRG2,ERBB4,NRG,CellChatDB
NRG2,ERBB2_ERBB4,NRG,CellChatDB
NRG3,ERBB4,NRG,CellChatDB
NRG3,ERBB2_ERBB4,NRG,CellChatDB
NRG4,ERBB4,NRG,CellChatDB
NRG4,ERBB2_ERBB4,NRG,CellChatDB
NRG1,ITGAV_ITGB3,NRG,CellChatDB
FGF1,FGFR1,FGF,CellChatDB
FGF1,FGFR2,FGF,CellChatDB
FGF1,FGFR3,FGF,CellChatDB
FGF1,FGFR4,FGF,CellChatDB
FGF2,FGFR1,FGF,CellChatDB
FGF2,FGFR2,FGF,CellChatDB
FGF2,FGFR3,FGF,CellChatDB
FGF2,FGFR4,FGF,CellChatDB
FGF4,FGFR1,FGF,CellChatDB
FGF4,FGFR2,FGF,CellChatDB
FGF4,FGFR3,FGF,CellChatDB
FGF4,FGFR4,FGF,CellChatDB
FGF5,FGFR1,FGF,CellChatDB
FGF5,FGFR2,FGF,CellChatDB
FGF5,FGFR3,FGF,CellChatDB
FGF5,FGFR4,FGF,CellChatDB
FGF6,FGFR1,FGF,CellChatDB
FGF6,FGFR2,FGF,CellChatDB
FGF6,FGFR3,FGF,CellChatDB
FGF6,FGFR4,FGF,CellChatDB
FGF7,FGFR1,FGF,CellChatDB
FGF7,FGFR2,FGF,CellChatDB
FGF3,FGFR1,FGF,CellChatDB
FGF3,FGFR2,FGF,CellChatDB
FGF10,FGFR1,FGF,CellChatDB
FGF10,FGFR2,FGF,CellChatDB
FGF22,FGFR2,FGF,CellChatDB
FGF8,FGFR1,FGF,CellChatDB
FGF8,FGFR2,FGF,CellChatDB
FGF8,FGFR3,FGF,CellChatDB
FGF8,FGFR4,FGF,CellChatDB
FGF17,FGFR1,FGF,CellChatDB
FGF17,FGFR2,FGF,CellChatDB
FGF17,FGFR3,FGF,CellChatDB
FGF17,FGFR4,FGF,CellChatDB
FGF18,FGFR1,FGF,CellChatDB
FGF18,FGFR2,FGF,CellChatDB
FGF18,FGFR3,FGF,CellChatDB
FGF18,FGFR4,FGF,CellChatDB
FGF9,FGFR1,FGF,CellChatDB
FGF9,FGFR2,FGF,CellChatDB
FGF9,FGFR3,FGF,CellChatDB
FGF9,FGFR4,FGF,CellChatDB
FGF20,FGFR1,FGF,CellChatDB
FGF20,FGFR2,FGF,CellChatDB
FGF20,FGFR3,FGF,CellChatDB
FGF20,FGFR4,FGF,CellChatDB
FGF16,FGFR1,FGF,CellChatDB
FGF16,FGFR2,FGF,CellChatDB
FGF16,FGFR3,FGF,CellChatDB
FGF16,FGFR4,FGF,CellChatDB
FGF15,FGFR1,FGF,CellChatDB
FGF15,FGFR2,FGF,CellChatDB
FGF15,FGFR3,FGF,CellChatDB
FGF15,FGFR4,FGF,CellChatDB
FGF21,FGFR1,FGF,CellChatDB
FGF21,FGFR3,FGF,CellChatDB
FGF23,FGFR1,FGF,CellChatDB
FGF23,FGFR3,FGF,CellChatDB
FGF23,FGFR4,FGF,CellChatDB
PDGFA,PDGFRA,PDGF,CellChatDB
PDGFA,PDGFRB,PDGF,CellChatDB
PDGFB,PDGFRA,PDGF,CellChatDB
PDGFB,PDGFRB,PDGF,CellChatDB
PDGFC,PDGFRA,PDGF,CellChatDB
PDGFD,PDGFRB,PDGF,CellChatDB
VEGFA,FLT1,VEGF,CellChatDB
VEGFA,KDR,VEGF,CellChatDB
VEGFB,FLT1,VEGF,CellChatDB
VEGFC,FLT4,VEGF,CellChatDB
VEGFC,KDR,VEGF,CellChatDB
VEGFD,FLT4,VEGF,CellChatDB
VEGFD,KDR,VEGF,CellChatDB
PGF,FLT1,VEGF,CellChatDB
VEGFA,FLT1_KDR,VEGF,CellChatDB
VEGFC,FLT4_KDR,VEGF,CellChatDB
VEGFD,FLT4_KDR,VEGF,CellChatDB
IGF1,IGF1R,IGF,CellChatDB
IGF2,IGF1R,IGF,CellChatDB
IGF2,IGF2R,IGF,CellChatDB
IGF1,ITGAV_ITGB3,IGF,CellChatDB
IGF1,ITGA6_ITGB4,IGF,CellChatDB
IGF2,ITGAV_ITGB3,IGF,CellChatDB
IGF2,ITGA6_ITGB4,IGF,CellChatDB
IGFL3,IGFLR1,IGF,CellChatDB
INS1,INSR,INSULIN,CellChatDB
INS2,INSR,INSULIN,CellChatDB
APLN,APLNR,APELIN,CellChatDB
DHH,PTCH1_SMO,HH,CellChatDB
IHH,PTCH1_SMO,HH,CellChatDB
SHH,PTCH1_SMO,HH,CellChatDB
DHH,PTCH2_SMO,HH,CellChatDB
IHH,PTCH2_SMO,HH,CellChatDB
SHH,PTCH2_SMO,HH,CellChatDB
CCL5,CCR1,CCL,CellChatDB
CCL3,CCR1,CCL,CellChatDB
CCL8,CCR1,CCL,CellChatDB
CCL9,CCR1,CCL,CellChatDB
CCL6,CCR1,CCL,CellChatDB
CCL7,CCR1,CCL,CellChatDB
CCL5,CCR1L1,CCL,CellChatDB
CCL3,CCR1L1,CCL,CellChatDB
CCL8,CCR1L1,CCL,CellChatDB
CCL9,CCR1L1,CCL,CellChatDB
CCL6,CCR1L1,CCL,CellChatDB
CCL7,CCR1L1,CCL,CellChatDB
CCL8,CCR2,CCL,CellChatDB
CCL6,CCR2,CCL,CellChatDB
CCL7,CCR2,CCL,CellChatDB
CCL2,CCR2,CCL,CellChatDB
CCL12,CCR2,CCL,CellChatDB
CCL27A,CCR2,CCL,CellChatDB
CCL27B,CCR2,CCL,CellChatDB
CCL5,CCR3,CCL,CellChatDB
CCL6,CCR3,CCL,CellChatDB
CCL7,CCR3,CCL,CellChatDB
CCL11,CCR3,CCL,CellChatDB
CCL24,CCR3,CCL,CellChatDB
CCL26,CCR3,CCL,CellChatDB
CCL28,CCR3,CCL,CellChatDB
CCL27A,CCR3,CCL,CellChatDB
CCL27B,CCR3,CCL,CellChatDB
CCL17,CCR4,CCL,CellChatDB
CCL22,CCR4,CCL,CellChatDB
CCL5,CCR4,CCL,CellChatDB
CCL4,CCR5,CCL,CellChatDB
CCL5,CCR5,CCL,CellChatDB
CCL3,CCR5,CCL,CellChatDB
CCL8,CCR5,CCL,CellChatDB
CCL20,CCR6,CCL,CellChatDB
CCL19,CCR7,CCL,CellChatDB
CCL21A,CCR7,CCL,CellChatDB
CCL21B,CCR7,CCL,CellChatDB
CCL21C,CCR7,CCL,CellChatDB
CCL19,ACKR4,CCL,CellChatDB
CCL21A,ACKR4,CCL,CellChatDB
CCL21B,ACKR4,CCL,CellChatDB
CCL21C,ACKR4,CCL,CellChatDB
CCL1,CCR8,CCL,CellChatDB
CCL25,CCR9,CCL,CellChatDB
CCL25,ACKR4,CCL,CellChatDB
CCL28,CCR10,CCL,CellChatDB
CCL27A,CCR10,CCL,CellChatDB
CCL27B,CCR10,CCL,CellChatDB
CCL1,ACKR4,CCL,CellChatDB
CCL8,ACKR4,CCL,CellChatDB
CCL1,ACKR1,CCL,CellChatDB
CCL2,ACKR1,CCL,CellChatDB
CCL2,ACKR2,CCL,CellChatDB
CCL3,ACKR2,CCL,CellChatDB
CCL4,ACKR2,CCL,CellChatDB
CCL5,ACKR1,CCL,CellChatDB
CCL5,ACKR2,CCL,CellChatDB
CCL7,ACKR1,CCL,CellChatDB
CCL8,ACKR1,CCL,CellChatDB
CCL11,ACKR1,CCL,CellChatDB
CCL11,ACKR2,CCL,CellChatDB
CCL22,ACKR2,CCL,CellChatDB
CCL24,ACKR2,CCL,CellChatDB
CCL26,ACKR2,CCL,CellChatDB
CCL17,ACKR1,CCL,CellChatDB
CCL17,ACKR2,CCL,CellChatDB
CXCL1,CXCR1,CXCL,CellChatDB
CXCL5,CXCR1,CXCL,CellChatDB
CXCL2,CXCR1,CXCL,CellChatDB
CXCL3,CXCR1,CXCL,CellChatDB
CXCL1,CXCR2,CXCL,CellChatDB
CXCL5,CXCR2,CXCL,CellChatDB
CXCL2,CXCR2,CXCL,CellChatDB
CXCL3,CXCR2,CXCL,CellChatDB
PPBP,CXCR2,CXCL,CellChatDB
PF4,CXCR3,CXCL,CellChatDB
CXCL9,CXCR3,CXCL,CellChatDB
CXCL10,CXCR3,CXCL,CellChatDB
CXCL11,CXCR3,CXCL,CellChatDB
CXCL13,CXCR3,CXCL,CellChatDB
PF4,CXCR3,CXCL,CellChatDB
CXCL12,CXCR4,CXCL,CellChatDB
CXCL12,ACKR3,CXCL,CellChatDB
CXCL13,CXCR5,CXCL,CellChatDB
CXCL16,CXCR6,CXCL,CellChatDB
CXCL1,ACKR1,CXCL,CellChatDB
CXCL2,ACKR1,CXCL,CellChatDB
CXCL3,ACKR1,CXCL,CellChatDB
CXCL5,ACKR1,CXCL,CellChatDB
CXCL9,ACKR1,CXCL,CellChatDB
CXCL10,ACKR1,CXCL,CellChatDB
CXCL11,ACKR1,CXCL,CellChatDB
CXCL11,ACKR3,CXCL,CellChatDB
CXCL13,ACKR1,CXCL,CellChatDB
MIF,CD74_CXCR4,MIF,CellChatDB
MIF,CD74_CD44,MIF,CellChatDB
MIF,CD74_CXCR2,MIF,CellChatDB
MIF,ACKR3,MIF,CellChatDB
CX3CL1,CX3CR1,CX3C,CellChatDB
XCL1,XCR1,XCR,CellChatDB
IL2,IL2RA_IL2RB,IL2,CellChatDB
IL2,IL2RB_IL2RG,IL2,CellChatDB
IL4,IL4R_IL2RG,IL2,CellChatDB
IL7,IL7R_IL2RG,IL2,CellChatDB
IL9,IL9R_IL2RG,IL2,CellChatDB
IL15,IL15RA_IL2RB,IL2,CellChatDB
IL21,IL21R_IL2RG,IL2,CellChatDB
TSLP,IL7R_CRLF2,IL2,CellChatDB
IL3,IL3RA_CSF2RB,IL4,CellChatDB
IL5,IL5RA_CSF2RB,IL4,CellChatDB
CSF2,CSF2RA_CSF2RB,IL4,CellChatDB
IL4,IL4RA,IL4,CellChatDB
IL4,IL4R_IL13RA1,IL4,CellChatDB
IL4,IL4R_IL13RA2,IL4,CellChatDB
IL13,IL4R_IL13RA1,IL4,CellChatDB
IL13,IL4R_IL13RA2,IL4,CellChatDB
IL13,IL13RA1,IL4,CellChatDB
IL13,IL13RA2,IL4,CellChatDB
IL6,IL6R_IL6ST,IL6,CellChatDB
IL11,IL11R COMPLEX 1,IL6,CellChatDB
IL11,IL11R COMPLEX 2,IL6,CellChatDB
IL12AB,IL12RB1_IL12RB2,IL12,CellChatDB
IL23 COMPLEX,IL23R_IL12RB1,IL12,CellChatDB
IL27 COMPLEX,IL27RA_IL6ST,IL12,CellChatDB
IL31,IL31RA_OSMR,IL6,CellChatDB
CNTF,CNTFR_LIFR,LIFR,CellChatDB
CLCF1,CNTFR_LIFR,LIFR,CellChatDB
CTF1,LIFR_IL6ST,LIFR,CellChatDB
LIF,LIFR_IL6ST,LIFR,CellChatDB
OSM,LIFR_IL6ST,OSM,CellChatDB
OSM,OSMR_IL6ST,OSM,CellChatDB
IL10,IL10RA_IL10RB,IL10,CellChatDB
IL19,IL20RA_IL20RB,IL10,CellChatDB
IL20,IL20RA_IL20RB,IL10,CellChatDB
IL24,IL20RA_IL20RB,IL10,CellChatDB
IL20,IL22RA1_IL20RB,IL10,CellChatDB
IL24,IL22RA1_IL20RB,IL10,CellChatDB
IL22,IL22RA1_IL10RB,IL10,CellChatDB
IL1A,IL1R1_IL1RAP,IL1,CellChatDB
IL1B,IL1R1_IL1RAP,IL1,CellChatDB
IL1F5,IL1RL2_IL1RAP,IL1,CellChatDB
IL1F6,IL1RL2_IL1RAP,IL1,CellChatDB
IL1F8,IL1RL2_IL1RAP,IL1,CellChatDB
IL1F9,IL1RL2_IL1RAP,IL1,CellChatDB
IL1F10,IL1RL2_IL1RAP,IL1,CellChatDB
IL18,IL18R1_IL18RAP,IL1,CellChatDB
IL33,IL1RL1_IL1RAP,IL1,CellChatDB
IL17A,IL17RA_IL17RC,IL17,CellChatDB
IL17F,IL17RA_IL17RC,IL17,CellChatDB
IL17AF,IL17RA_IL17RC,IL17,CellChatDB
IL17B,IL17RB,IL17,CellChatDB
IL17C,IL17RA_IL17RE,IL17,CellChatDB
IL25,IL17RA_IL17RB,IL17,CellChatDB
IL34,CSF1R,CSF,CellChatDB
CSF1,CSF1R,CSF,CellChatDB
IL16,CD4,IL16,CellChatDB
EPO,EPOR,EPO,CellChatDB
GH,GHR,GH,CellChatDB
PRL,PRLR,PRL,CellChatDB
THPO,MPL,THPO,CellChatDB
CSF3,CSF3R,CSF3,CellChatDB
IFNA,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNB1,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNK,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNE,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNA11,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNA1,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNA2,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNA4,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNA5,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNA6,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNA7,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNA9,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNAB,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNA12,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNA13,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNA14,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNA15,IFNAR1_IFNAR2,IFN-I,CellChatDB
IFNG,IFNGR1_IFNGR2,IFN-II,CellChatDB
IFNL2,IFNLR1_IL10RB,IFN-lII,CellChatDB
IFNL3,IFNLR1_IL10RB,IFN-lII,CellChatDB
TNF,TNFRSF1A,TNF,CellChatDB
TNF,TNFRSF1B,TNF,CellChatDB
LTA,TNFRSF1A,LT,CellChatDB
LTA,TNFRSF1B,LT,CellChatDB
LTA,TNFRSF14,LT,CellChatDB
LTA1B2,LTBR,LT,CellChatDB
TNFSF14,LTBR,LIGHT,CellChatDB
TNFSF14,TNFRSF14,LIGHT,CellChatDB
FASL,FAS,FASLG,CellChatDB
TNFSF15,TNFRSF25,VEGI,CellChatDB
TNFSF10,TNFRSF10B,TRAIL,CellChatDB
EDA,EDAR,EDA,CellChatDB
EDA,EDA2R,EDA,CellChatDB
NGF,NGFR,NGF,CellChatDB
KLK1B4,NGFR,NGF,CellChatDB
TNFSF11,TNFRSF11A,RANKL,CellChatDB
TNFSF11,TNFRSF11B,RANKL,CellChatDB
TNFSF12,TNFRSF12A,TWEAK,CellChatDB
CD70,CD27,CD70,CellChatDB
TNFSF8,TNFRSF8,CD30,CellChatDB
TNFSF9,TNFRSF9,CD137,CellChatDB
TNFSF4,TNFRSF4,OX40,CellChatDB
TNFSF18,TNFRSF18,GITRL,CellChatDB
TNFSF13,TNFRSF17,APRIL,CellChatDB
TNFSF13,TNFRSF13B,APRIL,CellChatDB
TNFSF13B,TNFRSF17,BAFF,CellChatDB
TNFSF13B,TNFRSF13B,BAFF,CellChatDB
TNFSF13B,TNFRSF13C,BAFF,CellChatDB
CD40LG,ITGA2B_ITGB3,CD40,CellChatDB
CD40LG,ITGA5_ITGB1,CD40,CellChatDB
CD40LG,ITGAM_ITGB2,CD40,CellChatDB
SPP1,CD44,SPP1,CellChatDB
SPP1,ITGAV_ITGB3,SPP1,CellChatDB
SPP1,ITGAV_ITGB1,SPP1,CellChatDB
SPP1,ITGAV_ITGB5,SPP1,CellChatDB
SPP1,ITGAV_ITGB6,SPP1,CellChatDB
SPP1,ITGA4_ITGB1,SPP1,CellChatDB
SPP1,ITGA9_ITGB1,SPP1,CellChatDB
SPP1,ITGA8_ITGB1,SPP1,CellChatDB
SPP1,ITGA5_ITGB1,SPP1,CellChatDB
ADIPOQ,ADIPOR1,ADIPONECTIN,CellChatDB
ADIPOQ,ADIPOR2,ADIPONECTIN,CellChatDB
RETN,TLR4,RESISTIN,CellChatDB
RETN,CAP1,RESISTIN,CellChatDB
NAMPT,INSR,VISFATIN,CellChatDB
NAMPT,ITGA5_ITGB1,VISFATIN,CellChatDB
ANGPTL1,ITGA1_ITGB1,ANGPTL,CellChatDB
ANGPTL2,ITGA5_ITGB1,ANGPTL,CellChatDB
ANGPTL2,TLR4,ANGPTL,CellChatDB
ANGPTL2,PIRB,ANGPTL,CellChatDB
ANGPTL1,PIRB,ANGPTL,CellChatDB
ANGPTL7,PIRB,ANGPTL,CellChatDB
ANGPTL4,ITGA5_ITGB1,ANGPTL,CellChatDB
ANGPTL4,ITGAV_ITGB3,ANGPTL,CellChatDB
ANGPTL4,CDH5,ANGPTL,CellChatDB
ANGPTL4,CDH11,ANGPTL,CellChatDB
ANGPTL4,SDC1,ANGPTL,CellChatDB
ANGPTL4,SDC2,ANGPTL,CellChatDB
ANGPTL4,SDC3,ANGPTL,CellChatDB
ANGPTL4,SDC4,ANGPTL,CellChatDB
ANGPTL3,ITGAV_ITGB3,ANGPTL,CellChatDB
ANGPT1,TEK,ANGPT,CellChatDB
ANGPT2,TEK,ANGPT,CellChatDB
ANGPT2,ITGA5_ITGB1,ANGPT,CellChatDB
MDK,SDC1,MK,CellChatDB
MDK,SDC2,MK,CellChatDB
MDK,SDC4,MK,CellChatDB
MDK,PTPRZ1,MK,CellChatDB
MDK,ITGA4_ITGB1,MK,CellChatDB
MDK,ITGA6_ITGB1,MK,CellChatDB
MDK,LRP1,MK,CellChatDB
MDK,NCL,MK,CellChatDB
MDK,ALK,MK,CellChatDB
PTN,PTPRZ1,PTN,CellChatDB
PTN,SDC1,PTN,CellChatDB
PTN,SDC2,PTN,CellChatDB
PTN,SDC3,PTN,CellChatDB
PTN,SDC4,PTN,CellChatDB
PTN,ITGAV_ITGB3,PTN,CellChatDB
PTN,NCL,PTN,CellChatDB
PTN,ALK,PTN,CellChatDB
POSTN,ITGAV_ITGB3,PERIOSTIN,CellChatDB
POSTN,ITGAV_ITGB5,PERIOSTIN,CellChatDB
AGT,AGTR1A,AGT,CellChatDB
AGT,AGTR1B,AGT,CellChatDB
GRP,GRPR,GPR,CellChatDB
NMB,NMBR,GPR,CellChatDB
KNG1,BDKRB1,BRADYKININ,CellChatDB
KNG1,BDKRB2,BRADYKININ,CellChatDB
KNG2,BDKRB1,BRADYKININ,CellChatDB
KNG2,BDKRB2,BRADYKININ,CellChatDB
C3,C3AR1,COMPLEMENT,CellChatDB
C3,CR2,COMPLEMENT,CellChatDB
C3,ITGAM_ITGB2,COMPLEMENT,CellChatDB
C3,ITGAX_ITGB2,COMPLEMENT,CellChatDB
C4A,C3AR1,COMPLEMENT,CellChatDB
C4B,CR2,COMPLEMENT,CellChatDB
HC,C5AR1,COMPLEMENT,CellChatDB
CCK,CCKAR,CCK,CellChatDB
CCK,CCKBR,CCK,CellChatDB
EDN1,EDNRA,EDN,CellChatDB
EDN2,EDNRA,EDN,CellChatDB
EDN3,EDNRA,EDN,CellChatDB
EDN1,EDNRB,EDN,CellChatDB
EDN2,EDNRB,EDN,CellChatDB
EDN3,EDNRB,EDN,CellChatDB
GAL,GALR1,GALANIN,CellChatDB
GAL,GALR2,GALANIN,CellChatDB
GAL,GALR3,GALANIN,CellChatDB
GALP,GALR1,GALANIN,CellChatDB
GALP,GALR2,GALANIN,CellChatDB
GHRL,GHSR,GHRELIN,CellChatDB
KISS1,KISS1R,KISS1,CellChatDB
POMC,MC1R,MELANOCORTIN,CellChatDB
POMC,MC2R,MELANOCORTIN,CellChatDB
POMC,MC3R,MELANOCORTIN,CellChatDB
POMC,MC4R,MELANOCORTIN,CellChatDB
POMC,MC5R,MELANOCORTIN,CellChatDB
NMU,NMUR1,NMU,CellChatDB
NMU,NMUR2,NMU,CellChatDB
NMS,NMUR1,NMU,CellChatDB
NMS,NMUR2,NMU,CellChatDB
NPFF,NPFFR1,NPFF,CellChatDB
NPFF,NPFFR2,NPFF,CellChatDB
NPY,NPY1R,NPY,CellChatDB
NPY,NPY2R,NPY,CellChatDB
NPY,NPY4R,NPY,CellChatDB
NPY,NPY5R,NPY,CellChatDB
NPY,NPY6R,NPY,CellChatDB
NPY,GPR83,NPY,CellChatDB
NPY,PGR15L,NPY,CellChatDB
PPY,NPY1R,NPY,CellChatDB
PPY,NPY2R,NPY,CellChatDB
PPY,NPY4R,NPY,CellChatDB
PPY,NPY5R,NPY,CellChatDB
PPY,NPY6R,NPY,CellChatDB
PPY,GPR83,NPY,CellChatDB
PPY,PGR15L,NPY,CellChatDB
PYY,NPY1R,NPY,CellChatDB
PYY,NPY2R,NPY,CellChatDB
PYY,NPY4R,NPY,CellChatDB
PYY,NPY5R,NPY,CellChatDB
PYY,NPY6R,NPY,CellChatDB
PYY,GPR83,NPY,CellChatDB
PYY,PGR15L,NPY,CellChatDB
NPB,NPBWR1,NPW-B,CellChatDB
NPW,NPBWR1,NPW-B,CellChatDB
NTS,NTSR1,NTS,CellChatDB
NTS,NTSR2,NTS,CellChatDB
PDYN,OPRD1,OPIOID,CellChatDB
PDYN,OPRK1,OPIOID,CellChatDB
PDYN,OPRL1,OPIOID,CellChatDB
PDYN,OPRM1,OPIOID,CellChatDB
PENK,OPRD1,OPIOID,CellChatDB
PENK,OPRK1,OPIOID,CellChatDB
PENK,OPRL1,OPIOID,CellChatDB
PENK,OPRM1,OPIOID,CellChatDB
POMC,OPRD1,OPIOID,CellChatDB
POMC,OPRK1,OPIOID,CellChatDB
POMC,OPRL1,OPIOID,CellChatDB
POMC,OPRM1,OPIOID,CellChatDB
HCRT,HCRTR1,HCRT,CellChatDB
HCRT,HCRTR2,HCRT,CellChatDB
OXT,OXTR,OXT,CellChatDB
SST,SSTR1,SOMATOSTATIN,CellChatDB
SST,SSTR2,SOMATOSTATIN,CellChatDB
SST,SSTR3,SOMATOSTATIN,CellChatDB
SST,SSTR4,SOMATOSTATIN,CellChatDB
SST,SSTR5,SOMATOSTATIN,CellChatDB
CORT,SSTR1,SOMATOSTATIN,CellChatDB
CORT,SSTR2,SOMATOSTATIN,CellChatDB
CORT,SSTR3,SOMATOSTATIN,CellChatDB
CORT,SSTR4,SOMATOSTATIN,CellChatDB
CORT,SSTR5,SOMATOSTATIN,CellChatDB
TAC1,TACR1,TAC,CellChatDB
TAC4,TACR1,TAC,CellChatDB
TAC1,TACR2,TAC,CellChatDB
TAC2,TACR3,TAC,CellChatDB
UTS2,UTS2R,UTS2,CellChatDB
AVP,AVPR2,AVP,CellChatDB
AVP,AVPR1A,AVP,CellChatDB
AVP,AVPR1B,AVP,CellChatDB
PRLH,PRLHR,PRLH,CellChatDB
GM10334,F2R,PARs,CellChatDB
TRY5,F2R,PARs,CellChatDB
CTSG,F2R,PARs,CellChatDB
F2,F2R,PARs,CellChatDB
GZMA,F2R,PARs,CellChatDB
PRSS2,F2R,PARs,CellChatDB
TRY4,F2R,PARs,CellChatDB
TRY10,F2R,PARs,CellChatDB
GM10334,F2RL1,PARs,CellChatDB
TRY5,F2RL1,PARs,CellChatDB
CTSG,F2RL1,PARs,CellChatDB
F2,F2RL1,PARs,CellChatDB
GZMA,F2RL1,PARs,CellChatDB
PRSS2,F2RL1,PARs,CellChatDB
TRY4,F2RL1,PARs,CellChatDB
TRY10,F2RL1,PARs,CellChatDB
GM10334,F2RL2,PARs,CellChatDB
TRY5,F2RL2,PARs,CellChatDB
CTSG,F2RL2,PARs,CellChatDB
F2,F2RL2,PARs,CellChatDB
GZMA,F2RL2,PARs,CellChatDB
PRSS2,F2RL2,PARs,CellChatDB
TRY4,F2RL2,PARs,CellChatDB
TRY10,F2RL2,PARs,CellChatDB
GM10334,F2RL3,PARs,CellChatDB
TRY5,F2RL3,PARs,CellChatDB
CTSG,F2RL3,PARs,CellChatDB
F2,F2RL3,PARs,CellChatDB
GZMA,F2RL3,PARs,CellChatDB
PLG,F2RL3,PARs,CellChatDB
PRSS2,F2RL3,PARs,CellChatDB
TRY4,F2RL3,PARs,CellChatDB
TRY10,F2RL3,PARs,CellChatDB
GM10334,PARD3,PARs,CellChatDB
TRY5,PARD3,PARs,CellChatDB
CTSG,PARD3,PARs,CellChatDB
F2,PARD3,PARs,CellChatDB
GZMA,PARD3,PARs,CellChatDB
PLG,PARD3,PARs,CellChatDB
PRSS2,PARD3,PARs,CellChatDB
TRY4,PARD3,PARs,CellChatDB
TRY10,PARD3,PARs,CellChatDB
PMCH,MCHR1,PMCH,CellChatDB
PROK1,PROKR2,PROK,CellChatDB
PROK1,PROKR1,PROK,CellChatDB
PROK2,PROKR1,PROK,CellChatDB
PROK2,PROKR2,PROK,CellChatDB
ADCYAP1,ADCYAP1R1,PACAP,CellChatDB
VIP,VIPR1,VIP,CellChatDB
VIP,VIPR2,VIP,CellChatDB
NPPA,NPR1,NPR1,CellChatDB
NPPB,NPR1,NPR1,CellChatDB
NPPC,NPR2,NPR2,CellChatDB
KITL,KIT,KIT,CellChatDB
GCG,GIPR,GIPR,CellChatDB
GIP,GIPR,GIPR,CellChatDB
FSHB,FSHR,FSH,CellChatDB
CGA,FSHR,FSH,CellChatDB
LHB,LHCGR,LHB,CellChatDB
CGA,LHCGR,LHB,CellChatDB
TSHB,TSHR,TSH,CellChatDB
CGA,TSHR,TSH,CellChatDB
BDNF,NTRK2,NT,CellChatDB
NGF,NTRK1,NT,CellChatDB
FLT3L,FLT3,FLT3,CellChatDB
HGF,MET,HGF,CellChatDB
KLK1B4,NTRK1,NT,CellChatDB
NTF3,NTRK1,NT,CellChatDB
NTF3,NTRK2,NT,CellChatDB
NTF3,NTRK3,NT,CellChatDB
NTF5,NTRK2,NT,CellChatDB
SEMA3A,NRP1_PLXNA1,SEMA3,CellChatDB
SEMA3A,NRP1_PLXNA2,SEMA3,CellChatDB
SEMA3A,NRP1_PLXNA3,SEMA3,CellChatDB
SEMA3A,NRP1_PLXNA4,SEMA3,CellChatDB
SEMA3B,NRP1_PLXNA1,SEMA3,CellChatDB
SEMA3B,NRP1_PLXNA2,SEMA3,CellChatDB
SEMA3B,NRP1_PLXNA3,SEMA3,CellChatDB
SEMA3B,NRP1_PLXNA4,SEMA3,CellChatDB
SEMA3C,NRP1_PLXNA1,SEMA3,CellChatDB
SEMA3C,NRP1_PLXNA2,SEMA3,CellChatDB
SEMA3C,NRP1_PLXNA3,SEMA3,CellChatDB
SEMA3C,NRP1_PLXNA4,SEMA3,CellChatDB
SEMA3D,NRP1_PLXNA1,SEMA3,CellChatDB
SEMA3D,NRP1_PLXNA2,SEMA3,CellChatDB
SEMA3D,NRP1_PLXNA3,SEMA3,CellChatDB
SEMA3D,NRP1_PLXNA4,SEMA3,CellChatDB
SEMA3B,NRP2_PLXNA1,SEMA3,CellChatDB
SEMA3B,NRP2_PLXNA2,SEMA3,CellChatDB
SEMA3B,NRP2_PLXNA3,SEMA3,CellChatDB
SEMA3B,NRP2_PLXNA4,SEMA3,CellChatDB
SEMA3C,NRP2_PLXNA1,SEMA3,CellChatDB
SEMA3C,NRP2_PLXNA2,SEMA3,CellChatDB
SEMA3C,NRP2_PLXNA3,SEMA3,CellChatDB
SEMA3C,NRP2_PLXNA4,SEMA3,CellChatDB
SEMA3D,NRP2_PLXNA1,SEMA3,CellChatDB
SEMA3D,NRP2_PLXNA2,SEMA3,CellChatDB
