ligand,receptor,pathway,source
PSPN,GFRA4_RET,GDNF,CellChatDB
ARTN,GFRA1_RET,GDNF,CellChatDB
NODAL,ACVR1B_ACVR2A_CFC1,NODAL,CellChatDB
NODAL,ACVR1C_ACVR2A_CFC1,NODAL,CellChatDB
NODAL,ACVR1B_ACVR2B_CFC1,NODAL,CellChatDB
NODAL,ACVR1C_ACVR2B_CFC1,NODAL,CellChatDB
GDF1,ACVR1B_ACVR2A_CFC1,NODAL,CellChatDB
GDF1,ACVR1B_ACVR2B_CFC1,NODAL,CellChatDB
GDF1,ACVR1C_ACVR2A_CFC1,NODAL,CellChatDB
GDF1,ACVR1C_ACVR2B_CFC1,NODAL,CellChatDB
GDF3,ACVR1B_ACVR2A_CFC1,NODAL,CellChatDB
GDF3,ACVR1B_ACVR2B_CFC1,NODAL,CellChatDB
GDF3,ACVR1C_ACVR2A_CFC1,NODAL,CellChatDB
GDF3,ACVR1C_ACVR2B_CFC1,NODAL,CellChatDB
INHBA,ACVR1B_ACVR2A,ACTIVIN,CellChatDB
INHBA,ACVR1B_ACVR2B,ACTIVIN,CellChatDB
INHBB,ACVR1B_ACVR2A,ACTIVIN,CellChatDB
INHBB,ACVR1B_ACVR2B,ACTIVIN,CellChatDB
INHBB,ACVR1C_ACVR2A,ACTIVIN,CellChatDB
INHBB,ACVR1C_ACVR2B,ACTIVIN,CellChatDB
INHBC,ACVR1B_ACVR2A,ACTIVIN,CellChatDB
INHBC,ACVR1B_ACVR2B,ACTIVIN,CellChatDB
INHBC,ACVR1C_ACVR2A,ACTIVIN,CellChatDB
INHBC,ACVR1C_ACVR2B,ACTIVIN,CellChatDB
INHBE,ACVR1B_ACVR2A,ACTIVIN,CellChatDB
INHBE,ACVR1B_ACVR2B,ACTIVIN,CellChatDB
INHBE,ACVR1C_ACVR2A,ACTIVIN,CellChatDB
INHBE,ACVR1C_ACVR2B,ACTIVIN,CellChatDB
ACTIVIN AB,ACVR1B_ACVR2A,ACTIVIN,CellChatDB
ACTIVIN AB,ACVR1B_ACVR2B,ACTIVIN,CellChatDB
ACTIVIN AB,ACVR1C_ACVR2A,ACTIVIN,CellChatDB
ACTIVIN AB,ACVR1C_ACVR2B,ACTIVIN,CellChatDB
INHIBIN A,ACVR2A,ACTIVIN,CellChatDB
INHIBIN B,ACVR2B,ACTIVIN,CellChatDB
WNT1,FZD1_LRP5,WNT,CellChatDB
WNT1,FZD10_LRP5,WNT,CellChatDB
WNT1,FZD2_LRP5,WNT,CellChatDB
WNT1,FZD3_LRP5,WNT,CellChatDB
WNT1,FZD4_LRP5,WNT,CellChatDB
WNT1,FZD5_LRP5,WNT,CellChatDB
WNT1,FZD6_LRP5,WNT,CellChatDB
WNT1,FZD7_LRP5,WNT,CellChatDB
WNT1,FZD8_LRP5,WNT,CellChatDB
WNT1,FZD9_LRP5,WNT,CellChatDB
WNT10A,FZD1_LRP5,WNT,CellChatDB
WNT10A,FZD10_LRP5,WNT,CellChatDB
WNT10A,FZD2_LRP5,WNT,CellChatDB
WNT10A,FZD3_LRP5,WNT,CellChatDB
WNT10A,FZD4_LRP5,WNT,CellChatDB
WNT10A,FZD5_LRP5,WNT,CellChatDB
WNT10A,FZD6_LRP5,WNT,CellChatDB
WNT10A,FZD7_LRP5,WNT,CellChatDB
WNT10A,FZD8_LRP5,WNT,CellChatDB
WNT10A,FZD9_LRP5,WNT,CellChatDB
WNT10B,FZD1_LRP5,WNT,CellChatDB
WNT10B,FZD10_LRP5,WNT,CellChatDB
WNT10B,FZD2_LRP5,WNT,CellChatDB
WNT10B,FZD3_LRP5,WNT,CellChatDB
WNT10B,FZD4_LRP5,WNT,CellChatDB
WNT10B,FZD5_LRP5,WNT,CellChatDB
WNT10B,FZD6_LRP5,WNT,CellChatDB
WNT10B,FZD7_LRP5,WNT,CellChatDB
WNT10B,FZD8_LRP5,WNT,CellChatDB
WNT10B,FZD9_LRP5,WNT,CellChatDB
WNT16,FZD1_LRP5,WNT,CellChatDB
WNT16,FZD10_LRP5,WNT,CellChatDB
WNT16,FZD2_LRP5,WNT,CellChatDB
WNT16,FZD3_LRP5,WNT,CellChatDB
WNT16,FZD4_LRP5,WNT,CellChatDB
WNT16,FZD5_LRP5,WNT,CellChatDB
WNT16,FZD6_LRP5,WNT,CellChatDB
WNT16,FZD7_LRP5,WNT,CellChatDB
WNT16,FZD8_LRP5,WNT,CellChatDB
WNT16,FZD9_LRP5,WNT,CellChatDB
WNT2,FZD1_LRP5,WNT,CellChatDB
WNT2,FZD10_LRP5,WNT,CellChatDB
WNT2,FZD2_LRP5,WNT,CellChatDB
WNT2,FZD3_LRP5,WNT,CellChatDB
WNT2,FZD4_LRP5,WNT,CellChatDB
WNT2,FZD5_LRP5,WNT,CellChatDB
WNT2,FZD6_LRP5,WNT,CellChatDB
WNT2,FZD7_LRP5,WNT,CellChatDB
WNT2,FZD8_LRP5,WNT,CellChatDB
WNT2,FZD9_LRP5,WNT,CellChatDB
