ligand,receptor,source,confidence,download_date
WNT5A,FZD4,CellChatDB; CellPhoneDB|KEGG: hsa04310; PMID:24532711,0.85,2026-06-22
WNT5A,FZD5,CellChatDB; CellPhoneDB|KEGG: hsa04310; PMID:24032637; PMID:24532711,0.85,2026-06-22
WNT5A,FZD6,CellChatDB; CellPhoneDB|KEGG: hsa04310; PMID:24532711,0.85,2026-06-22
WNT5A,FZD7,CellChatDB; CellPhoneDB|KEGG: hsa04310; PMID:24532711,0.85,2026-06-22
WNT5A,FZD8,CellChatDB; CellPhoneDB|KEGG: hsa04310; PMID:24532711; reactome;uniprot,0.85,2026-06-22
WNT5A,FZD9,CellChatDB; CellPhoneDB|KEGG: hsa04310; PMID:24532711,0.85,2026-06-22
WNT5A,LRP5,CellPhoneDB|PMID:24032637; PMID:24532711,0.85,2026-06-22
WNT5A,LRP6,CellPhoneDB|PMID:24032637; PMID:24532711,0.85,2026-06-22
WNT5A,MCAM,CellChatDB|PMID: 24335906,0.85,2026-06-22
WNT5A,ROR1,CellPhoneDB|uniprot;PMID:27162350,0.85,2026-06-22
WNT5A,ROR2,CellPhoneDB|uniprot;reactome,0.85,2026-06-22
WNT5A,RYK,CellPhoneDB|reactome;uniprot,0.85,2026-06-22
