disease,gene,score,disease_id,disease_name,target_name
CIRI,DIABLO,0.21,umls:C0007786,brain ischemia,"diablo, IAP-binding mitochondrial protein"
CIRI,DYNLL1,0.21,umls:C0007786,brain ischemia,"dynein, light chain, LC8-type 1"
CIRI,EGR1,0.21,umls:C0007786,brain ischemia,early growth response 1
CIRI,FOS,0.21,umls:C0018843,heat stroke,FBJ murine osteosarcoma viral oncogene homolog
CIRI,GPX1,0.21,umls:C0007786,brain ischemia,glutathione peroxidase 1
CIRI,HBA1,0.21,umls:C0007785,cerebral infarction,"hemoglobin, alpha 1"
CIRI,HTR4,0.21,umls:C0038454,stroke,"5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled"
CIRI,IL10,0.21,umls:C0018843,heat stroke,interleukin 10
CIRI,IL10RB,0.21,umls:C0007786,brain ischemia,"interleukin 10 receptor, beta"
CIRI,IL12RB1,0.21,umls:C0007786,brain ischemia,"interleukin 12 receptor, beta 1"
CIRI,IL17RA,0.21,umls:C0007786,brain ischemia,interleukin 17 receptor A
CIRI,IRF1,0.21,umls:C0038454,stroke,interferon regulatory factor 1
CIRI,ITGAV,0.21,umls:C0038454,stroke,"integrin, alpha V"
CIRI,JUN,0.21,umls:C0007786,brain ischemia,jun proto-oncogene
CIRI,MAP2K1,0.21,umls:C0007786,brain ischemia,mitogen-activated protein kinase kinase 1
CIRI,MAPK1,0.21,umls:C0007786,brain ischemia,mitogen-activated protein kinase 1
CIRI,MAPK3,0.21,umls:C0007786,brain ischemia,mitogen-activated protein kinase 3
CIRI,MPO,0.21,umls:C0007786,brain ischemia,myeloperoxidase
CIRI,NFKB2,0.21,umls:C0018843,heat stroke,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
CIRI,NFKBIA,0.21,umls:C0007786,brain ischemia,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"
CIRI,NPY,0.21,umls:C0007785,cerebral infarction,neuropeptide Y
CIRI,PAOX,0.21,umls:C0038454,stroke,polyamine oxidase (exo-N4-amino)
CIRI,PLAU,0.21,umls:C0007786,brain ischemia,"plasminogen activator, urokinase"
CIRI,PRKAA2,0.21,umls:C0038454,stroke,"protein kinase, AMP-activated, alpha 2 catalytic subunit"
CIRI,RB1,0.21,umls:C0007786,brain ischemia,retinoblastoma 1
CIRI,REL,0.21,umls:C0018843,heat stroke,v-rel avian reticuloendotheliosis viral oncogene homolog
CIRI,RELA,0.21,umls:C0007786,brain ischemia,v-rel avian reticuloendotheliosis viral oncogene homolog A
CIRI,RELB,0.21,umls:C0018843,heat stroke,v-rel avian reticuloendotheliosis viral oncogene homolog B
CIRI,SMOX,0.21,umls:C0038454,stroke,spermine oxidase
CIRI,SOD2,0.21,umls:C0007786,brain ischemia,"superoxide dismutase 2, mitochondrial"
CIRI,STAT3,0.21,umls:C0007786,brain ischemia,signal transducer and activator of transcription 3 (acute-phase response factor)
CIRI,TNFRSF1B,0.21,umls:C0007786,brain ischemia,"tumor necrosis factor receptor superfamily, member 1B"
CIRI,TP53,0.21,umls:C0007786,brain ischemia,tumor protein p53
