disease,gene,score,efo_id,disease_name,target_name
CIRI,KCNA6,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel subfamily A member 6
CIRI,KCNB2,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel subfamily B member 2
CIRI,KCNG3,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel modifier subfamily G member 3
CIRI,KCNG2,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel modifier subfamily G member 2
CIRI,GLRA1,0.33159525850877414,EFO_0003763,CIRI_cerebrovascular_disorder,glycine receptor alpha 1
CIRI,TUBA3E,0.33159525850877414,EFO_0003763,CIRI_cerebrovascular_disorder,tubulin alpha 3e
CIRI,TUBA1A,0.33159525850877414,EFO_0003763,CIRI_cerebrovascular_disorder,tubulin alpha 1a
CIRI,KCNK18,0.33159525850877414,EFO_0003763,CIRI_cerebrovascular_disorder,potassium two pore domain channel subfamily K member 18
CIRI,KCND1,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel subfamily D member 1
CIRI,TUBB2B,0.33159525850877414,EFO_0003763,CIRI_cerebrovascular_disorder,tubulin beta 2B class IIb
CIRI,KCNG4,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel modifier subfamily G member 4
CIRI,KCNA4,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel subfamily A member 4
CIRI,KCNH7,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel subfamily H member 7
CIRI,KCNH4,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel subfamily H member 4
CIRI,KCNA10,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel subfamily A member 10
CIRI,KCNC4,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel subfamily C member 4
CIRI,KCNS3,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel modifier subfamily S member 3
CIRI,KCNS1,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel modifier subfamily S member 1
CIRI,KCNA7,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel subfamily A member 7
CIRI,KCNC3,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel subfamily C member 3
CIRI,KCNS2,0.33159525850877414,EFO_0000712,CIRI_stroke,potassium voltage-gated channel modifier subfamily S member 2
CIRI,IGF1R,0.3311302476920845,EFO_0003763,CIRI_cerebrovascular_disorder,insulin like growth factor 1 receptor
CIRI,ABCC8,0.3310800375578092,EFO_0003763,CIRI_cerebrovascular_disorder,ATP binding cassette subfamily C member 8
CIRI,INSR,0.33091237420405334,EFO_0003763,CIRI_cerebrovascular_disorder,insulin receptor
CIRI,SYK,0.32942372819226784,EFO_0003763,CIRI_cerebrovascular_disorder,spleen associated tyrosine kinase
CIRI,CA4,0.32923918693515913,EFO_0003763,CIRI_cerebrovascular_disorder,carbonic anhydrase 4
CIRI,LAT2,0.32919091615350476,EFO_0003763,CIRI_cerebrovascular_disorder,linker for activation of T cells family member 2
CIRI,MARCHF10,0.32908033220021254,EFO_0003763,CIRI_cerebrovascular_disorder,membrane associated ring-CH-type finger 10
CIRI,CDH19,0.3288229711790347,EFO_0003763,CIRI_cerebrovascular_disorder,cadherin 19
CIRI,VGLL4,0.3282519878982909,EFO_0000712,CIRI_stroke,vestigial like family member 4
CIRI,APOA5,0.32819319409143966,EFO_0003763,CIRI_cerebrovascular_disorder,apolipoprotein A5
CIRI,TTC17,0.32751647243684207,EFO_0000712,CIRI_stroke,tetratricopeptide repeat domain 17
CIRI,PLSCR5,0.32743175565628957,EFO_0000712,CIRI_stroke,phospholipid scramblase family member 5
CIRI,KDM7A,0.32716826515602737,EFO_0003763,CIRI_cerebrovascular_disorder,lysine demethylase 7A
CIRI,ZCCHC14,0.32716460095329414,EFO_0003763,CIRI_cerebrovascular_disorder,zinc finger CCHC-type containing 14
CIRI,KCNJ11,0.3270056703010036,EFO_0003763,CIRI_cerebrovascular_disorder,potassium inwardly rectifying channel subfamily J member 11
CIRI,TC2N,0.3263309772116681,HP_0002140,CIRI_ischemic_stroke,"tandem C2 domains, nuclear"
CIRI,ABCG8,0.3263056336507898,EFO_0003763,CIRI_cerebrovascular_disorder,ATP binding cassette subfamily G member 8
CIRI,CENPQ,0.32602379276411625,EFO_0000712,CIRI_stroke,centromere protein Q
CIRI,NAALADL2,0.32550629517712387,EFO_0003763,CIRI_cerebrovascular_disorder,N-acetylated alpha-linked acidic dipeptidase like 2
CIRI,PIGU,0.3252224942376315,EFO_0000712,CIRI_stroke,phosphatidylinositol glycan anchor biosynthesis class U
CIRI,PPP1R17,0.3245619203317802,EFO_0003763,CIRI_cerebrovascular_disorder,protein phosphatase 1 regulatory subunit 17
CIRI,TSPAN8,0.3245619203317802,EFO_0003763,CIRI_cerebrovascular_disorder,tetraspanin 8
CIRI,CACNG4,0.3245619203317802,EFO_0003763,CIRI_cerebrovascular_disorder,calcium voltage-gated channel auxiliary subunit gamma 4
CIRI,ABL1,0.3245108309555869,EFO_0003763,CIRI_cerebrovascular_disorder,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
CIRI,ABCC1,0.3244368571931027,EFO_0003763,CIRI_cerebrovascular_disorder,ATP binding cassette subfamily C member 1 (ABCC1 blood group)
CIRI,RNF217,0.32441805104912064,EFO_0003763,CIRI_cerebrovascular_disorder,ring finger protein 217
CIRI,SNX13,0.32400826811184374,EFO_0003763,CIRI_cerebrovascular_disorder,sorting nexin 13
CIRI,KPNA5,0.3239965984207568,EFO_0003763,CIRI_cerebrovascular_disorder,karyopherin subunit alpha 5
CIRI,JAZF1,0.32395296525303174,EFO_0003763,CIRI_cerebrovascular_disorder,JAZF zinc finger 1
CIRI,SOCS6,0.3239373019832809,EFO_0003763,CIRI_cerebrovascular_disorder,suppressor of cytokine signaling 6
