disease,gene,disease_name,disease_id,score,source
CIRI,LPA,stroke,umls:C0038454,0.224958916909108,DisGeNET_curated_github_mirror
AD,ACHE,alzheimer disease,umls:C0002395,0.22490939741315,DisGeNET_curated_github_mirror
Aging,WRN,"aging, premature",umls:C0231341,0.222190696514028,DisGeNET_curated_github_mirror
CIRI,ICAM1,stroke,umls:C0038454,0.220246298308341,DisGeNET_curated_github_mirror
CIRI,VKORC1,stroke,umls:C0038454,0.220118783787671,DisGeNET_curated_github_mirror
AD,BLMH,alzheimer disease,umls:C0002395,0.219757284192866,DisGeNET_curated_github_mirror
CIRI,APOA1,stroke,umls:C0038454,0.219679289168154,DisGeNET_curated_github_mirror
AD,APBB2,alzheimer disease,umls:C0002395,0.219473779622772,DisGeNET_curated_github_mirror
AD,PCDH11X,alzheimer disease,umls:C0002395,0.219473779622772,DisGeNET_curated_github_mirror
AD,GAPDHS,alzheimer disease,umls:C0002395,0.21926827007739,DisGeNET_curated_github_mirror
AD,IGF1,alzheimer disease,umls:C0002395,0.219063249069368,DisGeNET_curated_github_mirror
CIRI,EDN1,stroke,umls:C0038454,0.217929230788994,DisGeNET_curated_github_mirror
AD,DHCR24,alzheimer disease,umls:C0002395,0.217851235764282,DisGeNET_curated_github_mirror
AD,CASP3,alzheimer disease,umls:C0002395,0.217029686120114,DisGeNET_curated_github_mirror
AD,ABCA7,alzheimer disease,umls:C0002395,0.216618667029351,DisGeNET_curated_github_mirror
CIRI,SOD1,brain ischemia,umls:C0007786,0.215612163269646,DisGeNET_curated_github_mirror
AD,SOD2,alzheimer disease,umls:C0002395,0.215406653724264,DisGeNET_curated_github_mirror
CIRI,ADH1B,cerebral infarction,umls:C0007785,0.21512314915417,DisGeNET_curated_github_mirror
AD,RELN,alzheimer disease,umls:C0002395,0.21512314915417,DisGeNET_curated_github_mirror
AD,EIF2S1,alzheimer disease,umls:C0002395,0.215045154129459,DisGeNET_curated_github_mirror
AD,ENO1,alzheimer disease,umls:C0002395,0.215045154129459,DisGeNET_curated_github_mirror
AD,IGF2R,alzheimer disease,umls:C0002395,0.214839644584077,DisGeNET_curated_github_mirror
AD,CD33,alzheimer disease,umls:C0002395,0.214634135038695,DisGeNET_curated_github_mirror
CIRI,SELE,brain ischemia,umls:C0007786,0.214634135038695,DisGeNET_curated_github_mirror
CIRI,HDAC9,stroke,umls:C0038454,0.214301599510003,DisGeNET_curated_github_mirror
Aging,KL,"aging, premature",umls:C0231341,0.213685559411218,DisGeNET_curated_github_mirror
AD,TREM2,alzheimer disease,umls:C0002395,0.213656595345104,DisGeNET_curated_github_mirror
CIRI,NOS3,cerebral infarction,umls:C0007785,0.21337309077501,DisGeNET_curated_github_mirror
CIRI,PRKCH,cerebral infarction,umls:C0007785,0.21337309077501,DisGeNET_curated_github_mirror
AD,MIR146A,alzheimer disease,umls:C0002395,0.213089586204917,DisGeNET_curated_github_mirror
AD,SLC30A6,alzheimer disease,umls:C0002395,0.213089586204917,DisGeNET_curated_github_mirror
AD,DPYSL2,alzheimer disease,umls:C0002395,0.212806081634823,DisGeNET_curated_github_mirror
AD,CD2AP,alzheimer disease,umls:C0002395,0.212600572089441,DisGeNET_curated_github_mirror
AD,F2,alzheimer disease,umls:C0002395,0.212600572089441,DisGeNET_curated_github_mirror
AD,ATP5A1,alzheimer disease,umls:C0002395,0.212522577064729,DisGeNET_curated_github_mirror
CIRI,CASP3,brain ischemia,umls:C0007786,0.212522577064729,DisGeNET_curated_github_mirror
AD,SLC30A4,alzheimer disease,umls:C0002395,0.212522577064729,DisGeNET_curated_github_mirror
CIRI,CCL11,brain ischemia,umls:C0007786,0.212317067519348,DisGeNET_curated_github_mirror
AD,EPHA1,alzheimer disease,umls:C0002395,0.212317067519348,DisGeNET_curated_github_mirror
AD,IGF1R,alzheimer disease,umls:C0002395,0.212317067519348,DisGeNET_curated_github_mirror
CIRI,ALOX5AP,cerebral infarction,umls:C0007785,0.211417522850468,DisGeNET_curated_github_mirror
CIRI,PLA2G7,stroke,umls:C0038454,0.211134018280375,DisGeNET_curated_github_mirror
CIRI,BDNF,brain ischemia,umls:C0007786,0.210567009140187,DisGeNET_curated_github_mirror
AD,AD5,alzheimer disease,umls:C0002395,0.210283504570094,DisGeNET_curated_github_mirror
CIRI,ALB,stroke,umls:C0038454,0.210283504570094,DisGeNET_curated_github_mirror
AD,CALM1,alzheimer disease,umls:C0002395,0.210283504570094,DisGeNET_curated_github_mirror
AD,CRH,alzheimer disease,umls:C0002395,0.210283504570094,DisGeNET_curated_github_mirror
CIRI,NFKB1,brain ischemia,umls:C0007786,0.210283504570094,DisGeNET_curated_github_mirror
CIRI,PARP1,brain ischemia,umls:C0007786,0.210283504570094,DisGeNET_curated_github_mirror
AD,PAXIP1,alzheimer disease,umls:C0002395,0.210283504570094,DisGeNET_curated_github_mirror
CIRI,UCP2,brain ischemia,umls:C0007786,0.210283504570094,DisGeNET_curated_github_mirror
AD,ND1,"alzheimer disease, susceptibility to, mitochondrial",umls:C1838990,0.21,DisGeNET_curated_github_mirror
AD,ND2,"alzheimer disease, susceptibility to, mitochondrial",umls:C1838990,0.21,DisGeNET_curated_github_mirror
AD,PLD3,alzheimer disease 19,umls:C3810349,0.21,DisGeNET_curated_github_mirror
AD,AD10,alzheimer disease,umls:C0002395,0.21,DisGeNET_curated_github_mirror
AD,AD11,alzheimer disease 11,umls:C1853360,0.21,DisGeNET_curated_github_mirror
AD,AD12,alzheimer disease 12,umls:C1970209,0.21,DisGeNET_curated_github_mirror
AD,AD13,alzheimer disease 13,umls:C1970147,0.21,DisGeNET_curated_github_mirror
AD,AD14,alzheimer disease 14,umls:C1970144,0.21,DisGeNET_curated_github_mirror
AD,AD15,alzheimer disease 15,umls:C1970143,0.21,DisGeNET_curated_github_mirror
AD,AD16,alzheimer disease 16,umls:C2677888,0.21,DisGeNET_curated_github_mirror
AD,AD6,alzheimer disease,umls:C0002395,0.21,DisGeNET_curated_github_mirror
AD,AD7,alzheimer disease 7,umls:C1853555,0.21,DisGeNET_curated_github_mirror
AD,AD8,alzheimer disease,umls:C0002395,0.21,DisGeNET_curated_github_mirror
AD,AD9,alzheimer disease,umls:C0002395,0.21,DisGeNET_curated_github_mirror
CIRI,ADD3,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
AD,AMFR,alzheimer disease,umls:C0002395,0.21,DisGeNET_curated_github_mirror
Aging,APP,"aging, premature",umls:C0231341,0.21,DisGeNET_curated_github_mirror
AD,ARC,alzheimer disease,umls:C0002395,0.21,DisGeNET_curated_github_mirror
CIRI,ASIC1,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,BBC3,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,CASP9,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,CCL3,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,CCL4,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,CCR4,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,CEBPB,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,CHRM1,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,CYCS,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,DIABLO,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,DYNLL1,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,EGR1,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,FOS,heat stroke,umls:C0018843,0.21,DisGeNET_curated_github_mirror
CIRI,GPX1,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,HBA1,cerebral infarction,umls:C0007785,0.21,DisGeNET_curated_github_mirror
CIRI,HTR4,stroke,umls:C0038454,0.21,DisGeNET_curated_github_mirror
CIRI,IL10,heat stroke,umls:C0018843,0.21,DisGeNET_curated_github_mirror
CIRI,IL10RB,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,IL12RB1,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,IL17RA,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,IRF1,stroke,umls:C0038454,0.21,DisGeNET_curated_github_mirror
CIRI,ITGAV,stroke,umls:C0038454,0.21,DisGeNET_curated_github_mirror
CIRI,JUN,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
AD,LEP,alzheimer disease,umls:C0002395,0.21,DisGeNET_curated_github_mirror
CIRI,MAP2K1,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,MAPK1,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,MAPK3,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,MPO,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
AD,MS4A4A,alzheimer disease,umls:C0002395,0.21,DisGeNET_curated_github_mirror
CIRI,NFKB2,heat stroke,umls:C0018843,0.21,DisGeNET_curated_github_mirror
CIRI,NFKBIA,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
AD,NPY,alzheimer disease,umls:C0002395,0.21,DisGeNET_curated_github_mirror
CIRI,NPY,cerebral infarction,umls:C0007785,0.21,DisGeNET_curated_github_mirror
CIRI,PAOX,stroke,umls:C0038454,0.21,DisGeNET_curated_github_mirror
CIRI,PLAU,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,PRKAA2,stroke,umls:C0038454,0.21,DisGeNET_curated_github_mirror
AD,PYY,alzheimer disease,umls:C0002395,0.21,DisGeNET_curated_github_mirror
CIRI,RB1,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,REL,heat stroke,umls:C0018843,0.21,DisGeNET_curated_github_mirror
CIRI,RELA,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,RELB,heat stroke,umls:C0018843,0.21,DisGeNET_curated_github_mirror
CIRI,SMOX,stroke,umls:C0038454,0.21,DisGeNET_curated_github_mirror
CIRI,SOD2,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,STAT3,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,TNFRSF1B,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
CIRI,TP53,brain ischemia,umls:C0007786,0.21,DisGeNET_curated_github_mirror
AD,TPI1,alzheimer disease,umls:C0002395,0.21,DisGeNET_curated_github_mirror
AD,TPP1,alzheimer disease,umls:C0002395,0.21,DisGeNET_curated_github_mirror
