compound,gene,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,source
Curcumin,NUCLEAR FACTOR NF-KAPPA-B P52 SUBUNIT,CHEMBL2094258,CHEMBL140,IC50,8000.0,nM,5.1,ChEMBL
Curcumin,NUCLEAR FACTOR NF-KAPPA-B P65 SUBUNIT,CHEMBL2094258,CHEMBL140,IC50,8000.0,nM,5.1,ChEMBL
Curcumin,NUCLEAR FACTOR OF KAPPA LIGHT POLYPEPTIDE GENE ENHANCER IN B-CELLS 1,CHEMBL2094258,CHEMBL140,IC50,8000.0,nM,5.1,ChEMBL
Curcumin,NUCLEAR FACTOR OF KAPPA LIGHT POLYPEPTIDE GENE ENHANCER IN B-CELLS 2,CHEMBL2094258,CHEMBL140,IC50,8000.0,nM,5.1,ChEMBL
Curcumin,NUCLEAR FACTOR OF KAPPA LIGHT POLYPEPTIDE GENE ENHANCER IN B-CELLS 3,CHEMBL2094258,CHEMBL140,IC50,8000.0,nM,5.1,ChEMBL
Curcumin,NUCLEAR FACTOR P97,CHEMBL3885594,CHEMBL140,Potency,5011.9,nM,,ChEMBL
Curcumin,"NUCLEAR FACTOR, ERYTHROID DERIVED 2, LIKE 2",CHEMBL1075094,CHEMBL140,EC50,9900.0,nM,5.0,ChEMBL
Curcumin,ONCOGENE LYT-10,CHEMBL2094258,CHEMBL140,IC50,8000.0,nM,5.1,ChEMBL
Curcumin,ORPHAN,CHEMBL4373,CHEMBL140,IC50,30.0,nM,7.52,ChEMBL
Curcumin,ORPHAN METHYLTRANSFERASE M.SSSI,CHEMBL4373,CHEMBL140,IC50,30.0,nM,7.52,ChEMBL
Curcumin,OXIDASE,CHEMBL1951,CHEMBL140,Ki,710.0,nM,6.15,ChEMBL
Curcumin,OXIDE,CHEMBL3464,CHEMBL140,IC50,800.0,nM,6.1,ChEMBL
Curcumin,P-GLYCOPROTEIN 1,CHEMBL4302,CHEMBL140,IC50,1000.0,nM,,ChEMBL
Curcumin,P180,CHEMBL2093861,CHEMBL140,Potency,3981.1,nM,5.4,ChEMBL
Curcumin,P23,CHEMBL1907600,CHEMBL140,IC50,10000.0,nM,,ChEMBL
Curcumin,P25,CHEMBL1907600,CHEMBL140,IC50,10000.0,nM,,ChEMBL
Curcumin,P3(40),CHEMBL2487,CHEMBL140,Ki,0.208,nM,9.68,ChEMBL
Curcumin,P3(42),CHEMBL2487,CHEMBL140,Ki,0.208,nM,9.68,ChEMBL
