compound,gene,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,source
Aloe emodin,ADP-GLUCOSE RECEPTOR,CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,ADPG-R,CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,ALDEHYDE,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALDEHYDE DEHYDROGENASE FAMILY 1 MEMBER A7,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALDEHYDE DEHYDROGENASE PHENOBARBITAL-INDUCIBLE,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,"ALDEHYDE DEHYDROGENASE, CYTOSOLIC 1",CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALDH CLASS 1,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALDH-E1,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALDH1A7,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALHDII,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALKALINE,CHEMBL3151,CHEMBL40275,IC50,2880.0,nM,5.54,ChEMBL
Aloe emodin,ALKALINE PHOSPHATASE 3,CHEMBL3151,CHEMBL40275,IC50,2880.0,nM,5.54,ChEMBL
Aloe emodin,ALL-1,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,AMINE,CHEMBL1951,CHEMBL40275,IC50,1770.0,nM,5.75,ChEMBL
Aloe emodin,AMINE OXIDASE [FLAVIN-CONTAINING] A,CHEMBL1951,CHEMBL40275,IC50,1770.0,nM,5.75,ChEMBL
Aloe emodin,B16-F10,CHEMBL612656,CHEMBL40275,IC50,3120.0,nM,5.51,ChEMBL
Aloe emodin,C-TERMINAL CLEAVAGE PRODUCT OF 180 KDA,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,CXXC-TYPE ZINC FINGER PROTEIN 7,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,CYSTEINE METHYLTRANSFERASE KMT2A,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,CYTOSOLIC,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,DEHYDROGENASE,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,DELTA,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,ER-ALPHA,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,ESR1,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,ESTRADIOL RECEPTOR,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,ESTROGEN,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,ESTROGEN RECEPTOR,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,HCT-116,CHEMBL394,CHEMBL40275,IC50,8700.0,nM,5.06,ChEMBL
Aloe emodin,HEK293,CHEMBL614818,CHEMBL40275,IC50,1000.0,nM,6.0,ChEMBL
Aloe emodin,HEPG2,CHEMBL395,CHEMBL40275,IC50,10000.0,nM,5.0,ChEMBL
Aloe emodin,HISTONE-LYSINE N-METHYLTRANSFERASE 2A,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,IAP,CHEMBL3151,CHEMBL40275,IC50,2880.0,nM,5.54,ChEMBL
Aloe emodin,INTESTINAL ALKALINE PHOSPHATASE,CHEMBL3151,CHEMBL40275,IC50,2880.0,nM,5.54,ChEMBL
Aloe emodin,INTESTINAL-TYPE ALKALINE PHOSPHATASE,CHEMBL3151,CHEMBL40275,IC50,2880.0,nM,5.54,ChEMBL
Aloe emodin,KMT2A,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,LYSINE N-METHYLTRANSFERASE 2A,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,MAO-A,CHEMBL1951,CHEMBL40275,IC50,1770.0,nM,5.75,ChEMBL
Aloe emodin,MAOA,CHEMBL1951,CHEMBL40275,IC50,1770.0,nM,5.75,ChEMBL
Aloe emodin,MCF7,CHEMBL387,CHEMBL40275,IC50,4140.0,nM,5.38,ChEMBL
Aloe emodin,MEN1,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,MENIN,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,MLL CLEAVAGE PRODUCT C180,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,MLL CLEAVAGE PRODUCT N320,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,MONOAMINE OXIDASE TYPE A,CHEMBL1951,CHEMBL40275,IC50,1770.0,nM,5.75,ChEMBL
Aloe emodin,MUS MUSCULUS,CHEMBL375,CHEMBL40275,IC50,10000.0,nM,,ChEMBL
Aloe emodin,MYELOID/LYMPHOID OR MIXED-LINEAGE LEUKEMIA,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,MYELOID/LYMPHOID OR MIXED-LINEAGE LEUKEMIA PROTEIN 1,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,N-TERMINAL CLEAVAGE PRODUCT OF 320 KDA,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,NON-PROTEIN TARGET,CHEMBL3879801,CHEMBL40275,Potency,6.0,nM,,ChEMBL
Aloe emodin,NUC1,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,NUCI,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,NUCLEAR HORMONE RECEPTOR 1,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,NUCLEAR RECEPTOR SUBFAMILY 1 GROUP C MEMBER 2,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,NUCLEAR RECEPTOR SUBFAMILY 3 GROUP A MEMBER 1,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,OXIDASE,CHEMBL1951,CHEMBL40275,IC50,1770.0,nM,5.75,ChEMBL
Aloe emodin,P180,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,P2RY12,CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,P2T(AC),CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,P2Y PURINOCEPTOR 12,CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,P2Y(AC),CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,P2Y(ADP),CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,P2Y(CYC),CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,P2Y12,CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,P2Y12 PLATELET ADP RECEPTOR,CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,P320,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,PEROXISOME,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR BETA,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR DELTA,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,PHOSPHATASE,CHEMBL3151,CHEMBL40275,IC50,2880.0,nM,5.54,ChEMBL
Aloe emodin,PPAR-BETA,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,PPAR-DELTA,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,PPARD,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,PURINOCEPTOR,CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,RECEPTOR,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,SP1999,CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,TRITHORAX-LIKE PROTEIN,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,UNCHECKED,CHEMBL612545,CHEMBL40275,IC50,4560.0,nM,5.34,ChEMBL
Aloe emodin,ZINC FINGER PROTEIN HRX,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Alpha-lipoic acid,5'-DEOXYRIBOSE-PHOSPHATE LYASE,CHEMBL2392,CHEMBL33864,Potency,1122.0,nM,5.95,ChEMBL
Alpha-lipoic acid,5'-DRP LYASE,CHEMBL2392,CHEMBL33864,Potency,1122.0,nM,5.95,ChEMBL
Alpha-lipoic acid,70 KDA LAMIN,CHEMBL1293235,CHEMBL33864,Potency,354.8,nM,6.45,ChEMBL
Alpha-lipoic acid,ACETYLCHOLINESTERASE,CHEMBL220,CHEMBL33864,IC50,1.0,nM,9.0,ChEMBL
Alpha-lipoic acid,ACHE,CHEMBL220,CHEMBL33864,IC50,1.0,nM,9.0,ChEMBL
Alpha-lipoic acid,ACID,CHEMBL2061,CHEMBL33864,Potency,1995.3,nM,,ChEMBL
Alpha-lipoic acid,ACUTE MYELOID LEUKEMIA 1 PROTEIN,CHEMBL2093862,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,ADJACENT,CHEMBL1741220,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,ADRA1A,CHEMBL319,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ADRA1B,CHEMBL315,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ADRA1D,CHEMBL326,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ADRENERGIC,CHEMBL319,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ALPHA-1A ADRENERGIC RECEPTOR,CHEMBL319,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ALPHA-1A ADRENOCEPTOR,CHEMBL319,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ALPHA-1A ADRENORECEPTOR,CHEMBL319,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ALPHA-1B ADRENERGIC RECEPTOR,CHEMBL315,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ALPHA-1B ADRENOCEPTOR,CHEMBL315,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ALPHA-1B ADRENORECEPTOR,CHEMBL315,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ALPHA-1C ADRENERGIC RECEPTOR,CHEMBL319,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ALPHA-1D ADRENERGIC RECEPTOR,CHEMBL326,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ALPHA-1D ADRENOCEPTOR,CHEMBL326,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ALPHA-1D ADRENORECEPTOR,CHEMBL326,CHEMBL33864,Kd,10000.0,nM,,ChEMBL
Alpha-lipoic acid,ANTHRACYCLINE-ASSOCIATED RESISTANCE ARX,CHEMBL2095174,CHEMBL33864,IC50,4740.0,nM,5.32,ChEMBL
Alpha-lipoic acid,AP ENDONUCLEASE 1,CHEMBL5619,CHEMBL33864,Potency,501.2,nM,6.3,ChEMBL
Alpha-lipoic acid,AP LYASE,CHEMBL2392,CHEMBL33864,Potency,1122.0,nM,5.95,ChEMBL
Alpha-lipoic acid,APE-1,CHEMBL5619,CHEMBL33864,Potency,501.2,nM,6.3,ChEMBL
Alpha-lipoic acid,APEN,CHEMBL5619,CHEMBL33864,Potency,501.2,nM,6.3,ChEMBL
Alpha-lipoic acid,APEX NUCLEASE,CHEMBL5619,CHEMBL33864,Potency,501.2,nM,6.3,ChEMBL
Alpha-lipoic acid,APEX1,CHEMBL5619,CHEMBL33864,Potency,501.2,nM,6.3,ChEMBL
Alpha-lipoic acid,APURINIC-APYRIMIDINIC ENDONUCLEASE 1,CHEMBL5619,CHEMBL33864,Potency,501.2,nM,6.3,ChEMBL
Alpha-lipoic acid,ATP-DEPENDENT 6-PHOSPHOFRUCTOKINASE,CHEMBL5686,CHEMBL33864,Potency,477.5,nM,,ChEMBL
Alpha-lipoic acid,ATP-DEPENDENT DNA HELICASE Q1,CHEMBL1293236,CHEMBL33864,Potency,2818.4,nM,5.55,ChEMBL
Alpha-lipoic acid,ATP-PFK,CHEMBL5686,CHEMBL33864,Potency,477.5,nM,,ChEMBL
Alpha-lipoic acid,BAZ2B,CHEMBL1741220,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,BETA,CHEMBL1947,CHEMBL33864,Potency,891.3,nM,6.05,ChEMBL
Alpha-lipoic acid,BIFUNCTIONAL,CHEMBL1293297,CHEMBL33864,IC50,3910.0,nM,5.41,ChEMBL
Alpha-lipoic acid,BIFUNCTIONAL PROTEIN GLMU,CHEMBL1293297,CHEMBL33864,IC50,3910.0,nM,5.41,ChEMBL
Alpha-lipoic acid,BLM,CHEMBL1293237,CHEMBL33864,Potency,7943.3,nM,5.1,ChEMBL
Alpha-lipoic acid,BLOOM SYNDROME PROTEIN,CHEMBL1293237,CHEMBL33864,Potency,7943.3,nM,5.1,ChEMBL
Alpha-lipoic acid,BRAIN,CHEMBL1287622,CHEMBL33864,Potency,3162.3,nM,5.5,ChEMBL
Alpha-lipoic acid,BROMODOMAIN,CHEMBL1741220,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2B,CHEMBL1741220,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,C-ERBA-2,CHEMBL1947,CHEMBL33864,Potency,891.3,nM,6.05,ChEMBL
Alpha-lipoic acid,C-ERBA-BETA,CHEMBL1947,CHEMBL33864,Potency,891.3,nM,6.05,ChEMBL
Alpha-lipoic acid,CBF-ALPHA-2,CHEMBL2093862,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,CBF-BETA,CHEMBL2093862,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,CBFB,CHEMBL2093862,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,CORE-BINDING FACTOR SUBUNIT ALPHA-2,CHEMBL2093862,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,CORE-BINDING FACTOR SUBUNIT BETA,CHEMBL2093862,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,COX-2,CHEMBL230,CHEMBL33864,IC50,0.0,nM,,ChEMBL
Alpha-lipoic acid,CYCLOOXYGENASE-2,CHEMBL230,CHEMBL33864,IC50,0.0,nM,,ChEMBL
Alpha-lipoic acid,CYTOPLASMIC,CHEMBL6035,CHEMBL33864,Potency,891.3,nM,,ChEMBL
Alpha-lipoic acid,DINB PROTEIN,CHEMBL5365,CHEMBL33864,Potency,6701.6,nM,,ChEMBL
Alpha-lipoic acid,DINP,CHEMBL5365,CHEMBL33864,Potency,6701.6,nM,,ChEMBL
Alpha-lipoic acid,DNA,CHEMBL5619,CHEMBL33864,Potency,501.2,nM,6.3,ChEMBL
Alpha-lipoic acid,DNA 3'-5' HELICASE BLM,CHEMBL1293237,CHEMBL33864,Potency,7943.3,nM,5.1,ChEMBL
Alpha-lipoic acid,DNA 3'-5' HELICASE Q1,CHEMBL1293236,CHEMBL33864,Potency,2818.4,nM,5.55,ChEMBL
Alpha-lipoic acid,"DNA HELICASE, RECQ-LIKE TYPE 1",CHEMBL1293236,CHEMBL33864,Potency,2818.4,nM,5.55,ChEMBL
Alpha-lipoic acid,"DNA HELICASE, RECQ-LIKE TYPE 2",CHEMBL1293237,CHEMBL33864,Potency,7943.3,nM,5.1,ChEMBL
Alpha-lipoic acid,DNA POLYMERASE BETA,CHEMBL2392,CHEMBL33864,Potency,1122.0,nM,5.95,ChEMBL
Alpha-lipoic acid,DNA POLYMERASE ETA,CHEMBL5542,CHEMBL33864,Potency,251.2,nM,,ChEMBL
Alpha-lipoic acid,DNA POLYMERASE KAPPA,CHEMBL5365,CHEMBL33864,Potency,6701.6,nM,,ChEMBL
Alpha-lipoic acid,DNA REPAIR NUCLEASE/REDOX REGULATOR APEX1,CHEMBL5619,CHEMBL33864,Potency,501.2,nM,6.3,ChEMBL
Alpha-lipoic acid,"DNA REPAIR NUCLEASE/REDOX REGULATOR APEX1, MITOCHONDRIAL",CHEMBL5619,CHEMBL33864,Potency,501.2,nM,6.3,ChEMBL
Alpha-lipoic acid,DNA-(APURINIC OR APYRIMIDINIC SITE) ENDONUCLEASE,CHEMBL5619,CHEMBL33864,Potency,501.2,nM,6.3,ChEMBL
Alpha-lipoic acid,DNA-DEPENDENT ATPASE Q1,CHEMBL1293236,CHEMBL33864,Potency,2818.4,nM,5.55,ChEMBL
Alpha-lipoic acid,DOMAIN,CHEMBL1741220,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,EHMT2,CHEMBL6032,CHEMBL33864,Potency,1778.3,nM,,ChEMBL
Alpha-lipoic acid,ENDODEOXYRIBONUCLEASE IV,CHEMBL1293285,CHEMBL33864,Potency,891.3,nM,6.05,ChEMBL
Alpha-lipoic acid,ENDONUCLEASE,CHEMBL1293285,CHEMBL33864,Potency,891.3,nM,6.05,ChEMBL
Alpha-lipoic acid,ENDONUCLEASE 4,CHEMBL1293285,CHEMBL33864,Potency,891.3,nM,6.05,ChEMBL
Alpha-lipoic acid,ENDONUCLEASE IV,CHEMBL1293285,CHEMBL33864,Potency,891.3,nM,6.05,ChEMBL
Alpha-lipoic acid,ETA,CHEMBL5542,CHEMBL33864,Potency,251.2,nM,,ChEMBL
Alpha-lipoic acid,EUCHROMATIC HISTONE-LYSINE N-METHYLTRANSFERASE 2,CHEMBL6032,CHEMBL33864,Potency,1778.3,nM,,ChEMBL
Alpha-lipoic acid,FINGER,CHEMBL1741220,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,GEMININ,CHEMBL1293278,CHEMBL33864,Potency,163.6,nM,,ChEMBL
Alpha-lipoic acid,GENERAL CONTROL OF AMINO ACID SYNTHESIS PROTEIN 5-LIKE 2,CHEMBL5501,CHEMBL33864,Potency,3162.3,nM,,ChEMBL
Alpha-lipoic acid,GLMU,CHEMBL1293297,CHEMBL33864,IC50,3910.0,nM,5.41,ChEMBL
Alpha-lipoic acid,GLUCOSAMINE-1-PHOSPHATE N-ACETYLTRANSFERASE,CHEMBL1293297,CHEMBL33864,IC50,3910.0,nM,5.41,ChEMBL
Alpha-lipoic acid,GMNN,CHEMBL1293278,CHEMBL33864,Potency,163.6,nM,,ChEMBL
Alpha-lipoic acid,GROUP,CHEMBL3401,CHEMBL33864,EC50,2800.0,nM,5.55,ChEMBL
Alpha-lipoic acid,H-L(3)MBT,CHEMBL1287622,CHEMBL33864,Potency,3162.3,nM,5.5,ChEMBL
Alpha-lipoic acid,H-L(3)MBT PROTEIN,CHEMBL1287622,CHEMBL33864,Potency,3162.3,nM,5.5,ChEMBL
Alpha-lipoic acid,H3-K9-HMTASE 3,CHEMBL6032,CHEMBL33864,Potency,1778.3,nM,,ChEMBL
Alpha-lipoic acid,HEK293,CHEMBL614818,CHEMBL33864,Potency,5802.4,nM,,ChEMBL
Alpha-lipoic acid,HELICASE,CHEMBL1293236,CHEMBL33864,Potency,2818.4,nM,5.55,ChEMBL
Alpha-lipoic acid,HGCN5,CHEMBL5501,CHEMBL33864,Potency,3162.3,nM,,ChEMBL
Alpha-lipoic acid,HISTONE,CHEMBL5501,CHEMBL33864,Potency,3162.3,nM,,ChEMBL
Alpha-lipoic acid,HISTONE ACETYLTRANSFERASE GCN5,CHEMBL5501,CHEMBL33864,Potency,3162.3,nM,,ChEMBL
Alpha-lipoic acid,HISTONE ACETYLTRANSFERASE KAT2A,CHEMBL5501,CHEMBL33864,Potency,3162.3,nM,,ChEMBL
Alpha-lipoic acid,HISTONE GLUTARYLTRANSFERASE KAT2A,CHEMBL5501,CHEMBL33864,Potency,3162.3,nM,,ChEMBL
Alpha-lipoic acid,HISTONE H3-K9 METHYLTRANSFERASE 3,CHEMBL6032,CHEMBL33864,Potency,1778.3,nM,,ChEMBL
Alpha-lipoic acid,HISTONE SUCCINYLTRANSFERASE KAT2A,CHEMBL5501,CHEMBL33864,Potency,3162.3,nM,,ChEMBL
Alpha-lipoic acid,HISTONE-LYSINE N-METHYLTRANSFERASE EHMT2,CHEMBL6032,CHEMBL33864,Potency,1778.3,nM,,ChEMBL
Alpha-lipoic acid,HLA-B-ASSOCIATED TRANSCRIPT 8,CHEMBL6032,CHEMBL33864,Potency,1778.3,nM,,ChEMBL
Alpha-lipoic acid,HORMONE,CHEMBL1947,CHEMBL33864,Potency,891.3,nM,6.05,ChEMBL
Alpha-lipoic acid,HWALP4,CHEMBL1741220,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,KAPPA,CHEMBL5365,CHEMBL33864,Potency,6701.6,nM,,ChEMBL
Alpha-lipoic acid,KAT2A,CHEMBL5501,CHEMBL33864,Potency,3162.3,nM,,ChEMBL
Alpha-lipoic acid,L(3)MBT PROTEIN HOMOLOG,CHEMBL1287622,CHEMBL33864,Potency,3162.3,nM,5.5,ChEMBL
Alpha-lipoic acid,L(3)MBT-LIKE,CHEMBL1287622,CHEMBL33864,Potency,3162.3,nM,5.5,ChEMBL
Alpha-lipoic acid,L3MBTL1,CHEMBL1287622,CHEMBL33864,Potency,3162.3,nM,5.5,ChEMBL
Alpha-lipoic acid,LAMIN-A/C,CHEMBL1293235,CHEMBL33864,Potency,354.8,nM,6.45,ChEMBL
Alpha-lipoic acid,LETHAL,CHEMBL1287622,CHEMBL33864,Potency,3162.3,nM,5.5,ChEMBL
Alpha-lipoic acid,LETHAL(3)MALIGNANT BRAIN TUMOR-LIKE PROTEIN 1,CHEMBL1287622,CHEMBL33864,Potency,3162.3,nM,5.5,ChEMBL
Alpha-lipoic acid,LMNA,CHEMBL1293235,CHEMBL33864,Potency,354.8,nM,6.45,ChEMBL
Alpha-lipoic acid,LYSINE ACETYLTRANSFERASE 2A,CHEMBL5501,CHEMBL33864,Potency,3162.3,nM,,ChEMBL
Alpha-lipoic acid,LYSINE N-METHYLTRANSFERASE 1C,CHEMBL6032,CHEMBL33864,Potency,1778.3,nM,,ChEMBL
Alpha-lipoic acid,MALIGNANT,CHEMBL1287622,CHEMBL33864,Potency,3162.3,nM,5.5,ChEMBL
Alpha-lipoic acid,MEMBER,CHEMBL3401,CHEMBL33864,EC50,2800.0,nM,5.55,ChEMBL
Alpha-lipoic acid,N-ACETYLGLUCOSAMINE-1-PHOSPHATE URIDYLTRANSFERASE,CHEMBL1293297,CHEMBL33864,IC50,3910.0,nM,5.41,ChEMBL
Alpha-lipoic acid,NADPH-DEPENDENT THIOREDOXIN REDUCTASE,CHEMBL6035,CHEMBL33864,Potency,891.3,nM,,ChEMBL
Alpha-lipoic acid,NFO,CHEMBL1293285,CHEMBL33864,Potency,891.3,nM,6.05,ChEMBL
Alpha-lipoic acid,NON-PROTEIN TARGET,CHEMBL3879801,CHEMBL33864,IC50,1950.0,nM,5.71,ChEMBL
Alpha-lipoic acid,NR1I2,CHEMBL3401,CHEMBL33864,EC50,2800.0,nM,5.55,ChEMBL
Alpha-lipoic acid,NUCLEAR,CHEMBL3401,CHEMBL33864,EC50,2800.0,nM,5.55,ChEMBL
Alpha-lipoic acid,NUCLEAR RECEPTOR SUBFAMILY 1 GROUP A MEMBER 2,CHEMBL1947,CHEMBL33864,Potency,891.3,nM,6.05,ChEMBL
Alpha-lipoic acid,NUCLEAR RECEPTOR SUBFAMILY 1 GROUP I MEMBER 2,CHEMBL3401,CHEMBL33864,EC50,2800.0,nM,5.55,ChEMBL
Alpha-lipoic acid,NUCLEAR RECEPTOR SUBFAMILY 2 GROUP B MEMBER 1,CHEMBL2061,CHEMBL33864,Potency,1995.3,nM,,ChEMBL
Alpha-lipoic acid,ONCOGENE AML-1,CHEMBL2093862,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,ORPHAN NUCLEAR RECEPTOR PAR1,CHEMBL3401,CHEMBL33864,EC50,2800.0,nM,5.55,ChEMBL
Alpha-lipoic acid,ORPHAN NUCLEAR RECEPTOR PXR,CHEMBL3401,CHEMBL33864,EC50,2800.0,nM,5.55,ChEMBL
Alpha-lipoic acid,PEA2-ALPHA B,CHEMBL2093862,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,PEA2-BETA,CHEMBL2093862,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,PEBP2-ALPHA B,CHEMBL2093862,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,PEBP2-BETA,CHEMBL2093862,CHEMBL33864,Potency,1000.0,nM,,ChEMBL
Alpha-lipoic acid,PEROXIDASE TXNRD1,CHEMBL6035,CHEMBL33864,Potency,891.3,nM,,ChEMBL
Alpha-lipoic acid,PFK,CHEMBL5686,CHEMBL33864,Potency,477.5,nM,,ChEMBL
Alpha-lipoic acid,PGH SYNTHASE 2,CHEMBL230,CHEMBL33864,IC50,0.0,nM,,ChEMBL
Alpha-lipoic acid,PGHS-2,CHEMBL230,CHEMBL33864,IC50,0.0,nM,,ChEMBL
Alpha-lipoic acid,PHOSPHOFRUCTOKINASE,CHEMBL5686,CHEMBL33864,Potency,477.5,nM,,ChEMBL
Alpha-lipoic acid,PHOSPHOHEXOKINASE,CHEMBL5686,CHEMBL33864,Potency,477.5,nM,,ChEMBL
Alpha-lipoic acid,PHS II,CHEMBL230,CHEMBL33864,IC50,0.0,nM,,ChEMBL
Alpha-lipoic acid,POLB,CHEMBL2392,CHEMBL33864,Potency,1122.0,nM,5.95,ChEMBL
Alpha-lipoic acid,POLH,CHEMBL5542,CHEMBL33864,Potency,251.2,nM,,ChEMBL
