gene,pathway,source,adj_p_value
SMURF2,TGF-beta signaling pathway,KEGG_2021_Human,0.0003993331686986875
SP1,TGF-beta signaling pathway,KEGG_2021_Human,0.0003993331686986875
MAPK1,TGF-beta signaling pathway,KEGG_2021_Human,0.0003993331686986875
ACVR1B,TGF-beta signaling pathway,KEGG_2021_Human,0.0003993331686986875
ABCC1,MicroRNAs in cancer,KEGG_2021_Human,0.0005382384706565949
ZEB1,MicroRNAs in cancer,KEGG_2021_Human,0.0005382384706565949
SOCS1,MicroRNAs in cancer,KEGG_2021_Human,0.0005382384706565949
E2F1,MicroRNAs in cancer,KEGG_2021_Human,0.0005382384706565949
HMOX1,MicroRNAs in cancer,KEGG_2021_Human,0.0005382384706565949
MAPK1,MicroRNAs in cancer,KEGG_2021_Human,0.0005382384706565949
E2F3,MicroRNAs in cancer,KEGG_2021_Human,0.0005382384706565949
PTGS2,MicroRNAs in cancer,KEGG_2021_Human,0.0005382384706565949
IL6,Amoebiasis,KEGG_2021_Human,0.0005629067228045292
CXCL8,Amoebiasis,KEGG_2021_Human,0.0005629067228045292
IFNG,Amoebiasis,KEGG_2021_Human,0.0005629067228045292
IL1B,Amoebiasis,KEGG_2021_Human,0.0005629067228045292
TLR4,Amoebiasis,KEGG_2021_Human,0.0005629067228045292
IL6,Legionellosis,KEGG_2021_Human,0.0006751062705854554
CXCL8,Legionellosis,KEGG_2021_Human,0.0006751062705854554
IL1B,Legionellosis,KEGG_2021_Human,0.0006751062705854554
TLR4,Legionellosis,KEGG_2021_Human,0.0006751062705854554
STAT1,Human papillomavirus infection,KEGG_2021_Human,0.0007909749637621581
PPP2R2B,Human papillomavirus infection,KEGG_2021_Human,0.0007909749637621581
IRF1,Human papillomavirus infection,KEGG_2021_Human,0.0007909749637621581
WNT5A,Human papillomavirus infection,KEGG_2021_Human,0.0007909749637621581
E2F1,Human papillomavirus infection,KEGG_2021_Human,0.0007909749637621581
MAPK1,Human papillomavirus infection,KEGG_2021_Human,0.0007909749637621581
PTGS2,Human papillomavirus infection,KEGG_2021_Human,0.0007909749637621581
IRF9,Human papillomavirus infection,KEGG_2021_Human,0.0007909749637621581
IL6,Salmonella infection,KEGG_2021_Human,0.0007923227052294272
CXCL8,Salmonella infection,KEGG_2021_Human,0.0007923227052294272
IL1B,Salmonella infection,KEGG_2021_Human,0.0007923227052294272
MAPK1,Salmonella infection,KEGG_2021_Human,0.0007923227052294272
NLRP3,Salmonella infection,KEGG_2021_Human,0.0007923227052294272
MAPK14,Salmonella infection,KEGG_2021_Human,0.0007923227052294272
TLR4,Salmonella infection,KEGG_2021_Human,0.0007923227052294272
CXCL10,Cytosolic DNA-sensing pathway,KEGG_2021_Human,0.0009373287232254374
IL6,Cytosolic DNA-sensing pathway,KEGG_2021_Human,0.0009373287232254374
IL1B,Cytosolic DNA-sensing pathway,KEGG_2021_Human,0.0009373287232254374
IRF7,Cytosolic DNA-sensing pathway,KEGG_2021_Human,0.0009373287232254374
SOCS2,"Growth hormone synthesis, secretion and action",KEGG_2021_Human,0.0010463528597229
SOCS1,"Growth hormone synthesis, secretion and action",KEGG_2021_Human,0.0010463528597229
STAT1,"Growth hormone synthesis, secretion and action",KEGG_2021_Human,0.0010463528597229
MAPK1,"Growth hormone synthesis, secretion and action",KEGG_2021_Human,0.0010463528597229
MAPK14,"Growth hormone synthesis, secretion and action",KEGG_2021_Human,0.0010463528597229
MAPK1,Neutrophil extracellular trap formation,KEGG_2021_Human,0.0011373117742004
HMGB1,Neutrophil extracellular trap formation,KEGG_2021_Human,0.0011373117742004
PADI4,Neutrophil extracellular trap formation,KEGG_2021_Human,0.0011373117742004
MAPK14,Neutrophil extracellular trap formation,KEGG_2021_Human,0.0011373117742004
MPO,Neutrophil extracellular trap formation,KEGG_2021_Human,0.0011373117742004
TLR4,Neutrophil extracellular trap formation,KEGG_2021_Human,0.0011373117742004
IL6,Transcriptional misregulation in cancer,KEGG_2021_Human,0.0012143722869351
CXCL8,Transcriptional misregulation in cancer,KEGG_2021_Human,0.0012143722869351
ZEB1,Transcriptional misregulation in cancer,KEGG_2021_Human,0.0012143722869351
BCL6,Transcriptional misregulation in cancer,KEGG_2021_Human,0.0012143722869351
SP1,Transcriptional misregulation in cancer,KEGG_2021_Human,0.0012143722869351
MPO,Transcriptional misregulation in cancer,KEGG_2021_Human,0.0012143722869351
EGR1,Prion disease,KEGG_2021_Human,0.001259236232173
IL6,Prion disease,KEGG_2021_Human,0.001259236232173
IL1B,Prion disease,KEGG_2021_Human,0.001259236232173
MAPK1,Prion disease,KEGG_2021_Human,0.001259236232173
MAPK14,Prion disease,KEGG_2021_Human,0.001259236232173
MCU,Prion disease,KEGG_2021_Human,0.001259236232173
SOD1,Prion disease,KEGG_2021_Human,0.001259236232173
CXCL10,RIG-I-like receptor signaling pathway,KEGG_2021_Human,0.0012807491353308
CXCL8,RIG-I-like receptor signaling pathway,KEGG_2021_Human,0.0012807491353308
IRF7,RIG-I-like receptor signaling pathway,KEGG_2021_Human,0.0012807491353308
MAPK14,RIG-I-like receptor signaling pathway,KEGG_2021_Human,0.0012807491353308
IL6,FoxO signaling pathway,KEGG_2021_Human,0.0014867020714728
BCL6,FoxO signaling pathway,KEGG_2021_Human,0.0014867020714728
SETD7,FoxO signaling pathway,KEGG_2021_Human,0.0014867020714728
MAPK1,FoxO signaling pathway,KEGG_2021_Human,0.0014867020714728
MAPK14,FoxO signaling pathway,KEGG_2021_Human,0.0014867020714728
STAT1,Pancreatic cancer,KEGG_2021_Human,0.0016927480039477
E2F1,Pancreatic cancer,KEGG_2021_Human,0.0016927480039477
MAPK1,Pancreatic cancer,KEGG_2021_Human,0.0016927480039477
E2F3,Pancreatic cancer,KEGG_2021_Human,0.0016927480039477
CD74,Antigen processing and presentation,KEGG_2021_Human,0.0018341769890577
IFNG,Antigen processing and presentation,KEGG_2021_Human,0.0018341769890577
CTSB,Antigen processing and presentation,KEGG_2021_Human,0.0018341769890577
LGMN,Antigen processing and presentation,KEGG_2021_Human,0.0018341769890577
CXCL10,Cytokine-cytokine receptor interaction,KEGG_2021_Human,0.0018341769890577
IL6,Cytokine-cytokine receptor interaction,KEGG_2021_Human,0.0018341769890577
CXCL8,Cytokine-cytokine receptor interaction,KEGG_2021_Human,0.0018341769890577
IFNG,Cytokine-cytokine receptor interaction,KEGG_2021_Human,0.0018341769890577
IL1B,Cytokine-cytokine receptor interaction,KEGG_2021_Human,0.0018341769890577
LIFR,Cytokine-cytokine receptor interaction,KEGG_2021_Human,0.0018341769890577
ACVR1B,Cytokine-cytokine receptor interaction,KEGG_2021_Human,0.0018341769890577
WNT5A,Signaling pathways regulating pluripotency of stem cells,KEGG_2021_Human,0.0020716953527339
MAPK1,Signaling pathways regulating pluripotency of stem cells,KEGG_2021_Human,0.0020716953527339
LIFR,Signaling pathways regulating pluripotency of stem cells,KEGG_2021_Human,0.0020716953527339
ACVR1B,Signaling pathways regulating pluripotency of stem cells,KEGG_2021_Human,0.0020716953527339
MAPK14,Signaling pathways regulating pluripotency of stem cells,KEGG_2021_Human,0.0020716953527339
SP1,Breast cancer,KEGG_2021_Human,0.0023093062924079
WNT5A,Breast cancer,KEGG_2021_Human,0.0023093062924079
E2F1,Breast cancer,KEGG_2021_Human,0.0023093062924079
MAPK1,Breast cancer,KEGG_2021_Human,0.0023093062924079
E2F3,Breast cancer,KEGG_2021_Human,0.0023093062924079
IL6,African trypanosomiasis,KEGG_2021_Human,0.0023483870931434
IFNG,African trypanosomiasis,KEGG_2021_Human,0.0023483870931434
IL1B,African trypanosomiasis,KEGG_2021_Human,0.0023483870931434
SP1,Cushing syndrome,KEGG_2021_Human,0.0027959421297898
WNT5A,Cushing syndrome,KEGG_2021_Human,0.0027959421297898
E2F1,Cushing syndrome,KEGG_2021_Human,0.0027959421297898
MAPK1,Cushing syndrome,KEGG_2021_Human,0.0027959421297898
E2F3,Cushing syndrome,KEGG_2021_Human,0.0027959421297898
ERN1,Non-alcoholic fatty liver disease,KEGG_2021_Human,0.0027959421297898
IL6,Non-alcoholic fatty liver disease,KEGG_2021_Human,0.0027959421297898
CXCL8,Non-alcoholic fatty liver disease,KEGG_2021_Human,0.0027959421297898
IL1B,Non-alcoholic fatty liver disease,KEGG_2021_Human,0.0027959421297898
MAPK14,Non-alcoholic fatty liver disease,KEGG_2021_Human,0.0027959421297898
IL6,Graft-versus-host disease,KEGG_2021_Human,0.0032550287351692
IFNG,Graft-versus-host disease,KEGG_2021_Human,0.0032550287351692
IL1B,Graft-versus-host disease,KEGG_2021_Human,0.0032550287351692
CXCL8,Shigellosis,KEGG_2021_Human,0.0035831788274024
IL1B,Shigellosis,KEGG_2021_Human,0.0035831788274024
MAPK1,Shigellosis,KEGG_2021_Human,0.0035831788274024
NLRP3,Shigellosis,KEGG_2021_Human,0.0035831788274024
MAPK14,Shigellosis,KEGG_2021_Human,0.0035831788274024
TLR4,Shigellosis,KEGG_2021_Human,0.0035831788274024
ZEB1,Prostate cancer,KEGG_2021_Human,0.0036114007131091
E2F1,Prostate cancer,KEGG_2021_Human,0.0036114007131091
MAPK1,Prostate cancer,KEGG_2021_Human,0.0036114007131091
E2F3,Prostate cancer,KEGG_2021_Human,0.0036114007131091
SOCS2,Type II diabetes mellitus,KEGG_2021_Human,0.0040603089357267
SOCS1,Type II diabetes mellitus,KEGG_2021_Human,0.0040603089357267
MAPK1,Type II diabetes mellitus,KEGG_2021_Human,0.0040603089357267
IFNG,T cell receptor signaling pathway,KEGG_2021_Human,0.0045384086342789
MAPK1,T cell receptor signaling pathway,KEGG_2021_Human,0.0045384086342789
MAPK14,T cell receptor signaling pathway,KEGG_2021_Human,0.0045384086342789
MAP3K14,T cell receptor signaling pathway,KEGG_2021_Human,0.0045384086342789
EGR1,"Parathyroid hormone synthesis, secretion and action",KEGG_2021_Human,0.0047990230652479
SP1,"Parathyroid hormone synthesis, secretion and action",KEGG_2021_Human,0.0047990230652479
PDE4B,"Parathyroid hormone synthesis, secretion and action",KEGG_2021_Human,0.0047990230652479
MAPK1,"Parathyroid hormone synthesis, secretion and action",KEGG_2021_Human,0.0047990230652479
ABCC1,Sphingolipid signaling pathway,KEGG_2021_Human,0.0072150497824104
PPP2R2B,Sphingolipid signaling pathway,KEGG_2021_Human,0.0072150497824104
MAPK1,Sphingolipid signaling pathway,KEGG_2021_Human,0.0072150497824104
MAPK14,Sphingolipid signaling pathway,KEGG_2021_Human,0.0072150497824104
MAPK1,VEGF signaling pathway,KEGG_2021_Human,0.0078574975959995
PTGS2,VEGF signaling pathway,KEGG_2021_Human,0.0078574975959995
MAPK14,VEGF signaling pathway,KEGG_2021_Human,0.0078574975959995
WNT5A,Proteoglycans in cancer,KEGG_2021_Human,0.0083724440790152
MAPK1,Proteoglycans in cancer,KEGG_2021_Human,0.0083724440790152
MAPK14,Proteoglycans in cancer,KEGG_2021_Human,0.0083724440790152
TLR4,Proteoglycans in cancer,KEGG_2021_Human,0.0083724440790152
HIF1A,Proteoglycans in cancer,KEGG_2021_Human,0.0083724440790152
SP1,Mitophagy,KEGG_2021_Human,0.0114294801749892
E2F1,Mitophagy,KEGG_2021_Human,0.0114294801749892
HIF1A,Mitophagy,KEGG_2021_Human,0.0114294801749892
HERC2,Ubiquitin mediated proteolysis,KEGG_2021_Human,0.0119213850251977
SOCS1,Ubiquitin mediated proteolysis,KEGG_2021_Human,0.0119213850251977
SMURF2,Ubiquitin mediated proteolysis,KEGG_2021_Human,0.0119213850251977
KEAP1,Ubiquitin mediated proteolysis,KEGG_2021_Human,0.0119213850251977
MAPK1,Central carbon metabolism in cancer,KEGG_2021_Human,0.0119213850251977
SLC1A5,Central carbon metabolism in cancer,KEGG_2021_Human,0.0119213850251977
HIF1A,Central carbon metabolism in cancer,KEGG_2021_Human,0.0119213850251977
CXCL8,Epithelial cell signaling in Helicobacter pylori infection,KEGG_2021_Human,0.0119213850251977
MAPK14,Epithelial cell signaling in Helicobacter pylori infection,KEGG_2021_Human,0.0119213850251977
MAP3K14,Epithelial cell signaling in Helicobacter pylori infection,KEGG_2021_Human,0.0119213850251977
ERN1,Apoptosis,KEGG_2021_Human,0.012366797081644
MAPK1,Apoptosis,KEGG_2021_Human,0.012366797081644
MAP3K14,Apoptosis,KEGG_2021_Human,0.012366797081644
CTSB,Apoptosis,KEGG_2021_Human,0.012366797081644
E2F1,Melanoma,KEGG_2021_Human,0.0124215439920774
MAPK1,Melanoma,KEGG_2021_Human,0.0124215439920774
E2F3,Melanoma,KEGG_2021_Human,0.0124215439920774
E2F1,Non-small cell lung cancer,KEGG_2021_Human,0.0124215439920774
MAPK1,Non-small cell lung cancer,KEGG_2021_Human,0.0124215439920774
E2F3,Non-small cell lung cancer,KEGG_2021_Human,0.0124215439920774
E2F1,Glioma,KEGG_2021_Human,0.0137494629954895
MAPK1,Glioma,KEGG_2021_Human,0.0137494629954895
E2F3,Glioma,KEGG_2021_Human,0.0137494629954895
WNT5A,Gastric cancer,KEGG_2021_Human,0.0139256564929414
E2F1,Gastric cancer,KEGG_2021_Human,0.0139256564929414
MAPK1,Gastric cancer,KEGG_2021_Human,0.0139256564929414
E2F3,Gastric cancer,KEGG_2021_Human,0.0139256564929414
E2F1,Chronic myeloid leukemia,KEGG_2021_Human,0.0139256564929414
MAPK1,Chronic myeloid leukemia,KEGG_2021_Human,0.0139256564929414
E2F3,Chronic myeloid leukemia,KEGG_2021_Human,0.0139256564929414
YAP1,Hippo signaling pathway,KEGG_2021_Human,0.0185973470869056
WWTR1,Hippo signaling pathway,KEGG_2021_Human,0.0185973470869056
PPP2R2B,Hippo signaling pathway,KEGG_2021_Human,0.0185973470869056
WNT5A,Hippo signaling pathway,KEGG_2021_Human,0.0185973470869056
E2F1,Small cell lung cancer,KEGG_2021_Human,0.0229974329409235
E2F3,Small cell lung cancer,KEGG_2021_Human,0.0229974329409235
PTGS2,Small cell lung cancer,KEGG_2021_Human,0.0229974329409235
CD74,Herpes simplex virus 1 infection,KEGG_2021_Human,0.0231443862108025
IL6,Herpes simplex virus 1 infection,KEGG_2021_Human,0.0231443862108025
IFNG,Herpes simplex virus 1 infection,KEGG_2021_Human,0.0231443862108025
STAT1,Herpes simplex virus 1 infection,KEGG_2021_Human,0.0231443862108025
IL1B,Herpes simplex virus 1 infection,KEGG_2021_Human,0.0231443862108025
IRF7,Herpes simplex virus 1 infection,KEGG_2021_Human,0.0231443862108025
IRF9,Herpes simplex virus 1 infection,KEGG_2021_Human,0.0231443862108025
EGR1,GnRH signaling pathway,KEGG_2021_Human,0.0231443862108025
MAPK1,GnRH signaling pathway,KEGG_2021_Human,0.0231443862108025
MAPK14,GnRH signaling pathway,KEGG_2021_Human,0.0231443862108025
EPHA4,Axon guidance,KEGG_2021_Human,0.0258774790984234
WNT5A,Axon guidance,KEGG_2021_Human,0.0258774790984234
MAPK1,Axon guidance,KEGG_2021_Human,0.0258774790984234
EPHA2,Axon guidance,KEGG_2021_Human,0.0258774790984234
SP1,Choline metabolism in cancer,KEGG_2021_Human,0.0260734206552569
MAPK1,Choline metabolism in cancer,KEGG_2021_Human,0.0260734206552569
HIF1A,Choline metabolism in cancer,KEGG_2021_Human,0.0260734206552569
IL6,Hematopoietic cell lineage,KEGG_2021_Human,0.0265017850187585
TFRC,Hematopoietic cell lineage,KEGG_2021_Human,0.0265017850187585
IL1B,Hematopoietic cell lineage,KEGG_2021_Human,0.0265017850187585
CXCL10,Viral protein interaction with cytokine and cytokine receptor,KEGG_2021_Human,0.0269320442891411
IL6,Viral protein interaction with cytokine and cytokine receptor,KEGG_2021_Human,0.0269320442891411
CXCL8,Viral protein interaction with cytokine and cytokine receptor,KEGG_2021_Human,0.0269320442891411
EDN1,Melanogenesis,KEGG_2021_Human,0.0273641640813943
WNT5A,Melanogenesis,KEGG_2021_Human,0.0273641640813943
MAPK1,Melanogenesis,KEGG_2021_Human,0.0273641640813943
IL1B,MAPK signaling pathway,KEGG_2021_Human,0.0290147692836353
MAPK1,MAPK signaling pathway,KEGG_2021_Human,0.0290147692836353
MAPK14,MAPK signaling pathway,KEGG_2021_Human,0.0290147692836353
MAP3K14,MAPK signaling pathway,KEGG_2021_Human,0.0290147692836353
EPHA2,MAPK signaling pathway,KEGG_2021_Human,0.0290147692836353
CXCL10,Chemokine signaling pathway,KEGG_2021_Human,0.0290147692836353
CXCL8,Chemokine signaling pathway,KEGG_2021_Human,0.0290147692836353
STAT1,Chemokine signaling pathway,KEGG_2021_Human,0.0290147692836353
MAPK1,Chemokine signaling pathway,KEGG_2021_Human,0.0290147692836353
ALOX15,Serotonergic synapse,KEGG_2021_Human,0.0357465914459217
MAPK1,Serotonergic synapse,KEGG_2021_Human,0.0357465914459217
PTGS2,Serotonergic synapse,KEGG_2021_Human,0.0357465914459217
IFNG,Type I diabetes mellitus,KEGG_2021_Human,0.0373607549941635
IL1B,Type I diabetes mellitus,KEGG_2021_Human,0.0373607549941635
MAPK1,Rap1 signaling pathway,KEGG_2021_Human,0.0378324813798753
PRKD1,Rap1 signaling pathway,KEGG_2021_Human,0.0378324813798753
MAPK14,Rap1 signaling pathway,KEGG_2021_Human,0.0378324813798753
EPHA2,Rap1 signaling pathway,KEGG_2021_Human,0.0378324813798753
STAT1,Thyroid hormone signaling pathway,KEGG_2021_Human,0.0414867899424758
MAPK1,Thyroid hormone signaling pathway,KEGG_2021_Human,0.0414867899424758
HIF1A,Thyroid hormone signaling pathway,KEGG_2021_Human,0.0414867899424758
IL6,Intestinal immune network for IgA production,KEGG_2021_Human,0.0445758862797816
MAP3K14,Intestinal immune network for IgA production,KEGG_2021_Human,0.0445758862797816
GSS,Cysteine and methionine metabolism,KEGG_2021_Human,0.0475555360183549
CDO1,Cysteine and methionine metabolism,KEGG_2021_Human,0.0475555360183549
EDN1,Relaxin signaling pathway,KEGG_2021_Human,0.0475555360183549
MAPK1,Relaxin signaling pathway,KEGG_2021_Human,0.0475555360183549
MAPK14,Relaxin signaling pathway,KEGG_2021_Human,0.0475555360183549
CXCL8,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
ALOX15,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
KEAP1,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
TNFAIP3,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
HMGB1,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
PTGS2,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
MPO,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
HIF1A,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
SOCS2,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
HERC2,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
SOCS1,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
HMOX1,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
MAPK1,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
NLRP3,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
CTSB,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
CD74,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
EGR1,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
SMURF2,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
STAT1,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
LIFR,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
MAPK14,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
FBXO31,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
SOD1,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
CXCL10,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
IL6,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
ZEB1,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
IFNG,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
BCL6,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
IL1B,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
IRF1,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
IRF7,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
LCN2,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
TXNIP,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
FBXL5,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
TLR4,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
MAP3K14,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
IRF9,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
S100A8,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
LGMN,Immune System R-HSA-168256,Reactome_2022,5.418998304759844e-13
CXCL8,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
ALOX15,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
HMGB1,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
PTGS2,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
HIF1A,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
SOCS2,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
SOCS1,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
HMOX1,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
MAPK1,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
EGR1,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
STAT1,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
LIFR,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
MAPK14,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
SOD1,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
CXCL10,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
IL6,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
ZEB1,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
IFNG,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
BCL6,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
IL1B,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
IRF1,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
IRF7,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
LCN2,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
MAP3K14,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
IRF9,Cytokine Signaling In Immune System R-HSA-1280215,Reactome_2022,5.418998304759844e-13
CXCL8,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
STAT1,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
ALOX15,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
LIFR,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
HMGB1,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
PTGS2,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
MAPK14,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
HIF1A,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
SOD1,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
SOCS2,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
CXCL10,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
IL6,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
ZEB1,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
SOCS1,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
IFNG,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
BCL6,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
IL1B,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
LCN2,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
HMOX1,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
MAPK1,Signaling By Interleukins R-HSA-449147,Reactome_2022,6.592107211405107e-12
IL6,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,1.6814533648199198e-11
CXCL8,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,1.6814533648199198e-11
ZEB1,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,1.6814533648199198e-11
SOCS1,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,1.6814533648199198e-11
BCL6,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,1.6814533648199198e-11
STAT1,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,1.6814533648199198e-11
IL1B,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,1.6814533648199198e-11
ALOX15,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,1.6814533648199198e-11
LCN2,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,1.6814533648199198e-11
HMOX1,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,1.6814533648199198e-11
PTGS2,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,1.6814533648199198e-11
HIF1A,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,1.6814533648199198e-11
KDM6B,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
ABCC1,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
CXCL8,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
KEAP1,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
NR1D1,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
MAPK14,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
HIF1A,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
HERPUD1,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
SOD1,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
ERN1,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
IL6,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
E2F1,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
TXNIP,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
HMOX1,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10
