,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
VDAC3,0.12982398,0.12616546,-0.18981056,0.2266408,0.34563416,-0.18225853,0.11661707,-0.20310655,-0.4494186,0.2582736,0.31998488,0.3602925,-0.14261548,0.5470223,0.03978023,-0.2677369
VEGFA,0.13317123,0.12446593,-0.19798534,0.21199511,0.3459304,-0.16933505,0.11360525,-0.21312961,-0.45867637,0.25046527,0.30973494,0.351089,-0.13968456,0.556442,0.040825352,-0.27433205
WNT5A,-0.06468822,-0.13892895,-0.25615603,0.060807377,0.10882042,-0.22284341,0.12721187,0.24787799,-0.23035303,0.26655033,-0.01676248,0.17839861,0.109068215,0.27260083,0.0016908124,-0.3181821
WRN,0.10391462,0.09538211,-0.20616072,0.21900839,0.33487612,-0.17622928,0.1085881,-0.15455836,-0.44954532,0.25863075,0.30021137,0.3635918,-0.08788912,0.5181816,0.035374925,-0.25402972
WWTR1,-0.057020564,-0.13444993,-0.25984842,0.056865446,0.114946336,-0.21566474,0.12925065,0.23609877,-0.23782277,0.26000583,-0.021173224,0.17087781,0.10203628,0.28327733,-0.0019511282,-0.31944704
XRCC1,0.14073649,0.13143662,-0.18975012,0.22328117,0.3523187,-0.1770164,0.12122737,-0.21600482,-0.45342034,0.2572513,0.31252432,0.35039955,-0.1532324,0.5567698,0.03538817,-0.27157015
XRCC5,0.13433558,0.13397631,-0.18344718,0.2314099,0.34679878,-0.18703528,0.118105955,-0.21275175,-0.44656238,0.2615142,0.32883316,0.3635619,-0.15572947,0.55116874,0.042605735,-0.2709798
XRCC6,0.13820118,0.13391194,-0.18656264,0.22609584,0.34899414,-0.18137756,0.11925139,-0.21734285,-0.45092157,0.25642225,0.32319474,0.35729456,-0.15683906,0.556024,0.04019607,-0.27119702
YAP1,-0.0462365,-0.12721154,-0.26942933,0.031770024,0.1149395,-0.19553874,0.13082573,0.21193781,-0.24556932,0.24818346,-0.04257442,0.14395311,0.089077815,0.3016774,-0.0017237738,-0.33641648
ZEB1,-0.044715106,-0.13349888,-0.2718619,0.02108413,0.10770283,-0.19394854,0.13131386,0.21459356,-0.24213025,0.24308759,-0.04985355,0.13799527,0.08796861,0.30368847,-0.0016600043,-0.3434977
