compound,rank_in_compound,gene,binding_probability
Alpha-lipoic acid,8,MAPK1,0.44458407163619995
Alpha-lipoic acid,9,LGMN,0.44457629323005676
Alpha-lipoic acid,10,PTGS2,0.44452592730522156
Melatonin,1,CTSB,0.4355238676071167
Melatonin,2,SOCS1,0.43545758724212646
Melatonin,3,HIF1A,0.4353620409965515
Melatonin,4,LCN2,0.4353504776954651
Melatonin,5,SLC1A5,0.43526870012283325
Melatonin,6,IRF9,0.4352090358734131
Melatonin,7,BCL6,0.4351547956466675
Melatonin,8,MAPK1,0.43510863184928894
Melatonin,9,LGMN,0.4351005554199219
Melatonin,10,PTGS2,0.4350454807281494
Huperzine A,1,CTSB,0.4318244159221649
Huperzine A,2,SOCS1,0.4317195415496826
Huperzine A,3,LCN2,0.43166640400886536
Huperzine A,4,HIF1A,0.43164509534835815
Huperzine A,5,SLC1A5,0.4315401017665863
Huperzine A,6,IRF9,0.4315354526042938
Huperzine A,7,BCL6,0.43143731355667114
Huperzine A,8,LGMN,0.4314332604408264
Huperzine A,9,MAPK1,0.4314139485359192
Huperzine A,10,PTGS2,0.43133556842803955
N-acetylcysteine,1,CTSB,0.4455465078353882
N-acetylcysteine,2,SOCS1,0.4454774558544159
N-acetylcysteine,3,HIF1A,0.4453818202018738
N-acetylcysteine,4,LCN2,0.44536706805229187
N-acetylcysteine,5,SLC1A5,0.4452567994594574
N-acetylcysteine,6,IRF9,0.445240318775177
N-acetylcysteine,7,BCL6,0.44520190358161926
N-acetylcysteine,8,MAPK1,0.4451413154602051
N-acetylcysteine,9,LGMN,0.4451335370540619
N-acetylcysteine,10,PTGS2,0.4450831115245819
