compound,rank_in_compound,gene,binding_probability
Eucalyptol,5,IRF9,0.4411764144897461
Eucalyptol,6,SLC1A5,0.4411744773387909
Eucalyptol,7,BCL6,0.4411126375198364
Eucalyptol,8,MAPK1,0.4410869777202606
Eucalyptol,9,LGMN,0.44106146693229675
Eucalyptol,10,S100A8,0.44102078676223755
Borneol,1,CTSB,0.44264134764671326
Borneol,2,SOCS1,0.44256746768951416
Borneol,3,HIF1A,0.44246813654899597
Borneol,4,LCN2,0.4424581229686737
Borneol,5,SLC1A5,0.4423389434814453
Borneol,6,IRF9,0.44231975078582764
Borneol,7,BCL6,0.4422667622566223
Borneol,8,MAPK1,0.4422149956226349
Borneol,9,LGMN,0.4422009289264679
Borneol,10,PTGS2,0.44214507937431335
Baicalein,1,CTSB,0.45365768671035767
Baicalein,2,SOCS1,0.4535810649394989
Baicalein,3,HIF1A,0.4534817039966583
Baicalein,4,LCN2,0.45346853137016296
Baicalein,5,IRF9,0.45334482192993164
Baicalein,6,SLC1A5,0.453329473733902
Baicalein,7,BCL6,0.4533076286315918
Baicalein,8,MAPK1,0.45324158668518066
Baicalein,9,LGMN,0.4532325267791748
Baicalein,10,PTGS2,0.4531765580177307
Wogonin,1,CTSB,0.44828271865844727
Wogonin,2,SOCS1,0.44820621609687805
Wogonin,3,HIF1A,0.4481070935726166
Wogonin,4,LCN2,0.4480939507484436
Wogonin,5,IRF9,0.44797050952911377
Wogonin,6,SLC1A5,0.4479551911354065
Wogonin,7,BCL6,0.4479333758354187
Wogonin,8,MAPK1,0.4478674829006195
Wogonin,9,LGMN,0.44785600900650024
Wogonin,10,PTGS2,0.4478026330471039
Luteolin,1,CTSB,0.4545474648475647
Luteolin,2,SOCS1,0.4544702470302582
Luteolin,3,HIF1A,0.4543682634830475
Luteolin,4,LCN2,0.4543602168560028
Luteolin,5,IRF9,0.45425090193748474
Luteolin,6,SLC1A5,0.45421314239501953
Luteolin,7,BCL6,0.45421072840690613
Luteolin,8,MAPK1,0.4541441798210144
Luteolin,9,LGMN,0.4541393518447876
Luteolin,10,PTGS2,0.4540797770023346
Kaempferol,1,CTSB,0.45418745279312134
Kaempferol,2,SOCS1,0.4541108012199402
Kaempferol,3,HIF1A,0.4540114402770996
Kaempferol,4,LCN2,0.45399823784828186
Kaempferol,5,IRF9,0.45388445258140564
Kaempferol,6,SLC1A5,0.4538591504096985
Kaempferol,7,BCL6,0.45384421944618225
Kaempferol,8,MAPK1,0.4537777304649353
Kaempferol,9,LGMN,0.4537728428840637
Kaempferol,10,PTGS2,0.4537133574485779
Hesperetin,1,CTSB,0.4321358799934387
Hesperetin,2,SOCS1,0.4320245087146759
Hesperetin,3,LCN2,0.4319682717323303
Hesperetin,4,HIF1A,0.4319456219673157
Hesperetin,5,IRF9,0.43184080719947815
Hesperetin,6,SLC1A5,0.431804358959198
Hesperetin,7,BCL6,0.43174493312835693
Hesperetin,8,LGMN,0.43172818422317505
Hesperetin,9,MAPK1,0.4317154586315155
Hesperetin,10,PTGS2,0.4316304922103882
Resveratrol,1,CTSB,0.4428410530090332
Resveratrol,2,SOCS1,0.4427671432495117
Resveratrol,3,HIF1A,0.44266781210899353
Resveratrol,4,LCN2,0.44265779852867126
Resveratrol,5,SLC1A5,0.44253864884376526
Resveratrol,6,IRF9,0.4425193667411804
Resveratrol,7,BCL6,0.4424664080142975
Resveratrol,8,MAPK1,0.44241467118263245
Resveratrol,9,LGMN,0.44240063428878784
Resveratrol,10,PTGS2,0.4423447549343109
Curcumin,1,CTSB,0.43630126118659973
Curcumin,2,SOCS1,0.43622761964797974
Curcumin,3,HIF1A,0.43612852692604065
Curcumin,4,LCN2,0.43611860275268555
Curcumin,5,SLC1A5,0.4359997808933258
Curcumin,6,IRF9,0.4359806180000305
Curcumin,7,BCL6,0.43592777848243713
Curcumin,8,MAPK1,0.4358762204647064
Curcumin,9,LGMN,0.4358622431755066
Curcumin,10,PTGS2,0.4358065128326416
Ferulic acid,1,CTSB,0.43853193521499634
Ferulic acid,2,SOCS1,0.4384582042694092
Ferulic acid,3,HIF1A,0.4383590817451477
Ferulic acid,4,LCN2,0.4383490979671478
Ferulic acid,5,SLC1A5,0.43823015689849854
Ferulic acid,6,IRF9,0.43821093440055847
Ferulic acid,7,BCL6,0.4381580650806427
Ferulic acid,8,MAPK1,0.4381064474582672
Ferulic acid,9,LGMN,0.438092440366745
Ferulic acid,10,PTGS2,0.43803671002388
Pinocembrin,1,CTSB,0.4344097971916199
Pinocembrin,2,SOCS1,0.43433621525764465
Pinocembrin,3,HIF1A,0.4342373311519623
Pinocembrin,4,LCN2,0.4342274069786072
Pinocembrin,5,SLC1A5,0.4341086447238922
Pinocembrin,6,IRF9,0.4340895116329193
Pinocembrin,7,BCL6,0.4340367317199707
Pinocembrin,8,MAPK1,0.43398523330688477
Pinocembrin,9,LGMN,0.43397122621536255
Pinocembrin,10,PTGS2,0.4339156448841095
Chrysin,1,CTSB,0.45526593923568726
Chrysin,2,SOCS1,0.45522254705429077
