compound,ACSL4_probability,ACSL4_rank_in_compound,ferroaging_avg_probability,ferroaging_in_top50,ferroaging_top50_ratio,top10_targets
Ferulic acid,0.4319281578063965,153,0.43612706974933024,50,1.0,"CTSB(0.439), SOCS1(0.438), HIF1A(0.438), LCN2(0.438), SLC1A5(0.438), IRF9(0.438), BCL6(0.438), MAPK1(0.438), LGMN(0.438), PTGS2(0.438)"
Curcumin,0.42976006865501404,153,0.43391188602698477,50,1.0,"CTSB(0.436), SOCS1(0.436), HIF1A(0.436), LCN2(0.436), SLC1A5(0.436), IRF9(0.436), BCL6(0.436), MAPK1(0.436), LGMN(0.436), PTGS2(0.436)"
Melatonin,0.4294145107269287,153,0.43324525230809263,50,1.0,"CTSB(0.436), SOCS1(0.435), HIF1A(0.435), LCN2(0.435), SLC1A5(0.435), IRF9(0.435), BCL6(0.435), MAPK1(0.435), LGMN(0.435), PTGS2(0.435)"
Plumbagin,0.42874616384506226,155,0.43323957606365804,50,1.0,"CTSB(0.436), SOCS1(0.436), HIF1A(0.436), LCN2(0.436), SLC1A5(0.435), IRF9(0.435), BCL6(0.435), MAPK1(0.435), LGMN(0.435), PTGS2(0.435)"
Naringenin,0.4273783564567566,155,0.4320805223364579,50,1.0,"CTSB(0.435), SOCS1(0.435), HIF1A(0.434), LCN2(0.434), SLC1A5(0.434), IRF9(0.434), BCL6(0.434), MAPK1(0.434), LGMN(0.434), PTGS2(0.434)"
Pinocembrin,0.4272373914718628,155,0.43190266929174725,50,1.0,"CTSB(0.434), SOCS1(0.434), HIF1A(0.434), LCN2(0.434), SLC1A5(0.434), IRF9(0.434), BCL6(0.434), MAPK1(0.434), LGMN(0.434), PTGS2(0.434)"
Aloe emodin,0.427381694316864,154,0.4314196050167084,50,1.0,"CTSB(0.434), SOCS1(0.434), HIF1A(0.434), LCN2(0.434), SLC1A5(0.433), IRF9(0.433), BCL6(0.433), MAPK1(0.433), LGMN(0.433), PTGS2(0.433)"
Tanshinone IIA,0.427101731300354,153,0.4311983186947672,50,1.0,"CTSB(0.434), SOCS1(0.433), LCN2(0.433), HIF1A(0.433), SLC1A5(0.433), IRF9(0.433), BCL6(0.433), LGMN(0.433), MAPK1(0.433), PTGS2(0.433)"
Chrysophanol,0.42698583006858826,154,0.43108155601903014,50,1.0,"CTSB(0.433), SOCS1(0.433), HIF1A(0.433), LCN2(0.433), SLC1A5(0.433), IRF9(0.433), BCL6(0.433), MAPK1(0.433), LGMN(0.433), PTGS2(0.433)"
Shikonin,0.42618805170059204,155,0.4310012908358323,50,1.0,"CTSB(0.433), SOCS1(0.433), LCN2(0.433), HIF1A(0.433), IRF9(0.433), SLC1A5(0.433), BCL6(0.433), MAPK1(0.433), LGMN(0.433), PTGS2(0.433)"
Salidroside,0.426655650138855,154,0.43082636532030605,50,1.0,"CTSB(0.433), SOCS1(0.433), LCN2(0.433), HIF1A(0.433), IRF9(0.433), SLC1A5(0.433), BCL6(0.433), LGMN(0.433), MAPK1(0.433), PTGS2(0.433)"
Epicatechin,0.4261243939399719,155,0.4307006152052628,50,1.0,"CTSB(0.433), SOCS1(0.433), LCN2(0.433), HIF1A(0.433), IRF9(0.433), SLC1A5(0.433), BCL6(0.433), LGMN(0.433), MAPK1(0.433), PTGS2(0.433)"
Catechin,0.42612317204475403,155,0.4307000395498778,50,1.0,"CTSB(0.433), SOCS1(0.433), LCN2(0.433), HIF1A(0.433), IRF9(0.433), SLC1A5(0.433), BCL6(0.433), LGMN(0.433), MAPK1(0.433), PTGS2(0.433)"
Emodin,0.42637476325035095,155,0.43048162334843687,50,1.0,"CTSB(0.433), SOCS1(0.433), HIF1A(0.433), LCN2(0.433), SLC1A5(0.433), IRF9(0.432), BCL6(0.432), MAPK1(0.432), LGMN(0.432), PTGS2(0.432)"
