compound,gene,binding_probability
Daidzein,ATG3,0.4552047550678253
Genistein,KDM6B,0.4552035629749298
Kaempferol,LGMN,0.4552007019519806
Apigenin,IRF7,0.45519497990608215
Chrysin,EDN1,0.4551863968372345
Genistein,NOX4,0.45518580079078674
Chrysin,MPO,0.45518064498901367
Genistein,FOSL1,0.45517462491989136
Chrysin,SMURF2,0.45517057180404663
Kaempferol,CTSB,0.4551598131656647
Apigenin,MEN1,0.45515570044517517
Chrysin,EGR1,0.4551514983177185
Apigenin,PDE4B,0.4551348090171814
Apigenin,PPP2R2B,0.45513463020324707
Genistein,IRF7,0.45513248443603516
Luteolin,ZEB1,0.4551323354244232
Daidzein,SOCS1,0.45512208342552185
Genistein,PDE4B,0.45512035489082336
Chrysin,PRKD1,0.45511239767074585
Daidzein,IRF9,0.45510825514793396
Luteolin,ATG3,0.45510685443878174
Luteolin,RUNX3,0.45510178804397583
Chrysin,TNFAIP3,0.4551001489162445
Genistein,MEN1,0.45509660243988037
Daidzein,BCL6,0.4550948143005371
Chrysin,E2F1,0.45509445667266846
Chrysin,MAPK14,0.45508554577827454
Genistein,PPP2R2B,0.4550773501396179
Apigenin,SMARCB1,0.455070823431015
Daidzein,SP1,0.4550684988498688
Scutellarein,CD74,0.4550599455833435
Daidzein,CXCL10,0.45504873991012573
Baicalein,SLC1A5,0.45504751801490784
Apigenin,ATF3,0.4550388753414154
Apigenin,LPCAT3,0.45503535866737366
Kaempferol,LCN2,0.4550257921218872
Apigenin,WWTR1,0.45502084493637085
Luteolin,SOCS1,0.4550163745880127
Quercetin,SLC1A5,0.45501434803009033
Genistein,SMARCB1,0.45501354336738586
Luteolin,IRF9,0.45501038432121277
Galangin,CD74,0.454998642206192
Luteolin,BCL6,0.4549969732761383
Daidzein,PTGS2,0.45499300956726074
Chrysin,NLRP3,0.4549896717071533
Kaempferol,NR1D1,0.454987108707428
Kaempferol,HIF1A,0.4549866020679474
Genistein,ATF3,0.45498162508010864
Chrysin,KDM6B,0.45497962832450867
Apigenin,WNT5A,0.4549795091152191
Daidzein,MAP3K14,0.4549753963947296
Genistein,LPCAT3,0.45497289299964905
Kaempferol,IRF1,0.45497259497642517
Apigenin,BRD7,0.45496997237205505
Genistein,WWTR1,0.4549699127674103
Luteolin,SP1,0.4549676477909088
Genistein,WNT5A,0.4549674093723297
Chrysin,NOX4,0.45496290922164917
Daidzein,HMOX1,0.4549611806869507
Daidzein,IL1B,0.4549591541290283
Apigenin,EPHA4,0.4549560546875
Chrysin,FOSL1,0.4549517035484314
Luteolin,CXCL10,0.45494407415390015
Daidzein,IFNG,0.45493921637535095
Genistein,BRD7,0.45491158962249756
Chrysin,IRF7,0.45490962266921997
Scutellarein,LGMN,0.45490705966949463
Daidzein,S100A8,0.45489510893821716
Daidzein,MAPK1,0.4548945128917694
Genistein,EPHA4,0.4548935294151306
Luteolin,PTGS2,0.45489105582237244
Daidzein,YAP1,0.4548867642879486
Luteolin,MAP3K14,0.4548775553703308
Daidzein,TXNIP,0.4548773467540741
Apigenin,E2F3,0.454877108335495
Daidzein,ALOX15,0.4548756778240204
Chrysin,MEN1,0.454870343208313
Genistein,PTBP1,0.4548693001270294
Scutellarein,CTSB,0.4548661708831787
Luteolin,HMOX1,0.45485761761665344
Daidzein,TNFAIP1,0.45485514402389526
Daidzein,TLR4,0.45485249161720276
Daidzein,HMGB1,0.4548514485359192
Daidzein,KEAP1,0.45484796166419983
Daidzein,TFRC,0.45484697818756104
Daidzein,IL6,0.4548454284667969
Daidzein,FBXO31,0.45484498143196106
Chrysin,PDE4B,0.45484480261802673
Chrysin,PPP2R2B,0.45484456419944763
Luteolin,IL1B,0.45484113693237305
Kaempferol,ZEB1,0.45483770966529846
Galangin,LGMN,0.45483601093292236
Luteolin,IFNG,0.45482969284057617
Daidzein,IGFBP7,0.4548201262950897
Daidzein,SOCS2,0.454818993806839
Genistein,E2F3,0.4548146724700928
Daidzein,EPHA2,0.45481324195861816
Kaempferol,ATG3,0.45481225848197937
Kaempferol,RUNX3,0.4548071026802063
Daidzein,LIFR,0.4548058807849884
Daidzein,SOD1,0.45479923486709595
Luteolin,S100A8,0.45479726791381836
Galangin,CTSB,0.45479509234428406
Luteolin,MAPK1,0.45478856563568115
Chrysin,SMARCB1,0.4547822177410126
Luteolin,YAP1,0.4547799825668335
Apigenin,PTBP1,0.4547787010669708
Luteolin,ALOX15,0.4547778367996216
Daidzein,MPO,0.4547634720802307
Luteolin,TXNIP,0.4547581076622009
Luteolin,TNFAIP1,0.45475736260414124
Daidzein,EDN1,0.45475631952285767
Luteolin,HMGB1,0.45475366711616516
Daidzein,SMURF2,0.45475342869758606
Luteolin,KEAP1,0.454750120639801
Chrysin,LPCAT3,0.4547500014305115
Luteolin,TFRC,0.45474913716316223
Chrysin,ATF3,0.45474886894226074
Luteolin,FBXO31,0.45474717020988464
Luteolin,TLR4,0.45474064350128174
Chrysin,WWTR1,0.45473402738571167
Scutellarein,LCN2,0.45473212003707886
Luteolin,IL6,0.45473188161849976
Kaempferol,SOCS1,0.45472171902656555
Daidzein,EGR1,0.45472151041030884
Luteolin,SOCS2,0.45471757650375366
Kaempferol,IRF9,0.454715758562088
Luteolin,EPHA2,0.45471540093421936
Luteolin,LIFR,0.4547080099582672
Luteolin,IGFBP7,0.45470574498176575
Kaempferol,BCL6,0.45470234751701355
Luteolin,SOD1,0.45470139384269714
Apigenin,DPEP1,0.4546961784362793
Scutellarein,NR1D1,0.45469340682029724
Scutellarein,HIF1A,0.45469292998313904
Chrysin,WNT5A,0.4546928405761719
Chrysin,BRD7,0.45468464493751526
Baicalein,CD74,0.4546795189380646
Scutellarein,IRF1,0.4546789228916168
Daidzein,PRKD1,0.4546774923801422
Daidzein,TNFAIP3,0.4546734094619751
Apigenin,ICA1,0.4546732008457184
Kaempferol,SP1,0.45467302203178406
Chrysin,EPHA4,0.45467063784599304
Luteolin,MPO,0.4546656310558319
Daidzein,E2F1,0.45466551184654236
Quercetin,CD74,0.45466551184654236
Galangin,LCN2,0.454661101102829
Luteolin,EDN1,0.45465853810310364
Luteolin,SMURF2,0.45465555787086487
Daidzein,MAPK14,0.4546506404876709
Kaempferol,CXCL10,0.454649418592453
Galangin,NR1D1,0.4546366333961487
Genistein,DPEP1,0.4546337425708771
Apigenin,SNCA,0.4546256959438324
Luteolin,EGR1,0.45462366938591003
Galangin,HIF1A,0.45462197065353394
Apigenin,MCU,0.454619824886322
Genistein,ICA1,0.45461174845695496
Galangin,IRF1,0.45460787415504456
Apigenin,ERN1,0.45460718870162964
Apigenin,HERPUD1,0.454598993062973
Kaempferol,PTGS2,0.4545964300632477
Genistein,ERN1,0.454595148563385
Chrysin,E2F3,0.4545918107032776
Kaempferol,MAP3K14,0.45458292961120605
Luteolin,TNFAIP3,0.4545755386352539
Luteolin,E2F1,0.45456767082214355
Genistein,SNCA,0.4545665383338928
Fisetin,SLC1A5,0.4545658826828003
Genistein,HERPUD1,0.4545646011829376
Kaempferol,HMOX1,0.4545629918575287
Genistein,MCU,0.4545574188232422
Daidzein,NLRP3,0.4545547664165497
Daidzein,KDM6B,0.45455366373062134
Luteolin,MAPK14,0.45455121994018555
Kaempferol,IL1B,0.45454657077789307
Scutellarein,ZEB1,0.4545441269874573
Apigenin,PADI4,0.4545387327671051
Kaempferol,IFNG,0.4545350968837738
Daidzein,NOX4,0.45452800393104553
Baicalein,LGMN,0.4545265734195709
Luteolin,PRKD1,0.45452582836151123
Daidzein,FOSL1,0.4545218050479889
Scutellarein,ATG3,0.454518586397171
Scutellarein,RUNX3,0.4545134902000427
Quercetin,LGMN,0.4545126259326935
Apigenin,ACVR1B,0.4545079171657562
Kaempferol,S100A8,0.4545026421546936
Genistein,ACVR1B,0.45449692010879517
Kaempferol,MAPK1,0.454493910074234
Chrysin,PTBP1,0.45449337363243103
Baicalein,CTSB,0.4544857144355774
Kaempferol,YAP1,0.4544854164123535
Kaempferol,ALOX15,0.4544832408428192
Genistein,PADI4,0.4544762372970581
Daidzein,IRF7,0.45447471737861633
Galangin,ZEB1,0.4544731080532074
Quercetin,CTSB,0.4544717073440552
Kaempferol,TXNIP,0.45446348190307617
Kaempferol,TNFAIP1,0.45446276664733887
Kaempferol,HMGB1,0.454459011554718
Luteolin,KDM6B,0.4544558525085449
Kaempferol,KEAP1,0.45445552468299866
Kaempferol,TFRC,0.4544544816017151
Kaempferol,FBXO31,0.4544525146484375
Luteolin,NLRP3,0.4544503390789032
Galangin,ATG3,0.45444759726524353
Daidzein,MEN1,0.4544467031955719
