gene,embedding_norm,degree,bio_prior,hub_score,rank
GADD45A,1.149467,20,0.3,0.609449155526613,113
CBS,1.158482,18,0.3,0.6090895188410115,114
TERF1,1.1045041,31,0.3,0.6086024819388645,115
LIG4,1.1168497,27,0.3,0.6082294812889675,116
TRIB3,1.1449825,20,0.3,0.6079419030718554,117
FOXO3,1.1546422,18,0.3,0.6077989888746571,118
CDKN2A,1.1655029,16,0.3,0.607682359370721,119
MMP2,1.1264322,24,0.3,0.6076120261992646,120
HMGA2,1.0868274,36,0.3,0.6075782551488242,121
LPIN1,1.1075457,29,0.3,0.6074390011179824,122
XRCC5,1.117615,26,0.3,0.6072550229759909,123
JAK2,1.0958695,32,0.3,0.6067425513588064,124
TIMP1,1.1406034,20,0.3,0.6064700855784166,125
ATR,1.1396703,20,0.3,0.6061564459376085,126
RAD50,1.1482562,18,0.3,0.6056526256162953,127
IRF7,0.75261647,89,0.5,0.605353695020975,128
CDKN1B,1.1513219,17,0.3,0.6048518880542314,129
XRCC6,1.1176904,24,0.3,0.6046739046420289,130
FABP5,1.1618128,15,0.3,0.604388899928304,131
ATG7,1.1296259,21,0.3,0.6043560461329393,132
TXNIP,0.7496428,89,0.5,0.6043542145350589,133
NFE2L2,1.1249888,22,0.3,0.604302975134065,134
GPX4,1.1340911,20,0.3,0.6042812838129747,135
TERF2,1.1117847,25,0.3,0.6040172891112909,136
CREB1,1.1277775,21,0.3,0.603734757118123,137
CCNB1,1.1533266,16,0.3,0.6035898746581203,138
GSS,1.1471473,17,0.3,0.6034487947162187,139
CD38,1.1362576,19,0.3,0.6033570715738017,140
EP300,1.1354653,19,0.3,0.6030907282186229,141
TERT,1.1296885,20,0.3,0.6028015687041033,142
PNPLA2,1.1041604,26,0.3,0.6027329079838492,143
ATF2,1.1493462,16,0.3,0.602252078208459,144
FBXL5,1.1175272,22,0.3,0.6017951097051404,145
SOCS1,0.75088155,81,0.5,0.6016178403987533,146
HERC2,1.1256639,20,0.3,0.6014488710932482,147
CSE1L,1.1469448,16,0.3,0.6014449121089107,148
CDK6,1.1065587,24,0.3,0.6009324912871552,149
DDIT3,1.1237279,20,0.3,0.6007981969885576,150
RAD51,1.1270444,19,0.3,0.6002604910684306,151
MMP3,1.093109,27,0.3,0.6002502074928859,152
ATF4,1.131915,18,0.3,0.6001602960188221,153
COL1A2,1.1697615,12,0.3,0.6000282675999219,154
BNIP3,1.1165742,21,0.3,0.5999693230914048,155
HDAC1,1.1304401,18,0.3,0.5996645939905476,156
BRCA1,1.1197518,20,0.3,0.5994618012480486,157
TIMP2,1.1061229,23,0.3,0.5994034728860285,158
GCLM,1.1059097,23,0.3,0.5993318281030084,159
MDM4,1.118958,20,0.3,0.599195010858034,160
COL1A1,1.1667489,12,0.3,0.5990157038944776,161
CREBBP,1.117622,20,0.3,0.5987459792666185,162
NBN,1.0960009,25,0.3,0.5987122969123468,163
AKT1,1.1171592,20,0.3,0.5985904707483996,164
RUNX3,0.750396,74,0.5,0.598432634885735,165
GADD45B,1.111521,21,0.3,0.5982709185408525,166
MAX,1.0968188,24,0.3,0.5976588849868012,167
VDAC3,1.105179,22,0.3,0.5976448382894299,168
SNAI1,1.1188085,19,0.3,0.5974923917604167,169
HDAC3,1.141205,15,0.3,0.5974625421821798,170
XRCC1,1.1137569,20,0.3,0.5974468960337389,171
SESN2,1.0839037,27,0.3,0.597156249591885,172
GABARAPL1,1.1172639,19,0.3,0.596973235304423,173
