,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Salidroside,0.5757729,-0.3093539,-0.19167654,-0.2626524,0.13567579,-0.24688376,-0.008012503,0.18654476,0.03449035,0.20282903,0.6417874,-0.05099841,0.4818493,0.041690603,-0.3712705,0.41410798
Tyrosol,0.13522829,0.0918919,0.06584635,-0.021724597,0.4153746,-0.13055801,-0.14017008,0.21002012,0.011384946,0.01714757,0.26479444,-0.061900098,0.35754785,0.36106107,-0.1337229,0.16931085
Hydroxytyrosol,0.20743337,0.009898022,-0.0010564104,-0.080658145,0.35159877,-0.164234,-0.14707571,0.20599432,0.03618534,0.054406747,0.3309145,-0.070262596,0.38570496,0.28432006,-0.2079671,0.19610867
Sulforaphane,0.0150075555,0.28462946,0.13700983,0.040519014,0.604444,-0.048166983,-0.08745009,0.19135399,0.040395837,-0.042739287,0.11878434,-0.1516622,0.31613028,0.47763363,0.021822244,0.14318603
Dimethyl fumarate,0.090351686,0.22141486,0.051324777,-0.029519856,0.5113812,-0.07635363,-0.14885323,0.1891844,0.040737204,0.015576467,0.18096194,-0.1378018,0.3363522,0.40558612,-0.06726551,0.14147972
Edaravone,0.27599406,0.12388065,-0.058952812,-0.17503673,0.41477445,-0.054021023,-0.070091605,0.16943356,0.031997614,0.14290756,0.3208511,-0.16571257,0.38555261,0.3135377,-0.08659351,0.24707417
Idebenone,0.21926232,0.14533609,-0.07411022,-0.13003938,0.38442063,-0.15289363,-0.14503925,0.17636928,0.13040131,0.1081909,0.29523352,-0.20445101,0.40252963,0.26559934,-0.14725116,0.21933869
Alpha-lipoic acid,0.051970676,0.2591737,0.11675536,0.01999566,0.5828994,-0.055455692,-0.07327908,0.18954644,0.04368927,-0.023339838,0.149833,-0.15357904,0.32423508,0.45365715,0.0058171153,0.16731298
Melatonin,0.47164655,-0.12783654,-0.27214283,-0.3639412,0.17017725,-0.154169,-0.18247227,0.17810237,0.07069899,0.25114828,0.5036878,-0.13359025,0.460774,0.07618736,-0.35091734,0.26003295
Huperzine A,0.7125975,-0.23201226,-0.4261329,-0.46727595,-0.2382957,-0.3105024,-0.31148717,0.1840045,0.04889344,0.51029515,0.77004254,-0.054547284,0.53766644,-0.07541835,-0.50059223,0.36594468
N-acetylcysteine,0.038218647,0.28166646,0.11716943,0.013677821,0.5556605,-0.04544022,-0.11675823,0.1974099,0.022093002,-0.0066352338,0.14107458,-0.13090372,0.31604972,0.46731502,0.0039156675,0.13914882
